frequency,num_unique_tokens
1083,1
560,1
519,1
362,1
330,1
268,1
247,1
242,1
215,1
212,1
209,1
208,1
202,1
198,1
193,1
189,1
186,1
180,2
173,1
172,1
167,1
161,1
157,1
156,2
155,1
154,1
153,1
152,1
148,1
145,2
144,2
140,1
138,1
137,1
134,1
133,1
132,1
131,1
130,2
129,2
128,1
126,1
123,2
121,1
120,2
118,3
116,1
115,3
114,1
113,3
112,1
110,1
109,2
106,2
104,1
102,1
101,1
98,1
97,1
96,1
95,1
94,1
93,2
91,1
89,1
88,2
86,1
85,2
83,1
82,4
81,2
78,2
77,4
76,1
75,2
74,2
73,1
72,6
71,2
70,2
69,1
68,2
67,4
66,4
65,4
64,1
63,5
62,2
61,3
60,1
59,2
58,1
57,4
56,5
55,5
54,6
53,5
52,2
51,4
50,6
49,5
48,3
47,3
46,7
45,3
44,7
43,5
42,8
41,9
40,3
39,9
38,10
37,8
36,8
35,5
34,14
33,8
32,14
31,13
30,13
29,16
28,8
27,13
26,18
25,14
24,11
23,18
22,22
21,20
20,15
19,27
18,25
17,38
16,33
15,44
14,55
13,68
12,69
11,75
10,83
9,115
8,111
7,192
6,240
5,347
4,544
3,858
2,1905
1,8480
