frequency,num_unique_tokens
180,1
157,1
136,1
130,1
126,1
123,1
118,2
115,1
111,1
109,1
107,1
100,2
99,1
98,1
97,1
94,1
93,2
89,1
85,1
81,1
78,1
77,1
76,2
74,1
73,1
72,2
71,1
69,2
67,1
66,3
65,2
63,2
58,1
57,1
56,1
55,2
54,1
53,3
52,2
51,1
50,2
49,3
48,3
47,1
46,4
44,4
43,4
42,7
41,1
40,1
39,6
38,6
37,2
36,5
35,4
34,1
33,2
32,6
31,8
30,6
29,11
28,10
27,7
26,8
25,17
24,15
23,13
22,20
21,10
20,19
19,26
18,23
17,20
16,29
15,37
14,46
13,42
12,56
11,77
10,81
9,103
8,151
7,174
6,274
5,429
4,680
3,1358
2,3431
1,23000
