frequency,num_unique_tokens
4455,1
2106,1
1769,1
1682,1
1522,1
1425,1
1243,1
1216,1
1187,1
1051,1
1024,1
921,1
762,1
750,1
715,1
714,1
682,1
659,1
624,1
615,1
580,1
577,1
532,1
493,1
477,1
461,1
459,1
447,1
412,1
383,1
377,2
352,1
350,1
330,1
328,1
320,1
316,1
308,1
301,1
297,1
279,1
271,1
270,1
266,1
263,1
261,1
257,1
254,1
242,1
230,1
229,1
228,2
226,1
220,1
218,1
216,1
213,1
211,1
202,1
197,1
196,1
192,1
191,1
189,1
188,1
187,1
184,1
182,2
180,1
177,1
173,1
171,1
170,2
167,1
166,1
165,1
160,1
159,1
156,1
155,1
152,1
151,1
149,1
148,1
145,1
144,1
139,1
138,2
133,2
129,1
128,1
126,1
122,1
121,1
120,1
119,3
117,2
114,2
108,1
106,1
104,1
101,2
100,1
98,1
96,1
95,1
94,1
92,2
91,3
90,1
89,1
88,2
87,1
86,3
84,2
82,2
81,2
80,2
79,2
78,2
77,1
74,2
73,1
72,3
71,1
70,1
69,2
68,1
67,1
66,3
64,1
61,1
60,2
59,1
57,2
56,4
55,3
53,4
52,1
51,3
50,2
49,1
48,2
47,4
46,5
45,8
44,2
43,2
42,4
41,3
40,4
39,3
38,7
37,2
36,1
35,2
34,2
33,8
32,5
31,4
30,5
29,4
28,5
27,4
26,4
25,4
24,5
23,4
22,10
21,6
20,3
19,5
18,5
17,10
16,15
15,9
14,9
13,25
12,13
11,8
10,20
9,37
8,29
7,34
6,63
5,58
4,77
3,139
2,206
1,704
