frequency,num_unique_tokens
1701,1
1205,1
1083,1
892,1
847,1
782,1
780,1
775,1
687,1
680,1
671,1
647,1
630,1
594,1
593,1
524,1
498,1
495,1
487,1
477,1
476,1
447,1
445,1
416,1
403,1
399,1
389,1
365,1
362,1
342,1
339,2
332,1
331,1
328,1
319,1
314,1
297,1
296,1
294,1
292,1
291,1
290,3
274,2
271,1
270,1
268,1
267,1
252,1
249,1
245,1
231,1
230,1
229,1
223,1
218,1
217,3
216,1
215,2
213,1
212,1
210,2
208,1
205,1
204,1
201,3
198,3
197,2
194,1
193,1
192,3
191,1
189,1
187,2
186,1
184,2
181,1
180,2
178,3
176,3
173,1
172,1
171,1
170,1
169,1
167,1
166,1
164,3
163,1
162,1
160,3
159,1
158,1
157,2
156,2
155,1
154,2
153,2
148,2
147,1
146,1
145,1
144,2
143,1
142,1
141,3
138,2
136,2
135,1
134,1
133,3
132,3
130,3
129,2
127,2
126,2
125,3
124,1
123,1
122,3
120,3
119,3
118,1
117,2
116,1
115,3
114,1
113,3
112,3
111,1
110,1
109,1
108,1
106,1
105,1
104,2
103,1
101,1
99,3
98,3
97,2
96,4
95,3
94,4
93,3
91,3
90,4
89,3
88,5
87,5
86,2
85,5
84,3
83,4
82,3
81,5
80,4
79,4
78,4
77,8
76,5
75,5
74,2
73,6
72,7
71,1
70,5
69,4
68,10
67,3
66,5
65,7
64,7
63,2
62,4
61,1
60,5
59,8
58,4
57,9
56,7
55,9
54,11
53,7
52,9
51,4
50,6
49,8
48,5
47,7
46,9
45,13
44,7
43,13
42,14
41,14
40,8
39,16
38,16
37,17
36,11
35,18
34,17
33,20
32,19
31,13
30,21
29,29
28,19
27,22
26,31
25,27
24,32
23,37
22,34
21,43
20,39
19,45
18,58
17,47
16,53
15,86
14,88
13,117
12,100
11,117
10,137
9,190
8,213
7,297
6,338
5,500
4,811
3,1214
2,2619
1,11237
