frequency,num_unique_tokens
404,1
197,1
188,1
187,1
173,1
171,1
168,1
161,1
160,1
135,1
124,1
118,1
117,1
115,1
107,1
102,2
101,1
94,2
93,2
92,2
91,1
90,1
89,2
86,1
85,2
84,1
83,1
81,2
79,1
78,2
77,1
75,3
74,2
72,1
70,2
69,1
68,1
67,1
66,3
65,2
64,1
62,1
61,1
60,1
59,1
58,2
57,4
56,1
55,2
54,4
53,1
52,6
51,2
50,5
49,1
48,2
47,4
46,6
45,6
44,3
43,2
42,5
41,4
40,3
39,3
38,6
37,5
36,7
35,10
34,7
33,6
32,16
31,8
30,9
29,9
28,10
27,11
26,17
25,12
24,15
23,22
22,23
21,25
20,29
19,36
18,38
17,45
16,45
15,43
14,79
13,68
12,92
11,136
10,158
9,208
8,233
7,340
6,509
5,805
4,1355
3,2628
2,7355
1,60998
