frequency,num_unique_tokens
451,1
446,1
429,1
422,1
332,1
325,1
320,1
305,1
284,1
262,1
252,1
251,1
250,1
243,1
238,1
214,1
203,1
202,1
188,1
180,1
179,1
177,1
174,1
173,1
171,1
165,2
161,2
159,1
157,1
155,1
154,1
153,1
152,1
147,1
144,3
143,1
140,1
136,1
134,1
133,1
130,1
129,2
126,1
125,1
124,1
123,1
122,1
121,1
119,1
118,3
116,1
115,1
114,1
112,1
111,1
110,1
109,2
106,2
105,1
104,1
103,1
101,3
100,4
99,1
97,4
96,2
95,1
94,4
93,2
92,2
91,2
90,1
89,2
88,1
87,1
86,2
85,3
84,3
83,1
82,5
81,3
80,1
79,1
78,1
77,4
76,2
75,2
74,5
73,2
72,4
71,1
70,2
69,5
68,1
67,6
66,5
65,3
64,3
63,7
62,4
61,3
60,1
59,4
58,4
57,3
56,7
55,6
54,8
53,10
52,5
51,9
50,9
49,3
48,8
47,4
46,12
45,5
44,5
43,10
42,12
41,7
40,6
39,14
38,12
37,13
36,16
35,16
34,13
33,7
32,22
31,17
30,26
29,15
28,20
27,25
26,39
25,31
24,33
23,29
22,42
21,35
20,39
19,58
18,72
17,55
16,77
15,97
14,102
13,115
12,141
11,169
10,203
9,250
8,321
7,397
6,582
5,810
4,1292
3,2364
2,5674
1,33903
