frequency,num_unique_tokens
5251,1
5201,1
4273,1
3930,1
3860,1
3119,1
2990,1
2440,1
2413,1
2347,1
2249,1
2109,1
1836,1
1764,1
1550,1
1488,1
1445,1
1425,1
1364,1
1332,1
1258,1
1255,1
1250,1
1214,1
1210,1
1209,1
1056,1
1040,1
1022,1
1005,1
999,1
980,1
971,1
914,1
907,1
901,1
875,1
857,1
843,1
830,1
796,1
771,1
763,1
759,1
717,1
714,1
709,1
696,1
642,1
629,1
627,1
591,1
581,1
579,1
566,1
562,1
551,1
545,1
535,1
533,2
448,1
441,1
414,1
413,1
407,1
404,1
396,1
380,1
374,1
373,1
365,1
354,1
352,1
346,1
339,1
322,1
321,1
310,1
307,1
305,1
300,1
299,1
298,1
290,1
289,1
281,1
280,1
276,1
270,1
268,1
261,1
257,2
256,1
255,1
237,2
234,1
231,2
227,1
223,1
220,2
219,1
218,1
216,1
210,1
209,1
206,1
205,1
203,1
202,1
201,1
200,1
198,1
196,1
194,1
187,1
185,1
183,1
181,1
179,1
174,1
169,1
168,1
160,2
159,1
157,2
154,2
148,1
142,1
139,2
137,1
136,3
135,2
133,1
132,1
131,1
129,3
128,2
126,1
123,2
121,1
120,2
119,1
117,1
115,2
114,1
113,1
111,1
110,1
108,1
106,1
105,1
104,3
102,2
101,3
100,2
98,2
97,1
96,1
95,2
94,1
93,2
92,2
91,1
90,1
88,2
86,4
84,2
83,2
81,1
79,2
76,2
75,1
74,2
73,2
72,4
71,1
70,1
69,4
68,2
67,3
65,2
64,1
63,4
62,1
61,2
60,3
59,4
58,5
57,2
56,3
55,4
54,2
53,5
51,2
50,2
49,1
48,4
47,5
46,7
45,3
44,3
43,6
42,3
41,3
39,1
38,3
37,5
36,2
35,3
34,7
33,7
32,2
31,3
30,6
29,5
28,1
27,6
26,3
25,5
24,9
23,5
22,10
21,9
20,7
19,8
18,15
17,14
16,7
15,19
14,17
13,27
12,20
11,18
10,26
9,37
8,41
7,51
6,74
5,50
4,91
3,159
2,272
1,829
