frequency,num_unique_tokens
26423,1
18031,1
14916,1
13721,1
13348,1
11127,1
10915,1
10788,1
10116,1
9878,1
9824,1
8353,1
8011,1
7654,1
7470,1
7103,1
6544,1
6007,1
5350,1
5275,1
5186,1
5104,1
4943,1
4829,1
4497,1
4415,1
4402,1
4353,1
4284,1
4066,1
4038,1
3989,1
3656,1
3635,1
3591,1
3562,1
3517,1
3430,1
3426,1
3387,1
3346,1
3254,1
3223,1
3221,1
3215,1
2987,1
2965,2
2915,1
2871,1
2849,1
2807,1
2723,1
2656,2
2614,1
2603,1
2597,1
2572,1
2515,1
2506,1
2485,1
2463,1
2450,1
2395,1
2394,1
2391,1
2388,2
2258,1
2233,1
2191,1
2163,1
2162,1
2144,1
2138,1
2092,1
2061,1
2055,1
1925,1
1918,2
1847,1
1840,1
1823,1
1822,1
1801,1
1789,1
1772,1
1766,1
1723,1
1717,1
1698,1
1685,1
1648,1
1578,1
1573,1
1564,1
1555,1
1542,1
1538,1
1536,1
1521,1
1490,1
1454,1
1409,1
1407,1
1398,1
1396,1
1378,1
1355,1
1350,1
1330,1
1317,1
1306,1
1299,2
1298,1
1279,1
1255,1
1213,1
1197,1
1177,1
1167,1
1161,1
1153,1
1137,1
1130,1
1126,1
1115,2
1104,1
1102,1
1096,1
1092,1
1085,1
1082,1
1078,1
1051,2
1047,1
1046,1
1039,1
1036,1
1032,1
1030,1
1015,1
1001,1
998,1
997,1
989,1
988,1
980,1
975,1
962,1
956,1
954,1
937,1
932,1
920,1
918,1
916,1
914,1
905,1
898,1
878,1
875,1
872,1
868,1
867,1
865,1
858,1
856,1
850,1
848,1
829,1
822,1
815,1
800,1
786,1
776,1
774,1
773,1
771,1
765,1
761,1
759,1
757,1
753,1
752,1
741,1
740,1
738,1
736,1
735,1
733,1
718,1
711,1
694,1
681,3
679,2
678,1
666,2
660,1
657,1
648,1
640,1
639,1
637,1
636,1
635,1
632,3
630,1
626,1
615,1
612,1
610,1
605,1
583,1
581,2
579,1
575,1
574,2
573,1
565,1
563,1
560,1
558,2
557,1
550,1
547,1
539,2
536,2
535,1
532,1
529,1
514,1
513,1
512,1
510,1
508,1
505,1
500,1
496,1
493,1
492,1
491,1
489,1
486,1
485,2
474,2
471,4
468,3
467,2
465,1
463,1
462,2
461,2
458,1
457,1
455,1
447,1
446,2
439,2
438,1
437,1
434,1
433,1
432,2
431,1
425,2
423,1
421,2
414,1
410,3
409,1
407,1
406,1
404,3
400,1
397,1
395,1
394,1
391,2
388,2
387,1
386,1
382,2
380,1
378,1
377,1
376,2
375,1
372,2
371,1
369,2
367,2
364,1
363,3
362,1
361,1
359,2
358,1
356,2
353,1
351,2
347,1
344,1
342,2
339,1
333,2
331,3
330,1
328,1
327,1
326,1
325,1
323,1
322,2
319,1
317,2
314,4
313,4
312,1
311,2
310,1
309,2
307,1
306,2
305,1
304,2
303,2
302,2
301,3
300,1
299,1
298,2
297,3
296,1
295,3
294,1
293,1
292,4
290,1
288,1
286,1
285,1
284,2
281,2
280,1
279,1
277,2
275,6
274,2
272,1
270,2
269,2
267,4
266,3
265,1
264,1
263,1
261,3
260,4
258,2
257,2
256,2
254,1
253,3
251,2
250,1
249,2
248,4
247,3
246,2
243,2
242,2
241,1
240,1
239,2
236,1
235,1
234,1
232,2
231,2
230,4
229,1
227,2
226,5
225,3
224,2
223,1
222,2
221,2
220,3
219,1
218,5
217,4
216,1
215,2
214,3
213,3
212,1
209,3
208,3
207,2
206,2
205,3
204,4
203,1
202,4
201,3
199,2
198,1
197,3
196,4
195,1
194,2
193,2
191,1
190,2
189,3
188,4
187,1
186,3
185,2
184,2
183,1
182,1
181,6
180,1
179,1
178,2
177,3
176,1
174,4
173,1
172,3
171,1
170,1
169,1
168,2
167,5
166,2
165,1
164,1
163,1
162,3
161,3
160,3
159,5
158,3
157,3
156,3
154,3
152,7
151,5
150,6
149,3
148,3
147,4
146,3
145,4
144,3
143,1
142,6
141,7
140,3
139,5
138,4
137,3
136,5
135,2
134,2
133,3
132,2
131,2
130,5
129,7
127,3
126,6
125,5
124,4
123,2
122,4
121,7
120,1
119,5
118,5
117,2
116,4
115,5
114,6
113,7
112,4
111,2
110,7
109,6
108,4
107,8
106,10
105,7
104,4
103,4
102,6
101,12
100,13
99,7
98,7
97,7
96,5
95,7
94,13
93,3
92,8
91,8
90,11
89,7
88,5
87,8
86,9
85,9
84,8
83,11
82,7
81,13
80,7
79,13
78,12
77,5
76,6
75,5
74,13
73,13
72,11
71,10
70,20
69,14
68,14
67,8
66,21
65,14
64,21
63,11
62,15
61,17
60,15
59,8
58,18
57,13
56,23
55,28
54,17
53,28
52,23
51,18
50,27
49,24
48,16
47,20
46,20
45,23
44,30
43,26
42,18
41,30
40,37
39,27
38,38
37,27
36,34
35,45
34,38
33,33
32,45
31,48
30,61
29,38
28,59
27,53
26,63
25,60
24,71
23,72
22,66
21,99
20,100
19,98
18,109
17,145
16,121
15,170
14,184
13,216
12,232
11,301
10,315
9,421
8,451
7,532
6,696
5,946
4,1443
3,2379
2,4981
1,15402
