frequency,num_unique_tokens
7119,1
4852,1
3725,1
3629,1
3314,1
3260,1
3193,1
2998,1
2798,1
2225,1
2174,1
2117,1
2045,1
2005,1
1991,1
1856,1
1798,1
1767,1
1745,1
1593,1
1590,1
1514,1
1497,1
1444,1
1418,1
1372,1
1355,2
1351,1
1350,1
1349,1
1326,1
1321,1
1310,1
1290,1
1285,1
1283,1
1197,1
1164,1
1151,1
1132,1
1120,1
1018,1
1004,1
984,1
966,1
963,1
943,1
916,1
895,1
890,1
888,1
881,1
872,1
856,1
850,1
845,1
833,1
789,1
786,1
779,1
775,1
771,1
751,1
739,1
737,1
731,1
720,1
705,1
702,1
691,2
683,1
682,1
680,1
678,1
675,2
673,1
669,1
652,1
642,1
641,1
638,1
628,1
619,1
618,1
606,1
602,1
595,1
590,1
586,3
582,2
577,1
570,1
567,2
566,2
556,1
547,2
546,1
545,1
541,1
540,1
533,1
531,1
529,1
528,1
525,1
522,3
518,1
517,1
511,1
509,1
508,2
505,1
502,1
500,1
495,1
490,1
487,1
482,1
478,1
474,1
473,2
472,1
469,1
463,1
462,1
461,1
458,2
457,1
452,1
451,1
447,1
445,2
442,1
440,1
435,1
433,1
430,1
426,1
422,2
417,1
416,1
414,1
412,1
411,2
408,1
407,1
403,2
402,1
401,1
392,1
389,2
388,1
387,1
385,1
379,1
375,1
373,1
372,1
367,1
366,1
365,1
364,1
363,3
361,1
360,1
357,2
349,2
348,2
347,1
346,1
345,1
344,2
343,1
342,2
341,2
340,1
339,1
338,1
337,2
332,1
329,1
328,1
326,2
324,1
323,1
321,1
320,1
319,2
318,1
317,1
316,2
314,3
312,2
310,1
308,1
306,3
305,1
304,2
302,4
301,1
300,2
299,3
297,1
295,3
294,1
293,2
292,1
291,2
289,1
288,2
287,1
286,2
285,2
283,1
282,1
281,2
280,1
279,2
278,1
277,2
274,1
273,1
272,1
271,1
270,4
268,3
267,2
266,1
265,1
264,2
263,1
262,2
259,3
258,2
255,1
254,2
253,1
252,3
251,2
250,1
249,3
248,2
247,1
246,1
245,2
244,2
243,1
242,5
240,2
239,5
238,3
236,2
235,2
233,2
232,2
231,2
230,1
229,2
228,1
227,2
226,2
224,4
223,1
222,6
221,2
220,3
219,3
218,3
216,1
215,1
214,5
213,2
212,2
211,4
210,6
209,4
208,3
207,1
206,5
205,3
204,3
203,2
202,3
201,2
200,3
199,2
198,1
197,4
196,2
195,2
194,7
193,2
192,4
191,2
190,6
189,2
188,4
187,3
186,3
185,5
184,5
183,1
182,5
180,3
179,2
178,1
177,5
176,1
175,3
174,4
173,1
171,1
170,2
169,3
168,4
167,2
166,8
165,6
164,5
163,4
162,3
161,5
160,5
159,2
158,7
157,2
155,2
154,2
153,8
152,2
151,2
150,8
149,4
148,1
147,2
146,6
145,7
144,8
143,2
142,5
141,4
140,6
139,5
138,6
137,2
136,6
135,9
134,5
133,9
131,11
130,6
129,1
128,11
127,4
126,4
125,4
124,5
123,7
122,3
121,6
120,7
119,7
118,6
117,8
116,4
115,10
114,5
113,9
112,12
111,9
110,10
109,7
108,8
107,9
106,13
105,10
104,11
103,12
102,10
101,9
100,10
99,11
98,4
97,8
96,10
95,10
94,12
93,12
92,12
91,9
90,15
89,13
88,11
87,18
86,10
85,10
84,18
83,13
82,15
81,13
80,19
79,16
78,17
77,9
76,14
75,22
74,16
73,18
72,14
71,19
70,19
69,28
68,14
67,21
66,21
65,27
64,33
63,30
62,22
61,26
60,32
59,22
58,34
57,32
56,24
55,45
54,36
53,31
52,38
51,40
50,40
49,34
48,42
47,49
46,41
45,49
44,62
43,55
42,56
41,71
40,49
39,55
38,71
37,75
36,72
35,76
34,85
33,93
32,82
31,126
30,125
29,117
28,129
27,132
26,137
25,167
24,186
23,210
22,217
21,204
20,214
19,279
18,286
17,317
16,396
15,416
14,493
13,576
12,678
11,816
10,944
9,1195
8,1568
7,1834
6,2770
5,3797
4,6597
3,12710
2,30762
1,148913
