frequency,num_unique_tokens
9614,1
8059,1
7944,1
5763,1
5361,1
5036,1
4362,1
4141,1
4081,1
4008,1
4006,1
3715,1
3659,1
3632,1
3589,1
3581,1
3287,1
3040,1
2838,1
2722,1
2549,1
2547,1
2457,1
2454,1
2443,1
2378,1
2370,1
2302,1
2301,1
2290,1
2240,1
2232,1
2201,1
2176,1
2162,1
2125,1
2027,1
2021,1
2017,1
1974,1
1953,1
1873,1
1851,1
1840,1
1805,1
1780,1
1713,1
1693,2
1649,1
1623,1
1618,1
1563,1
1550,1
1539,1
1537,2
1519,1
1518,2
1516,1
1466,1
1464,1
1458,1
1450,1
1437,1
1431,1
1423,1
1385,1
1372,1
1364,1
1360,1
1349,1
1343,1
1325,1
1311,1
1302,1
1284,1
1280,1
1268,1
1267,1
1265,1
1256,1
1234,1
1213,1
1207,1
1204,1
1202,1
1193,1
1188,1
1182,1
1174,1
1132,1
1122,1
1118,1
1109,1
1108,1
1099,1
1089,1
1088,1
1079,1
1066,1
1048,1
1037,1
1031,1
1030,1
1029,1
1009,1
986,1
982,2
979,1
960,1
956,1
953,1
951,1
949,1
914,2
910,1
907,1
902,1
898,1
896,1
893,3
892,1
886,2
865,1
863,1
854,1
851,1
849,2
848,1
825,1
819,1
816,1
813,1
808,1
806,1
804,1
802,1
797,1
794,1
792,1
787,1
773,1
771,1
770,1
758,1
757,1
754,1
737,1
735,1
734,1
723,1
721,1
717,1
706,1
701,1
699,2
698,1
693,1
687,1
686,1
683,1
677,1
672,1
668,1
662,2
660,1
653,1
645,1
641,1
640,1
634,1
631,1
626,2
625,1
624,1
620,1
618,1
617,1
613,1
606,1
601,1
589,1
587,1
586,1
583,1
582,1
577,1
573,1
571,1
568,1
567,1
566,1
564,1
560,2
558,1
555,1
552,1
547,1
544,1
537,1
534,1
529,2
528,1
518,1
515,1
511,2
510,1
509,2
506,1
504,1
500,1
499,1
497,2
493,1
489,1
488,2
486,1
485,2
480,2
478,1
473,1
471,1
469,1
468,2
466,2
465,1
463,2
462,1
461,1
460,2
459,2
456,2
449,1
448,2
444,2
442,3
440,1
437,1
436,1
434,1
428,1
425,1
424,3
422,1
420,1
418,2
413,1
411,1
409,3
408,1
406,1
403,2
402,1
395,2
394,1
392,1
390,1
385,1
384,1
383,1
381,2
379,2
378,2
377,1
376,2
375,1
372,1
368,1
367,3
366,1
364,1
361,2
359,2
358,1
355,2
350,2
349,1
348,1
347,1
346,2
345,2
344,2
342,1
340,1
338,2
337,3
334,1
332,2
331,1
330,1
328,1
327,1
325,3
324,2
323,1
322,3
321,2
319,3
317,1
316,1
315,2
312,1
311,2
310,2
308,1
307,2
305,2
304,3
303,5
302,3
301,1
300,2
299,1
298,2
297,3
296,2
295,2
294,2
292,2
291,1
290,4
289,3
288,3
287,1
286,2
285,2
284,3
283,3
282,1
281,2
279,2
278,3
277,3
275,2
274,1
273,2
272,2
271,4
270,1
267,2
265,3
264,1
263,2
262,2
260,1
259,1
258,1
257,3
256,2
255,2
254,3
252,3
251,1
250,4
249,3
248,1
247,5
245,3
244,3
243,5
242,3
241,3
240,2
239,3
237,2
236,1
235,1
234,3
232,3
231,1
230,3
229,4
228,2
227,4
226,2
224,3
223,5
222,4
221,5
220,3
219,1
218,6
217,2
216,4
215,3
214,1
213,2
212,3
211,5
210,1
209,1
208,2
207,3
206,3
204,2
203,1
202,2
201,1
200,3
199,2
198,3
197,3
196,7
195,4
194,3
193,3
192,6
191,5
190,3
188,2
187,3
186,2
185,2
183,3
182,4
181,8
180,1
179,2
178,6
177,3
176,4
175,3
174,5
173,3
172,1
171,3
170,2
169,3
168,4
167,1
166,6
165,5
164,7
163,5
162,3
161,3
160,3
159,4
158,2
157,2
156,7
155,7
154,4
153,4
152,2
151,6
150,4
149,8
148,6
147,1
146,5
145,9
143,6
142,7
141,6
140,9
139,5
138,10
137,5
136,4
135,6
134,6
133,10
132,9
131,8
130,6
129,5
128,4
127,7
126,3
125,2
124,3
123,6
122,9
121,9
120,5
119,11
118,10
117,8
116,6
115,4
114,5
113,8
112,9
111,6
110,9
109,10
108,4
107,8
106,13
105,7
104,7
103,8
102,7
101,15
100,8
99,9
98,10
97,13
96,9
95,9
94,10
93,17
92,7
91,17
90,11
89,11
88,5
87,7
86,15
85,13
84,13
83,10
82,15
81,9
80,12
79,15
78,19
77,12
76,14
75,17
74,21
73,16
72,16
71,17
70,23
69,24
68,21
67,24
66,23
65,22
64,33
63,25
62,28
61,16
60,18
59,33
58,24
57,31
56,28
55,38
54,34
53,36
52,26
51,36
50,37
49,41
48,38
47,44
46,30
45,43
44,43
43,53
42,45
41,57
40,47
39,54
38,44
37,55
36,73
35,77
34,76
33,66
32,74
31,81
30,98
29,86
28,99
27,95
26,106
25,142
24,140
23,125
22,163
21,162
20,202
19,225
18,240
17,245
16,285
15,304
14,376
13,435
12,452
11,598
10,672
9,866
8,1076
7,1315
6,1796
5,2491
4,4080
3,7191
2,16196
1,63392
