frequency,num_unique_tokens
1508,1
875,1
822,1
806,1
709,1
687,1
682,1
680,1
620,1
580,1
494,1
482,1
450,2
427,1
408,1
390,1
388,1
383,1
378,1
344,1
320,2
312,1
299,1
291,1
289,1
285,1
275,1
274,1
271,1
267,1
261,1
257,1
248,1
246,2
241,1
239,1
238,1
233,1
227,1
223,1
220,1
205,1
199,1
194,1
189,3
188,1
185,1
182,1
181,1
179,1
177,1
176,1
175,1
174,1
172,1
170,1
169,1
165,1
163,1
162,1
161,1
160,1
159,1
156,1
155,3
154,2
153,3
150,4
149,3
147,1
146,1
145,2
143,1
140,1
138,1
135,1
134,1
132,1
129,1
128,3
127,1
126,2
125,1
124,1
123,4
118,1
117,1
114,2
113,1
112,2
110,1
108,1
107,1
106,1
105,3
104,1
103,1
102,2
100,1
99,4
98,2
97,1
96,2
93,1
92,1
91,1
90,3
89,1
88,1
87,1
86,1
85,1
84,2
82,2
81,1
80,1
79,3
78,5
77,3
76,2
75,2
73,5
72,4
71,1
70,4
69,2
68,3
67,5
66,4
65,3
64,4
63,4
62,2
61,2
60,4
59,3
58,5
57,2
56,4
55,4
54,2
53,6
52,1
51,4
50,6
49,4
48,4
46,6
45,4
44,5
43,1
42,6
41,9
40,4
39,6
38,10
37,6
36,7
35,11
34,6
33,8
32,13
31,6
30,8
29,13
28,13
27,11
26,11
25,15
24,17
23,13
22,19
21,26
20,30
19,24
18,26
17,22
16,37
15,35
14,44
13,50
12,56
11,60
10,73
9,85
8,108
7,150
6,151
5,203
4,327
3,515
2,1070
1,4409
