frequency,num_unique_tokens
404,1
197,1
180,1
173,1
169,1
159,1
157,1
148,1
135,1
117,1
115,1
106,2
105,1
97,1
96,1
94,2
90,2
89,1
86,1
83,1
81,3
79,1
77,2
76,1
74,2
73,1
71,1
70,2
69,3
68,1
65,3
64,2
62,1
61,1
60,1
59,1
58,1
57,1
56,1
55,2
54,1
53,2
52,4
51,1
50,3
49,3
48,5
47,2
46,4
45,3
44,5
43,3
42,4
41,4
40,4
39,2
38,7
37,1
36,4
35,6
34,6
33,3
32,10
31,4
30,14
29,6
28,11
27,7
26,13
25,6
24,13
23,12
22,17
21,13
20,22
19,25
18,27
17,26
16,25
15,30
14,52
13,56
12,75
11,80
10,121
9,123
8,166
7,232
6,325
5,491
4,819
3,1504
2,3675
1,25036
