frequency,num_unique_tokens
451,1
429,1
412,1
402,1
320,1
317,1
283,1
274,1
256,1
251,1
240,1
221,1
220,1
198,1
195,1
185,1
177,1
169,2
162,1
159,1
155,1
153,2
152,1
151,1
148,1
146,1
144,1
141,1
138,1
130,1
128,1
127,2
126,3
124,1
123,1
119,2
117,2
112,1
109,2
106,3
103,1
100,2
99,1
97,3
96,2
95,1
94,2
93,2
92,1
90,2
89,3
88,1
87,1
86,1
83,1
82,2
81,2
80,2
79,1
78,1
77,3
75,3
74,1
73,2
72,4
70,3
69,2
68,3
67,1
66,3
65,5
64,2
63,5
62,2
61,2
59,5
58,2
57,5
56,6
55,5
54,3
53,6
52,2
51,5
50,6
49,5
48,5
47,2
46,4
45,4
44,7
43,3
42,7
41,9
40,7
39,5
38,8
37,13
36,7
35,8
34,12
33,13
32,13
31,10
30,15
29,10
28,13
27,12
26,21
25,14
24,14
23,17
22,19
21,29
20,28
19,41
18,39
17,32
16,43
15,51
14,61
13,65
12,83
11,99
10,117
9,138
8,207
7,223
6,268
5,389
4,640
3,1086
2,2470
1,12892
