frequency,num_unique_tokens
4014,1
2809,1
2751,1
2714,1
2658,1
1698,1
1665,1
1494,1
1259,1
1221,1
1197,1
1173,1
1153,1
1062,1
1014,1
998,1
915,1
880,1
867,1
796,1
773,1
763,1
758,1
753,2
742,1
736,1
716,1
675,1
634,1
603,1
582,1
569,1
555,1
514,1
508,1
488,1
469,1
462,1
455,1
453,1
413,1
410,1
406,1
389,1
386,1
367,1
347,1
338,1
329,1
323,1
312,1
303,1
302,1
300,1
278,1
274,1
273,1
267,1
266,1
260,1
251,1
248,1
240,1
239,2
232,1
220,1
216,1
203,2
198,1
196,1
192,1
191,1
190,2
181,2
179,1
178,1
176,1
172,2
164,1
157,1
156,1
153,1
143,1
137,1
133,1
127,1
125,2
123,2
120,1
119,1
102,1
98,2
96,1
93,2
91,1
90,1
88,1
87,1
84,1
81,1
79,2
78,1
74,1
73,2
71,1
69,1
68,1
65,2
64,1
63,2
62,1
60,1
59,4
58,6
57,2
56,1
55,1
54,1
53,1
52,2
51,4
50,2
49,1
48,1
47,2
46,1
45,2
44,3
42,3
41,3
40,3
39,2
36,7
35,3
34,1
33,1
32,3
29,1
28,5
27,3
26,4
25,4
24,4
23,4
22,8
21,2
20,7
19,6
18,5
17,4
16,9
15,4
14,9
13,11
12,23
11,14
10,16
9,15
8,20
7,20
6,14
5,34
4,38
3,73
2,136
1,423
