token,frequency
do you,1083
that you,560
have you,519
are you,362
third person,330
you said,268
first person,247
you like,242
you played,215
is it,212
games from,209
games that,208
on steam,202
you think,198
is a,193
it 's,189
you ever,186
person perspective,180
about the,180
you mentioned,173
you mean,172
that was,167
games on,161
developed by,157
i 'm,156
games like,156
to be,155
on the,154
what is,153
to play,152
for the,148
such as,145
pc games,145
fan of,144
game that,144
what 's,140
m rated,138
talking about,137
a game,134
you 're,133
heard of,132
you feel,131
mean the,130
games with,130
why do,129
of the,129
was a,128
the pc,126
game you,123
i know,123
game i,121
it about,120
you know,120
do n't,118
said that,118
you enjoy,118
is the,116
ever played,115
a fan,115
person games,115
if you,114
rated games,113
multiplayer games,113
you heard,113
view perspective,112
you find,110
did n't,109
with a,109
the playstation,106
made by,106
a good,104
i think,102
bird view,101
know you,98
you say,97
played any,96
i remember,95
in general,94
you talking,93
released in,93
what do,91
earlier that,89
would you,88
the game,88
games you,86
you 've,85
's a,85
you liked,83
game from,82
makes you,82
side view,82
since you,82
games released,81
playstation games,81
that makes,78
games developed,78
think is,77
you have,77
one of,77
said you,77
mentioned that,76
that 's,75
like do,75
a pretty,74
know of,74
so i,73
thought was,72
pretty good,72
is that,72
came out,72
for example,72
played it,72
's the,71
available on,71
fond of,70
is an,70
xbox games,69
you found,68
out in,68
of games,67
good game,67
that are,67
the xbox,67
have a,66
said earlier,66
speaking of,66
i was,66
of it,65
games i,65
the one,65
adventure games,65
the most,64
remember you,63
pc game,63
think that,63
games are,63
that the,63
that i,62
games made,62
game is,61
it was,61
games by,61
like to,60
your favorite,59
any games,59
a third,58
i thought,57
you can,57
a bird,57
the same,57
the games,56
i like,56
was just,56
i enjoyed,56
you tried,56
games for,55
you generally,55
you felt,55
person game,55
tend to,55
that is,54
a mac,54
that came,54
perspective games,54
like for,54
the first,54
to the,53
the multiplayer,53
sports games,53
i 've,53
'm curious,53
by that,52
seem to,52
found to,51
but i,51
n't like,51
other games,51
you did,50
you thought,50
can play,50
action-adventure shooters,50
my favorite,50
games have,50
why is,49
you love,49
game do,49
the third,49
e rated,49
on playstation,48
is there,48
like it,48
for a,47
about other,47
you a,47
single-player games,46
the bird,46
you do,46
there any,46
of a,46
with multiplayer,46
games rated,46
the that,45
so much,45
a really,45
bird 's,44
's eye,44
was pretty,44
a multiplayer,44
did you,44
game for,44
played a,44
the you,43
you seem,43
view games,43
one that,43
is this,43
a first,42
mac release,42
and i,42
i wonder,42
eye view,42
game with,42
year for,42
you enjoyed,42
told me,41
and it,41
games what,41
you really,41
games in,41
vehicular combat,41
like games,41
that have,41
multiplayer game,41
from a,40
rated game,40
rated e,40
a lot,39
you play,39
you familiar,39
familiar with,39
you also,39
the case,39
feel the,39
the best,39
indie adventure,39
you were,38
you told,38
're talking,38
referring to,38
on linux,38
liked do,38
i really,38
looking for,38
like i,38
person action-adventure,38
i do,37
you just,37
they 're,37
i can,37
in your,37
game on,37
but the,37
which is,37
earlier you,36
playing games,36
on pc,36
t rated,36
and the,36
strategy games,36
in my,36
of any,36
enjoy playing,35
felt was,35
on xbox,35
but it,35
games so,35
n't have,34
've played,34
so you,34
puzzle games,34
it that,34
say that,34
for mature,34
you dislike,34
'm wondering,34
any of,34
an okay,34
a linux,34
in the,34
not a,34
you are,33
action-adventure shooter,33
video game,33
ever play,33
you typically,33
play games,33
video games,33
the m,33
be average,32
for all,32
released for,32
is n't,32
action-adventure games,32
it is,32
m for,32
like that,32
was an,32
released on,32
rated t,32
was wondering,32
of multiplayer,32
had a,32
you saying,31
feel that,31
me that,31
by you,31
of your,31
does n't,31
like are,31
when you,31
play it,31
was have,31
like have,31
way about,31
of third,31
your opinion,30
a bit,30
shooter games,30
can you,30
at all,30
it i,30
i just,30
linux release,30
with the,30
you prefer,30
is one,30
the nintendo,30
it before,30
ever heard,29
big fan,29
back in,29
pretty fun,29
wonder if,29
in 2017,29
real-time strategy,29
games such,29
as do,29
by are,29
with it,29
t for,29
for teen,29
of my,29
by do,29
like playing,29
for games,28
simulation games,28
are there,28
game but,28
e 10+,28
on mac,28
in 2015,28
find so,28
played from,27
was released,27
game and,27
about games,27
saying that,27
you disliked,27
by i,27
a solid,27
like the,27
sport racing,27
about 's,27
was n't,27
driving/racing games,27
for you,26
it you,26
lot of,26
a big,26
action-adventure puzzle,26
in 2014,26
that has,26
like is,26
ca n't,26
games is,26
the action-adventure,26
be a,26
's on,26
the other,26
have been,26
text adventure,26
racing games,26
this the,26
is your,25
from the,25
if i,25
an m,25
m rating,25
a fun,25
okay game,25
like you,25
to make,25
play on,25
you tend,25
to enjoy,25
rated m,25
you usually,25
you in,24
there a,24
games and,24
've been,24
you referring,24
're looking,24
have any,24
'm not,24
i did,24
case for,24
action strategy,24
was the,23
you normally,23
previously you,23
from you,23
game made,23
favorite games,23
games do,23
okay but,23
the single-player,23
you would,23
kind of,23
just not,23
for everyone,23
i normally,23
it a,23
single-player game,23
n't really,23
on my,23
average are,22
you not,22
i recall,22
by the,22
perspective is,22
you loved,22
n't a,22
's games,22
n't you,22
combat games,22
about third,22
can get,22
get on,22
from i,22
for me,22
adventure game,22
such a,22
mentioned the,22
same way,22
multiplayer mode,22
're into,22
is just,22
just okay,21
what would,21
indie point-and-click,21
are n't,21
mentioned earlier,21
of 's,21
enjoy games,21
i enjoy,21
has a,21
from 1999,21
by is,21
as i,21
single-player only,21
to you,21
game in,21
we 're,21
nintendo switch,21
same about,21
by have,21
e for,21
're a,20
with my,20
that it,20
a great,20
them so,20
fun game,20
made it,20
a side,20
example do,20
is pretty,20
heard about,20
i liked,20
games but,20
t rating,20
playstation i,20
games to,19
point-and-click puzzle,19
play with,19
of that,19
really like,19
so what,19
the side,19
wondering do,19
think you,19
perspective i,19
mentioned you,19
my opinion,19
point-and-click adventure,19
enjoyed playing,19
an average,19
average game,19
it since,19
game developed,19
quite a,19
the indie,19
i had,19
how to,19
mac and,19
just a,19
like so,19
enjoyed was,19
i 'd,19
that were,18
of action-adventure,18
game it,18
merely average,18
games why,18
from 2017,18
say is,18
you had,18
you into,18
think the,18
a nice,18
steam is,18
about it,18
puzzle game,18
other third,18
think of,18
game released,18
wondering if,18
much what,18
in 2005,18
as have,18
liked are,18
role-playing elements,18
nintendo games,18
by such,18
all games,17
were not,17
role-playing games,17
released back,17
it did,17
because it,17
's not,17
say you,17
thought that,17
released by,17
strategy simulators,17
of all,17
's your,17
from is,17
wondering have,17
fun playing,17
play any,17
like multiplayer,17
developer and,17
there 's,17
in 2011,17
also like,17
like what,17
steam you,17
multiplayer is,17
was developed,17
from 2011,17
a fair,17
curious do,17
i love,17
strategy game,17
out on,17
to have,17
game are,17
experience with,17
about m,17
but nothing,17
with role-playing,17
have multiplayer,16
multiplayer i,16
not that,16
pc i,16
most of,16
by what,16
you often,16
steam i,16
like first,16
played lately,16
of pc,16
just average,16
good i,16
it and,16
games available,16
feel like,16
which was,16
you might,16
in 2016,16
simulation strategy,16
fair amount,16
the e,16
mean that,16
person driving/racing,16
i have,16
and linux,16
of i,16
interested in,16
like third,16
player perspective,16
in 2010,16
played i,16
average is,16
've ever,15
n't enjoy,15
pc you,15
shooters that,15
a very,15
multiplayer option,15
to like,15
rated action-adventure,15
favorite game,15
from 2014,15
what makes,15
n't mind,15
for instance,15
but not,15
average in,15
in quality,15
make a,15
bad game,15
it being,15
's this,15
any experience,15
the subject,15
subject of,15
a developer,15
can be,15
curious have,15
in games,15
or was,15
steam like,15
enjoy them,15
got a,15
from 2016,15
all the,15
game have,15
really enjoyed,15
from that,15
on nintendo,15
hack-and-slash adventure,15
pc is,15
general do,15
you 'd,15
ever tried,15
for other,15
the t,15
true for,14
recall that,14
normally like,14
to find,14
since it,14
my friends,14
excellent game,14
an amazing,14
are so,14
you hate,14
playing it,14
driving/racing simulators,14
perspective that,14
games or,14
really good,14
feel about,14
a try,14
as you,14
about do,14
an e,14
perspective in,14
being on,14
is have,14
're on,14
about is,14
at least,14
a decent,14
turn-based strategy,14
tell me,14
might like,14
i guess,14
generally like,14
playstation game,14
any other,14
other action-adventure,14
driving/racing game,14
enjoyed are,14
perspective you,14
it came,14
are always,14
some of,14
find them,14
lately that,14
from 2015,14
pretty average,14
know any,14
you remember,14
it on,14
a t,14
playstation you,14
makes it,14
games lately,14
a moment,14
moment ago,14
case with,14
loved do,13
generally not,13
not fond,13
sports game,13
steam are,13
you commonly,13
enjoy the,13
as well,13
it have,13
of is,13
how much,13
are available,13
with puzzles,13
the driving/racing,13
view game,13
fun to,13
as are,13
by like,13
not impressed,13
lineup of,13
you always,13
pc that,13
a terrible,13
xbox you,13
able to,13
while we,13
on a,13
was it,13
it just,13
feel similarly,13
similarly about,13
like other,13
's got,13
think was,13
by in,13
oh do,13
game the,13
enjoy multiplayer,13
the rest,13
game what,13
like about,13
this game,13
what they,13
i could,13
average i,13
not like,13
are rated,13
playing i,13
the mac,13
good games,13
i would,13
one i,13
does it,13
by any,13
any chance,13
adventure puzzle,13
'm looking,13
you to,13
you should,13
game would,13
of first,13
does that,13
person pc,13
the developer,13
you given,13
steam do,13
could have,13
action-adventure platformers,13
games played,12
you frequently,12
of do,12
that do,12
in 2001,12
right do,12
think it,12
sports simulation,12
've heard,12
so-so about,12
enjoy about,12
to me,12
safe to,12
of playstation,12
game to,12
it if,12
by was,12
easy to,12
of what,12
just like,12
are not,12
lately what,12
how do,12
's pc,12
and a,12
music games,12
like a,12
think about,12
action adventure,12
