token,frequency
what is it about,118
do you mean the,102
are you talking about,93
have you heard of,92
have you played any,85
have you ever played,85
you said that you,75
you talking about the,67
you said earlier that,66
said earlier that you,56
what do you think,55
that came out in,51
why do you think,47
you mentioned that you,46
have you played it,46
you found to be,45
bird 's eye view,42
a third person perspective,42
do you know of,41
is it about the,39
are you familiar with,39
you heard of it,37
are you a fan,37
you liked do you,36
a bird view perspective,36
you said that was,36
you feel the same,36
do you think is,34
you ever played a,34
the bird view perspective,33
do you feel the,33
you 're talking about,32
the first person perspective,32
you a fan of,32
that you found to,31
you like to play,31
're talking about the,29
found to be average,28
such as do you,28
you think is the,27
i wonder if you,27
that you liked do,27
i remember you saying,26
a first person perspective,26
do you think that,26
ever played a game,26
why is it that,25
with a third person,25
third person perspective games,25
you told me that,24
games like do you,24
told me that you,23
you saying that you,23
said that you liked,23
rated t for teen,23
you know of any,23
you seem to be,23
a big fan of,22
are you referring to,22
you 're looking for,22
you ever heard of,22
you familiar with it,22
the same way about,22
you did n't like,22
that you thought was,21
wonder if you 've,21
remember you saying that,21
is it that you,21
with a bird view,21
by do you mean,21
that you did n't,20
what would you say,20
you mentioned earlier that,20
is the you 're,20
you mentioned that was,20
you played any games,20
have you ever heard,20
feel the same way,20
games have you tried,20
what 's the most,20
that you felt was,20
the case for all,20
games on the pc,19
a pretty good game,19
for example do you,19
you referring to the,19
if you 're looking,19
was have you played,19
the third person perspective,19
that you find so,19
i enjoyed was have,19
enjoyed was have you,19
you ever played it,19
rated m for mature,19
do you in general,18
mentioned earlier that you,18
i know you like,18
said that you disliked,18
would you say that,18
one of my favorite,18
have you heard about,18
do you tend to,18
games that makes you,18
game you know of,18
such as have you,18
feel the same about,18
rated e for everyone,18
is this the case,18
games on the playstation,18
you mean the that,17
do you enjoy playing,17
is a good game,17
first person perspective games,17
games with a third,17
games what is it,17
games that came out,17
that i enjoyed was,17
you liked are you,17
since you seem to,17
not a fan of,17
this the case for,17
previously you told me,16
the you 're talking,16
of your favorite games,16
the side view perspective,16
do you ever play,16
do you have any,16
talking about the one,16
do you like to,16
the same about other,16
seem to be a,16
to be a fan,16
be a fan of,16
game you 've played,15
think is the most,15
like do you like,15
did you ever play,15
on the subject of,15
're looking for a,15
you played any of,15
i 'm curious do,15
'm curious do you,15
in general do you,15
that you liked are,15
do you feel that,14
why do you find,14
would you say you,14
a bird 's eye,14
games developed by that,14
game that came out,14
a side view perspective,14
if you do n't,14
you do n't mind,14
was an okay game,14
do you also like,14
a fan of games,14
we 're on the,14
're on the subject,14
played any of the,14
you can get on,14
can get on steam,14
that makes you enjoy,14
makes you enjoy them,14
the one that 's,14
it about the games,14
do you know any,14
you said you were,14
is the you mentioned,14
the you mentioned the,14
you mean the pc,14
games rated m for,14
indie point-and-click puzzle games,13
are you generally not,13
i know you 're,13
games with a bird,13
do you have a,13
what 's your favorite,13
like for example do,13
like have you played,13
games rated t for,13
you have any experience,13
you said you liked,13
is it about 's,13
with a first person,13
do you like games,13
what 's a really,13
i 'm looking for,13
you played it before,13
third person action-adventure shooters,13
do you think the,13
what 's a game,13
you 're a fan,12
're a fan of,12
is it about games,12
one of your favorite,12
by that makes you,12
would you say is,12
such as are you,12
you feel similarly about,12
you mean the game,12
's eye view games,12
i thought that was,12
oh do you mean,12
are you fond of,12
that you can play,12
a fan of multiplayer,12
why do you love,12
much what is it,12
fan of third person,12
do you like playing,12
games on the xbox,12
you tend to enjoy,12
played a game that,12
on steam do you,12
is one of the,12
that you were not,11
you were not that,11
were not that fond,11
not that fond of,11
games played from a,11
i think that is,11
playing games on the,11
is there a game,11
do n't mind me,11
n't mind me asking,11
how do you feel,11
do you feel about,11
i 'm wondering do,11
'm wondering do you,11
on steam such as,11
an okay game but,11
by are you talking,11
do you think about,11
game that i enjoyed,11
why do n't you,11
games like have you,11
while we 're on,11
do you know about,11
you heard about the,11
do you feel similarly,11
mentioned the one that,11
that was developed by,11
said that was a,11
you think that the,11
a good year for,11
you mean the one,11
do you also enjoy,11
one of the best,11
games that have a,11
i was wondering have,11
was wondering have you,11
do you generally like,11
n't like do you,11
