token,frequency
have you played,180
do you think,157
do you mean,136
you mean the,130
what is it,126
have you ever,123
why do you,118
is it about,118
you said that,115
have you heard,111
do you like,109
a fan of,107
talking about the,100
you ever played,100
third person perspective,99
i know you,98
do you feel,97
you heard of,94
are you talking,93
you talking about,93
what do you,89
you played any,85
first person perspective,81
said that you,78
games developed by,77
bird view perspective,76
earlier that you,76
do you enjoy,74
you said you,73
like do you,72
do you know,72
would you say,71
you mentioned that,69
you know of,69
that makes you,67
you said earlier,66
said earlier that,66
third person games,66
m rated games,65
came out in,65
i remember you,63
what 's the,63
a third person,58
games on the,57
like to play,56
games made by,55
have you tried,55
that you liked,54
that came out,53
i 'm curious,53
what 's a,53
games with a,52
do you have,52
mentioned that you,51
found to be,50
heard of it,50
first person games,49
you played it,49
the third person,49
games on steam,48
game do you,48
for the playstation,48
the first person,47
you found to,46
like for example,46
are you a,46
games have you,46
bird 's eye,44
games that are,44
for the pc,44
available on steam,44
do you find,43
you thought was,43
is the you,43
a bird view,43
a first person,42
on the pc,42
that you found,42
you seem to,42
games released in,42
's eye view,42
person perspective games,42
it about the,41
you think is,40
you did n't,39
a mac release,39
game that you,39
are you familiar,39
you familiar with,39
feel the same,39
on the playstation,38
you told me,38
're talking about,38
a good game,38
liked do you,38
you a fan,38
why is it,37
the bird view,37
i think is,36
you liked do,36
said that was,36
you feel the,36
ever played a,36
side view perspective,35
do you also,35
the one that,35
third person action-adventure,35
i 'm wondering,34
you ever play,33
you like to,33
you 're talking,32
m for mature,32
you do n't,32
you think that,32
first person game,32
i was wondering,32
with a bird,31
that you find,31
is it that,31
if you 're,31
was have you,31
like have you,31
of third person,31
did n't like,31
to be average,30
you 've played,30
was a pretty,30
you say that,30
you felt was,30
referring to the,30
i do n't,29
are you generally,29
is a pretty,29
is a good,29
games that you,29
games such as,29
such as do,29
games that have,29
t for teen,29
that was a,29
played a game,29
ever heard of,28
i think that,28
i wonder if,28
one of the,28
as do you,28
since you like,28
by do you,28
is that the,28
you find so,28
i thought was,28
think is the,27
me that you,27
big fan of,27
a pretty good,27
wonder if you,27
if you 've,27
that you felt,27
remember you saying,26
that you did,26
a lot of,26
i can play,26
you saying that,26
games for the,26
on the xbox,26
is this the,26
you feel that,25
that you really,25
it 's a,25
like are you,25
an okay game,25
with a third,25
was pretty good,25
that i enjoyed,25
games like do,25
you tend to,25
that you can,25
seem to be,25
do you generally,25
a game you,25
is one of,25
know of any,25
that you like,25
told me that,24
that you thought,24
you enjoy playing,24
that you disliked,24
are there any,24
any of the,24
you referring to,24
the pc game,24
you 're looking,24
a linux release,24
i 'm not,24
i did n't,24
games with multiplayer,24
pc games from,24
the case for,24
game that was,23
a big fan,23
is there a,23
games do you,23
saying that you,23
you ever heard,23
rated t for,23
looking for a,23
a game that,23
that you enjoyed,23
for the xbox,23
third person game,23
game for the,23
average are you,22
played from a,22
game you 've,22
you in general,22
mentioned that was,22
developed by that,22
side view games,22
played any games,22
vehicular combat games,22
about third person,22
is the most,22
