token,frequency
you,4455
games,2106
the,1769
that,1682
a,1522
i,1425
do,1243
game,1216
is,1187
it,1051
of,1024
like,921
have,762
was,750
for,715
to,714
on,682
are,659
's,624
in,615
about,580
person,577
what,532
with,493
by,477
and,461
from,459
multiplayer,447
played,412
n't,383
pc,377
so,377
rated,352
any,350
third,330
play,328
perspective,320
think,316
but,308
good,301
just,297
said,279
really,271
playstation,270
enjoy,266
first,263
view,261
know,257
not,254
steam,242
ever,230
action-adventure,229
one,228
an,228
as,226
why,220
other,218
be,216
playing,213
released,211
m,202
did,197
mentioned,196
're,192
your,191
xbox,189
my,188
mean,187
such,184
made,182
adventure,182
average,180
pretty,177
fun,173
out,171
heard,170
if,170
feel,167
developed,166
strategy,165
can,160
all,159
'm,156
fan,155
me,152
find,151
would,149
mac,148
bird,145
've,144
makes,139
say,138
talking,138
there,133
this,133
enjoyed,129
earlier,128
single-player,126
linux,122
favorite,121
most,120
love,119
liked,119
e,119
which,117
thought,117
remember,114
indie,114
okay,108
since,106
shooters,104
release,101
nintendo,101
puzzle,100
general,98
t,96
sports,95
shooter,94
them,92
action,92
found,91
rating,91
much,91
they,90
were,89
has,88
developer,88
generally,87
how,86
side,86
tried,86
felt,84
available,84
wondering,82
year,82
does,81
example,81
role-playing,80
driving/racing,80
came,79
had,79
when,78
been,78
great,77
sport,74
speaking,74
or,73
fond,72
simulation,72
also,72
curious,71
always,70
right,69
experience,69
into,68
too,67
2014,66
bad,66
video,66
2015,64
at,61
opinion,60
normally,60
racing,59
quite,57
same,57
get,56
genre,56
simulators,56
2017,56
even,55
got,55
tend,55
way,53
seem,53
dislike,53
lately,53
mature,52
looking,51
best,51
platform,51
amazing,50
could,50
rpgs,49
only,48
some,48
typically,47
up,47
wonder,47
time,47
usually,46
loved,46
before,46
2011,46
platformers,46
very,45
being,45
eye,45
point-and-click,45
combat,45
teen,45
rpg,45
2016,45
oh,44
elements,44
back,43
so-so,43
mediocre,42
excellent,42
prefer,42
case,42
told,41
because,41
vehicular,41
nice,40
better,40
make,40
2005,40
lot,39
familiar,39
2010,39
tactical,38
referring,38
1999,38
quality,38
now,38
their,38
more,38
previously,37
hate,37
solid,36
well,35
'd,35
nothing,34
enjoyable,34
saying,33
often,33
2001,33
disliked,33
terrible,33
something,33
2018,33
hack-and-slash,33
bit,32
big,32
overall,32
real-time,32
driving,32
puzzles,31
particularly,31
releases,31
we,31
gaming,30
though,30
friends,30
content,30
recommend,30
its,29
than,29
recently,29
no,29
merely,28
try,28
10+,28
everyone,28
come,28
music,27
decent,27
both,27
text,27
recall,26
especially,26
ca,26
fighting,26
poor,25
mind,25
simulator,25
without,25
esrb,24
kind,24
mode,24
platformer,24
then,24
shooting,23
unimpressed,23
either,23
truly,23
true,22
gameplay,22
hey,22
go,22
special,22
absolutely,22
might,22
simply,22
switch,22
should,22
option,21
while,21
chance,21
2012,21
liking,21
1994,21
similar,20
many,20
yet,20
tell,19
impressed,19
fair,19
genres,19
mostly,19
easy,18
given,18
interesting,18
2013,18
ago,18
boring,17
totally,17
anything,17
titles,17
2009,17
man,17
amount,17
trivia/board,17
classic,17
player,17
featuring,16
wish,16
never,16
subject,16
least,16
similarly,16
turn-based,16
platforming,16
enjoying,16
knows,16
interested,16
nor,16
seems,16
towards,16
developers,16
2004,15
thing,15
job,15
hated,15
instance,15
lineup,15
lack,15
mmorpg,15
awesome,15
commonly,14
called,14
ok,14
guess,14
another,14
doing,14
still,14
actually,14
moment,14
must,13
sim,13
safe,13
stand,13
rts,13
title,13
able,13
honestly,13
somewhat,13
having,13
mention,13
rest,13
reason,13
coming,13
take,13
mmorpgs,13
care,13
definitely,13
indifferent,13
common,13
neither,13
rather,13
created,13
disappointing,13
1998,13
frequently,12
things,12
asking,12
through,12
hit,12
2007,12
together,12
means,12
choice,12
arcade,12
far,12
family,12
september,12
assume,11
particular,11
fact,11
system,11
2003,11
favorites,11
1993,11
immersive,11
work,10
those,10
type,10
cool,10
encountered,10
among,10
older,10
cheap,10
ambivalent,10
wrong,10
am,10
little,10
check,10
see,10
meant,10
sentiment,10
huge,10
last,10
lukewarm,10
feeling,10
strong,9
real,9
miss,9
others,9
selection,9
perhaps,9
preference,9
getting,9
consider,9
want,9
new,9
unique,9
considering,9
plus,9
blend,9
style,9
expected,9
focus,9
downright,9
challenging,9
trying,9
kids,9
full,9
thoroughly,9
long,9
alright,9
avoid,9
disliking,9
use,9
unfortunately,9
whole,9
believe,9
enough,9
balanced,9
addictive,9
2000,9
scary,9
fairly,8
correctly,8
give,8
suggest,8
off,8
e10+,8
wanted,8
worth,8
important,8
2002,8
plain,8
newest,8
advantage,8
unpleasant,8
need,8
picked,8
although,8
course,8
blast,8
offer,8
entry,8
beautiful,8
lacking,8
comes,8
preferred,8
1990,8
gritty,8
mess,8
pinball,8
feelings,7
involving,7
exceptional,7
worse,7
underwhelming,7
making,7
combined,7
annoying,7
based,7
fantastic,7
gotten,7
cup,7
tea,7
money,7
thoughts,7
role,7
mentioning,7
simulations,7
convenient,7
combine,7
ask,7
regularly,7
correct,7
story,7
worst,7
held,7
upcoming,7
checked,7
hold,7
day,7
effort,7
surprised,7
suitable,7
realistic,7
entertaining,6
weirdest,6
ended,6
let,6
over,6
convenience,6
support,6
these,6
fortunately,6
happy,6
thinking,6
unfair,6
gamer,6
rewarding,6
spectacular,6
december,6
1,6
calming,6
spectrum,6
holobyte,6
inc.,6
high,6
incredible,6
dig,6
down,6
whose,6
waste,6
ta,6
telling,6
help,6
part,6
revolting,6
oldest,6
short,6
surprisingly,6
talented,6
2008,6
supposed,6
june,6
29,6
potential,6
sometimes,6
unusual,6
cheerful,6
shortest,6
os,6
overrated,6
anyway,6
used,6
underrated,6
11,6
empowering,6
quick-to-learn,6
tearjerking,6
bizarre,6
ones,6
friendly,6
poorly,6
absorbing,6
frightening,6
dynamic,6
14,6
fascinating,6
barely,5
everything,5
ah,5
hard,5
greatly,5
campaign,5
explain,5
lots,5
takes,5
exciting,5
anyways,5
talk,5
launched,5
shows,5
10,5
appreciate,5
availability,5
excited,5
put,5
limiting,5
expectations,5
dull,5
sure,5
going,5
component,5
away,5
rave,5
version,5
adore,5
certain,5
gave,5
all-around,5
perfect,5
strongly,5
thrilling,5
complete,5
sort,5
considered,5
off-putting,5
old,5
bunch,5
every,5
frustrating,5
sad,5
different,5
include,5
point,5
dug,5
matter,5
ok.,5
around,5
live,5
lackluster,5
1986,5
recent,5
themes,5
horror,5
super,5
stated,4
adequate,4
however,4
sold,4
gives,4
runs,4
options,4
certainly,4
smash,4
already,4
rare,4
lame,4
exception,4
adventures,4
aspects,4
once,4
clearly,4
talked,4
famous,4
trivia,4
knew,4
complex,4
managed,4
mine,4
attractive,4
scrolling,4
kinda,4
add,4
own,4
understand,4
name,4
ultimately,4
figured,4
anyone,4
attempt,4
people,4
feels,4
mixed,4
vehicle,4
appropriate,4
run,4
after,4
mindless,4
underwhelmed,4
basically,4
meh,4
competent,4
platforms,4
specific,4
whether,4
expect,4
pick,4
problem,4
end,4
odd,4
quirky,4
will,4
confusing,4
nauseating,4
idea,4
probably,4
few,4
despite,4
disappointed,4
aspect,4
dated,4
who,4
stuff,4
seen,4
again,4
soon,4
stunning,4
graphics,4
simple,4
complicated,4
boot,4
smart,4
adored,3
trust,3
online,3
crowd,3
leaves,3
keep,3
genuinely,3
shocking,3
blow,3
jarring,3
wait,3
seemed,3
specifically,3
alone,3
between,3
fine,3
turn,3
finished,3
sadly,3
age,3
hardest,3
instead,3
added,3
offensive,3
uses,3
entertainment,3
value,3
leave,3
top,3
bird's-eye,3
october,3
16,3
tame,3
started,3
