token,frequency
is a,1701
third person,1205
do you,1083
is an,892
it is,847
on steam,782
available on,780
released in,775
and pc,687
playstation xbox,680
it 's,671
was released,647
first person,630
game that,594
that you,593
have you,524
on playstation,498
xbox and,495
it was,487
developed by,477
the game,476
game is,447
bird view,445
is available,416
a good,403
for playstation,399
if you,389
person perspective,365
are you,362
that was,342
came out,339
you like,339
a third,332
and is,331
you can,328
is rated,319
out in,314
for the,297
a bird,296
it has,294
linux or,292
with a,291
a multiplayer,290
or mac,290
game with,290
strategy game,274
view perspective,274
action-adventure shooter,271
an excellent,270
you said,268
for mature,267
m for,252
is it,249
pc and,245
shooter game,231
an action-adventure,230
the playstation,229
on the,223
for teen,218
game it,217
is not,217
t for,217
to be,216
you played,215
games that,215
an average,213
for everyone,212
game from,210
games from,210
's a,208
side view,205
released for,204
that is,201
rated m,201
adventure game,201
have a,198
you think,198
you 're,198
a first,197
person action-adventure,197
and it,194
game for,193
multiplayer mode,192
pc it,192
released on,192
to play,191
rated e,189
mac release,187
rated t,187
you ever,186
steam is,184
on linux,184
about the,181
be played,180
that came,180
can play,178
was developed,178
playstation and,178
the pc,176
person shooter,176
no multiplayer,176
you mentioned,173
you mean,172
has a,171
a game,170
can be,169
simulation game,167
role-playing game,166
games on,164
available for,164
was a,164
real-time strategy,163
by is,162
but it,160
not available,160
i 'm,160
it does,159
game you,158
it on,157
games like,157
and third,156
and mac,156
an indie,155
of the,154
such as,154
what is,153
xbox nintendo,153
games with,148
e for,148
fan of,147
pc games,146
indie adventure,145
a linux,144
multiplayer is,144
game released,143
does not,142
m rated,141
what 's,141
pc but,141
talking about,138
for pc,138
from a,136
does n't,136
you enjoy,135
on pc,134
n't have,133
is the,133
and has,133
you feel,132
heard of,132
made by,132
mean the,130
by it,130
action-adventure game,130
why do,129
in 2014,129
on mac,127
played in,127
in the,126
this game,126
with multiplayer,125
linux and,125
i know,125
by and,124
game i,123
do n't,122
play it,122
the third,122
a mac,120
it about,120
you know,120
by the,119
but not,119
turn-based strategy,119
said that,118
puzzle game,117
a fan,117
person games,116
did n't,115
ever played,115
has no,115
rated games,114
multiplayer games,113
you heard,113
racing game,113
has multiplayer,112
nintendo and,112
there is,112
you find,111
or linux,110
's available,109
linux release,108
game developed,106
i think,105
not have,104
bird 's,104
's eye,103
vehicular combat,101
average ratings,99
know you,99
games you,99
for a,98
the first,98
no linux,98
have multiplayer,97
you say,97
played any,96
for linux,96
a poor,96
game was,96
i remember,95
played from,95
mac is,95
is played,94
mac or,94
steam and,94
in general,94
's an,93
you talking,93
one of,93
played on,91
what do,91
in 2015,91
perspective is,90
game by,90
sport racing,90
first and,90
that 's,89
earlier that,89
a pretty,89
can get,88
would you,88
pc game,88
perspective it,88
steam but,88
you have,87
action-adventure puzzle,87
a single-player,87
it came,87
nintendo switch,87
looking for,86
simulation strategy,86
you 've,85
action-adventure role-playing,85
you should,85
the xbox,85
text adventure,85
shooter with,84
not on,84
e 10+,84
shooter that,83
makes you,83
you liked,83
linux is,83
games released,82
multiplayer and,82
since you,82
good game,81
eye view,81
playstation games,81
multiplayer it,81
driving/racing game,81
that has,80
by in,80
in 2017,80
game has,80
person game,79
that makes,79
you play,79
on xbox,79
think is,78
games developed,78
a side,78
pc is,78
as well,77
the bird,77
pretty good,77
it can,77
said you,77
mac and,77
steam it,77
person and,77
tactical shooter,76
perspective and,76
sports game,76
mentioned that,76
and was,76
role-playing shooter,75
