token,frequency
xbox and pc,451
available on steam,446
playstation xbox and,429
was released in,422
a third person,332
is available on,325
on playstation xbox,320
came out in,305
linux or mac,284
it was released,262
m for mature,252
for playstation xbox,251
is a good,250
third person perspective,243
a bird view,238
t for teen,214
is an excellent,203
bird view perspective,202
rated m for,188
have you played,180
that came out,179
it is available,177
rated t for,174
third person action-adventure,173
is an action-adventure,171
was developed by,165
available on playstation,165
a first person,161
is a third,161
on steam is,159
do you think,157
and third person,155
the game is,154
playstation xbox nintendo,153
and pc it,152
e for everyone,147
that was released,144
it 's a,144
you can play,144
can be played,143
it is a,140
do you mean,136
not available on,134
is an average,133
you mean the,130
game that was,129
for the playstation,129
what is it,126
rated e for,125
it is not,124
have you ever,123
first person perspective,122
the third person,121
it is rated,119
why do you,118
is it about,118
is an indie,118
a multiplayer mode,116
you said that,115
if you like,114
is rated m,112
have you heard,111
is not available,110
a fan of,109
do you like,109
and is rated,106
does n't have,106
game released in,105
linux and mac,104
bird 's eye,103
it 's available,101
steam is a,101
game that is,101
does not have,100
talking about the,100
you ever played,100
pc it is,100
i know you,99
do you feel,97
is rated t,97
was released for,97
and pc but,97
nintendo and pc,96
game developed by,96
is rated e,95
developed by and,94
first person shooter,94
is a first,94
you heard of,94
are you talking,93
you talking about,93
by is a,92
game is a,92
mac or linux,91
and is available,91
and pc and,90
what do you,89
first and third,89
if you 're,88
released for playstation,87
it 's an,86
with a bird,86
a mac release,85
you played any,85
it came out,85
game that came,84
's available on,84
an action-adventure shooter,84
xbox nintendo and,83
you can get,82
released in 2014,82
the first person,82
third person shooter,82
it does n't,82
's eye view,81
game with a,81
it was developed,81
or mac release,80
be played on,79
said that you,78
games developed by,77
a side view,77
multiplayer is a,77
playstation and pc,77
earlier that you,76
it on steam,76
on the playstation,75
is available for,75
on steam and,74
do you enjoy,74
can play it,74
is a multiplayer,74
on playstation and,74
have a linux,73
you said you,73
it has a,72
on linux or,72
do you know,72
on steam but,72
would you say,71
or third person,70
for the pc,70
you mentioned that,69
side view perspective,69
like do you,69
game is available,69
you know of,69
n't have a,68
has no multiplayer,67
that makes you,67
from a bird,67
third person games,67
is a poor,67
person action-adventure shooter,67
you said earlier,66
said earlier that,66
developed by it,66
simulation strategy game,66
playstation and xbox,66
m rated games,65
for mature is,65
the playstation xbox,65
real-time strategy game,64
play it on,64
playstation xbox pc,64
i remember you,63
available for playstation,63
it 's not,63
what 's the,63
the bird view,63
for playstation and,63
is a role-playing,63
played from a,62
it does not,62
an excellent action-adventure,62
it can be,62
games with a,61
third person view,61
there is no,61
game for the,60
games on the,59
action-adventure shooter game,59
you should try,59
like to play,59
steam is an,58
on the pc,58
a bird 's,58
a linux release,58
a real-time strategy,57
strategy game that,57
no linux or,57
not have a,56
is a single-player,56
game that you,56
xbox pc and,56
game it is,56
turn-based strategy game,56
pc and is,56
get it on,55
for linux or,55
games made by,55
on steam it,55
it is an,55
have you tried,55
looking for a,54
but it is,54
a good action-adventure,54
that you liked,54
you 're looking,54
multiplayer mode is,54
linux is a,54
indie adventure game,54
can get it,53
or mac is,53
is an adventure,53
shooter game that,53
mac is a,53
i 'm curious,53
what 's a,53
for everyone 10,53
everyone 10 and,53
game was released,53
and it is,52
do you have,52
're looking for,52
10 and older,52
game for playstation,52
found to be,51
a linux or,51
mentioned that you,51
it 's rated,51
is a sport,51
a good game,51
is played in,51
developed by is,51
an indie adventure,51
heard of it,50
if you want,50
released in 2015,50
released on playstation,50
to be released,50
first person and,50
text adventure game,50
nintendo switch and,50
xbox nintendo switch,50
first person games,49
was released on,49
you played it,49
in third person,48
game is an,48
game with multiplayer,48
perspective is a,48
games on steam,48
mac release is,48
mac and linux,48
switch and pc,48
played on playstation,47
for everyone is,47
and it 's,47
pc and mac,47
you found to,46
n't have multiplayer,46
person perspective and,46
it has multiplayer,46
game that has,46
is a real-time,46
be released on,46
like for example,46
e 10+ for,46
10+ for everyone,46
are you a,46
third person adventure,46
games that are,45
rated e 10+,45
that you can,45
games have you,45
person and third,45
it runs on,44
by is an,44
with no multiplayer,44
this game is,44
game do you,44
do you find,43
you thought was,43
is the you,43
games released in,43
available on linux,43
game it was,43
pc but it,43
sport simulation game,43
multiplayer is an,43
adventure role-playing game,43
third person game,42
a lot of,42
that you found,42
you seem to,42
and released in,42
person perspective games,42
by the game,42
view perspective is,42
and pc the,42
and pc is,42
for teen is,42
available on pc,42
released in 2017,41
it about the,41
is a simulation,41
third person perspectives,41
in bird view,41
release is a,41
released for the,41
you think is,40
pc but not,40
bird view and,40
with a third,40
game is rated,40
is an action,40
you did n't,39
if you are,39
is a pretty,39
person shooter game,39
view perspective it,39
not on linux,39
are you familiar,39
you familiar with,39
