token,frequency
is a,26423
in the,18031
customer rating,14916
coffee shop,13721
it is,13348
of 5,11127
price range,10915
out of,10788
the riverside,10116
the city,9878
city centre,9824
has a,8353
is located,8011
family friendly,7654
located in,7470
located near,7103
with a,6544
and is,6007
riverside area,5350
near the,5275
fast food,5186
is not,5104
there is,4943
rating of,4829
a high,4497
a coffee,4415
rating is,4402
in riverside,4353
near is,4284
a customer,4066
kid friendly,4038
it has,3989
1 out,3656
5 out,3635
a low,3591
is an,3562
an average,3517
child friendly,3430
and has,3426
food in,3387
3 out,3346
chinese food,3254
indian food,3223
english food,3221
near in,3215
children friendly,2987
less than,2965
low customer,2965
food and,2915
friendly and,2871
average customer,2849
a family,2807
french food,2723
japanese food,2656
italian food,2656
riverside near,2614
food it,2603
is near,2597
high price,2572
a pub,2515
that serves,2506
that is,2485
centre near,2463
high customer,2450
more than,2395
than £20,2394
a price,2391
a restaurant,2388
range of,2388
a cheap,2258
range is,2233
moderate price,2191
rating and,2163
near it,2162
friendly is,2144
food is,2138
moderately priced,2092
on the,2061
5 is,2055
the is,1925
restaurant with,1918
than £30,1918
is family,1847
restaurant that,1840
friendly restaurant,1823
restaurant located,1822
by the,1801
food restaurant,1789
not family-friendly,1772
riverside is,1766
shop that,1723
restaurant in,1717
range it,1698
a moderate,1685
of 1,1648
restaurant is,1578
area near,1573
of 3,1564
is in,1555
it 's,1542
friendly coffee,1538
kids friendly,1536
has an,1521
the river,1490
centre is,1454
5 customer,1409
in city,1407
and a,1398
food at,1396
the price,1378
shop located,1355
restaurant near,1350
of the,1330
food with,1317
range and,1306
shop near,1299
restaurant called,1299
customer ratings,1298
shop in,1279
a family-friendly,1255
shop with,1213
serves english,1197
a 5,1177
near and,1167
city center,1161
italian restaurant,1153
a kid,1137
friendly pub,1130
a fast,1126
highly rated,1115
high priced,1115
pub that,1104
and it,1102
japanese restaurant,1096
centre it,1092
a japanese,1085
is kid,1082
riverside it,1078
they are,1051
with an,1051
food for,1047
its customer,1046
not family,1039
area is,1036
for a,1032
at a,1030
it serves,1015
a child,1001
a french,998
at the,997
shop is,989
rating it,988
serves japanese,980
serves french,975
a moderately,962
close to,956
is child,954
called it,937
serves indian,932
to the,920
shop called,918
5 and,916
serves italian,914
serves chinese,905
is children,898
an italian,878
in a,875
called is,872
a children,868
the high,867
french restaurant,865
near there,858
of 5.,856
not kid,850
chinese restaurant,848
a 3,829
5 rating,822
is rated,815
a 1,800
that has,786
pub located,776
indian restaurant,774
food near,773
near with,771
cheap price,765
and serves,761
located on,759
next to,757
and the,753
pub near,752
of more,741
which is,740
a chinese,738
pub in,736
not child,735
you can,733
is high,718
serves fast,711
near to,694
pub with,681
can be,681
shop serving,681
low price,679
riverside and,679
pub is,678
located by,666
if you,666
have a,660
friendly it,657
the customer,648
an expensive,640
pub called,639
that offers,637
that provides,636
be found,635
area it,632
an indian,632
an english,632
a rating,630
of less,626
is the,615
friendly with,612
average rating,610
of £20-25,605
english restaurant,583
the in,581
for less,581
not children,579
family-friendly and,575
a highly,574
by customers,574
prices are,573
they serve,565
is called,563
shop providing,560
family-friendly is,558
is low,558
near that,557
is family-friendly,550
the it,547
they have,539
the coffee,539
near its,536
5. it,536
friendly place,535
to is,532
the moderate,529
priced restaurant,514
is average,513
but is,512
called that,510
£20 is,508
which serves,505
japanese coffee,500
food place,496
is cheap,493
italian coffee,492
food located,491
low priced,489
are not,486
food the,485
centre area,485
star rating,474
the restaurant,474
with high,471
average price,471
is kids,471
is moderately,471
provides indian,468
pub serving,468
friendly fast,468
