token,frequency
is,67178
a,53508
the,39121
near,26469
in,25847
food,25120
and,22289
it,21927
of,21034
friendly,20105
rating,18773
located,18076
customer,17036
riverside,16926
restaurant,16883
coffee,14113
5,13993
shop,13888
price,13095
has,12918
city,11922
range,11634
with,11549
out,11231
centre,10193
family,8950
pub,8640
that,8504
serves,8419
high,8416
an,7631
not,7236
average,6675
low,6537
area,6329
than,5576
called,5544
priced,5532
there,5376
for,5330
italian,5323
fast,5254
japanese,5186
rated,5033
french,4966
english,4944
chinese,4866
cheap,4843
indian,4815
family-friendly,4653
to,4552
at,4336
kid,4063
children,3972
1,3962
3,3710
child,3463
moderate,3453
are,3438
prices,3359
by,3175
offers,3120
less,3110
£20,2991
serving,2724
more,2600
they,2558
place,2539
£30,2488
but,2469
on,2353
moderately,2236
its,2194
kids,2103
's,2084
you,2075
which,2070
ratings,2025
star,1908
provides,1847
£20-25,1751
customers,1744
named,1710
river,1582
highly,1524
can,1515
center,1499
expensive,1497
have,1405
providing,1382
this,1284
close,1030
cuisine,993
be,983
also,946
offering,884
from,878
5.,871
found,858
next,776
good,773
establishment,765
serve,760
if,755
families,747
five,716
stars,714
sells,713
great,709
venue,703
20,694
sushi,690
pounds,656
child-friendly,655
one,646
only,640
situated,633
environment,633
as,606
kid-friendly,606
find,599
try,576
atmosphere,559
very,557
no,532
adult,531
30,523
cost,519
n't,505
non,489
looking,484
eat,468
inexpensive,459
their,444
three,420
welcome,416
received,412
reviews,412
along,403
north,399
we,395
meals,394
yes,394
style,386
higher,380
children-friendly,380
will,368
does,366
eatery,361
costs,361
rate,351
low-priced,348
high-priced,347
british,345
wine,343
affordable,341
between,340
adults,338
quality,338
service,332
medium,327
your,327
menu,318
mid,310
go,308
over,307
however,304
kids-friendly,303
location,298
where,291
under,289
20-25,286
suitable,276
euros,270
meal,270
excellent,260
visit,253
dining,252
offer,251
just,248
're,248
been,244
served,244
then,243
although,241
above,231
hotel,230
all,220
enjoy,217
plaza,217
£20-£25,216
within,216
ranging,214
foods,214
crown,214
recommended,213
our,213
breakfast,211
pricing,205
poor,204
around,204
name,200
whole,200
well,198
£25,197
dishes,196
end,196
side,194
reasonable,190
get,185
given,184
known,175
experience,166
reasonably,165
cheese,164
come,164
outside,163
moderately-priced,163
up,163
nearby,162
fast-food,162
ranges,160
check,157
costing,156
do,154
cambridge,153
while,153
right,152
though,151
nice,151
mid-priced,151
give,151
i,145
25,144
down,144
pricey,144
non-family-friendly,143
or,142
want,142
being,140
gets,140
setting,140
oriented,137
best,136
type,135
bring,135
take,134
fare,130
pasta,130
town,129
some,127
poorly,126
satisfaction,125
welcomes,124
averagely,123
was,120
delicious,118
allowed,117
traditional,116
bar,116
café,115
selling,114
available,112
take-away,110
drinks,110
based,110
considered,108
ranged,107
quite,106
burgers,106
receives,106
fries,105
fine,104
beside,104
fairly,103
one-star,102
features,101
budget,101
lower,100
so,100
would,100
joint,99
boasts,99
allow,99
option,98
dine,96
conveniently,96
items,96
decent,96
deliveries,94
provide,94
per,94
highly-rated,91
about,90
5-star,88
variety,88
too,88
below,88
low-cost,86
choice,86
new,86
view,85
mid-range,83
like,83
low-rated,80
perfect,80
wines,79
review,79
popular,78
drink,78
far,78
head,78
cheeses,76
amazing,76
american,75
'__slot_con_det_name__,75
costumer,74
non-family,73
people,73
caters,72
cheaply,72
eating,71
3-star,71
delivers,70
public,69
fair,69
cater,69
even,69
bad,68
three-star,68
pay,67
road,67
expect,67
five-star,67
across,67
middle,65
having,65
dollars,65
had,65
point,64
got,64
ideal,64
twenty,63
sell,63
little,63
mid-price,62
bit,62
friend,62
earned,62
look,61
featuring,61
burger,61
here,61
value,60
spirits,59
'll,59
average-priced,59
really,59
may,59
unfortunately,58
rates,58
love,58
us,58
full,58
upscale,57
spend,57
should,56
friends,56
starting,56
high-end,56
both,56
outskirts,55
away,55
house,54
please,54
services,54
recommend,54
start,53
who,53
1-star,53
despite,53
local,51
worth,51
home,51
slightly,51
yet,50
could,50
l20,50
because,49
beautiful,49
lovely,48
specializes,48
pretty,48
east,47
other,46
those,45
options,45
sits,45
small,45
l30,44
typically,44
pound,43
non-children,43
night,43
overall,42
asian,41
stop,41
rank,41
top,40
money,40
off,39
average-rated,39
sited,39
when,38
usually,38
placed,38
ranked,38
person,38
30.,37
specializing,37
'__slot_con_near__,37
store,36
spot,36
20.,36
allows,36
non-kid,36
ship,36
lowly,35
high-rated,35
outlet,35
eats,35
euro,35
low-price,35
l20-25,35
luton,34
fantastic,34
scores,34
servers,34
due,34
them,34
locate,33
opened,33
'__slot_con_name__,33
costly,33
bracket,33
sure,33
moderate-priced,32
outstanding,32
quick,32
restaurants,32
medium-priced,32
offered,32
spaghetti,32
what,32
non-child,31
score,31
might,31
many,31
lies,30
further,30
after,30
neat,30
most,30
heart,30
ages,30
wonderful,30
generally,29
currently,29
selection,29
unfriendly,29
without,29
welcomed,29
typical,29
none,29
suited,29
leave,29
alcohol,29
hamburgers,28
comes,28
reviewed,28
short,28
makes,28
riverfront,28
among,28
wide,27
dinner,27
distance,27
plus,27
class,27
authentic,27
permitted,26
consumer,26
relatively,26
snacks,26
superb,26
convenient,26
beverages,26
age,25
tasty,25
somewhere,25
20-25.,25
centrally,25
themed,25
join,25
4,25
previous,25
district,25
styled,25
grub,25
oriental,25
gave,24
receiving,24
free,24
much,24
entire,24
whose,23
names,23
he,23
thats,23
views,23
must,23
note,23
south,23
open,23
searching,23
bite,23
such,22
adult-only,22
cheaper,22
holds,22
fun,22
restrooms,22
now,22
chines,22
thirty,21
site,21
upper,21
favorite,21
places,21
premium,21
proximity,21
sit,21
adults-only,21
clentele,21
boasting,21
lunch,20
quiet,20
welcoming,20
greater,20
inside,20
mature,20
charges,20
door,20
call,20
fancy,20
fruit,20
list,20
light,19
tasting,19
includes,19
seafood,19
chop,19
mind,19
taste,19
shops,19
always,19
5of5,19
rather,19
couples,19
set,19
alternative,19
okay,19
steps,18
facility,18
make,18
falls,18
thames,18
including,18
were,18
eat-in,18
buy,18
ca,18
averaging,18
few,17
groups,17
made,17
why,17
conducive,17
tag,17
something,17
margin,17
prepared,16
part,16
standard,16
breakfasts,16
gourmet,16
edge,16
family-oriented,16
family-style,16
reduced,16
going,16
better,16
s,16
ok,16
towards,16
banks,16
sorry,16
averaged,16
facilities,16
ate,16
exclusive,16
aimed,16
my,16
server,16
scale,16
regarded,16
take-out,16
since,16
northern,16
everyone,16
market,16
order,16
grab,15
let,15
plates,15
his,15
competitive,15
modest,15
wo,15
prince,15
zone,15
takeaway,15
say,15
rang,15
need,15
corner,15
pub-style,15
mediocre,15
needs,15
deals,15
still,15
into,15
chain,14
young,14
fresh,14
terrible,14
somewhat,14
loves,14
hors,14
recently,14
provided,14
higher-priced,14
level,14
downtown,14
catering,14
appropriate,14
reasonably-priced,14
gives,14
amenities,14
gbp,14
policy,14
classic,14
starts,14
bank,14
delicacies,14
products,14
sold,14
know,13
scoring,13
fondue,13
mid-level,13
sit-down,13
liked,13
seeking,13
rage,13
every,13
different,13
chips,13
yourself,13
said,13
licensed,13
decently,13
bill,13
past,13
french-style,13
patrons,13
bistro,13
tea,13
high-cost,13
approval,13
aware,13
match,13
theres,13
fruits,13
see,13
exceptional,12
lot,12
awesome,12
feedback,12
waterfront,12
street,12
day,12
warm,12
charge,12
scored,12
highest,12
noodle,12
selections,12
appetizers,12
normal,12
averages,12
feed,12
walking,12
fall,12
high-price,12
college,12
resides,12
same,11
mood,11
'__slot_vow_name__,11
picnic,11
20£,11
alongside,11
heard,11
t,11
reputation,11
rice,11
stunning,11
highly-priced,11
interested,11
fine-dining,11
include,11
diner,11
loved,11
poorly-rated,11
safe,11
e30,11
willing,11
high-quality,11
coffee-shop,11
date,11
've,11
unique,11
goes,11
unsuitable,11
bakers,11
business,11
main,10
noodles,10
think,10
casual,10
keep,10
two,10
quaint,10
any,10
water,10
cam,10
spending,10
described,10
feature,10
£20.00,10
sitting,10
easy,10
feel,10
soft,10
chesterton,10
3-5,10
wrong,10
hight,10
definitely,10
winery,10
rest,10
well-reviewed,10
use,10
