token,frequency
playstation xbox and pc,404
on playstation xbox and,197
is available on steam,180
for playstation xbox and,173
rated m for mature,169
is a third person,159
it was released in,157
rated t for teen,148
it is available on,135
that came out in,117
available on playstation xbox,115
is rated m for,106
rated e for everyone,106
available on steam is,105
on steam is a,97
that was released in,96
is rated t for,94
xbox and pc it,94
not available on steam,90
is not available on,90
first and third person,89
is available on playstation,86
playstation xbox nintendo and,83
game that was released,81
a bird view perspective,81
xbox nintendo and pc,81
and pc it is,79
linux or mac release,77
and is available on,77
it 's available on,76
m for mature is,74
it was developed by,74
is a first person,73
a third person action-adventure,71
game that came out,70
on linux or mac,70
linux or mac is,69
was developed by and,69
it does n't have,69
is rated e for,68
xbox and pc and,65
it came out in,65
on playstation xbox nintendo,65
can be played on,64
you can play it,64
xbox and pc but,62
is an action-adventure shooter,61
was released for playstation,60
for playstation xbox nintendo,59
released for playstation xbox,58
no linux or mac,57
it can be played,56
available on steam and,55
does not have a,55
for linux or mac,54
available on steam but,53
t for teen is,53
is an excellent action-adventure,52
it is not available,52
does n't have a,52
third person action-adventure shooter,52
game is available on,51
a third person perspective,50
it does not have,50
playstation xbox nintendo switch,50
you can get it,49
on steam is an,49
for everyone 10 and,49
can play it on,48
it was released for,48
everyone 10 and older,48
nintendo switch and pc,48
playstation xbox pc and,48
have a linux or,47
with a bird view,47
available for playstation xbox,46
a linux or mac,46
e for everyone is,46
for the playstation xbox,46
from a bird view,45
first person and third,45
person and third person,45
is a real-time strategy,44
be played on playstation,44
e 10+ for everyone,44
10+ for everyone 10,44
a bird 's eye,44
or mac release is,43
was released in 2014,43
multiplayer mode is a,43
but it is not,42
the playstation xbox and,42
available on steam it,42
is an indie adventure,42
and is rated m,41
for mature is an,41
get it on steam,41
it is available for,41
it is rated m,40
and third person perspectives,40
it is rated e,40
mac release is a,40
can get it on,39
bird 's eye view,39
on mac or linux,38
or mac is a,38
is a good action-adventure,38
's available on steam,38
game was released in,38
xbox and pc is,38
xbox nintendo switch and,38
does not have multiplayer,37
bird view perspective it,36
a multiplayer mode is,36
an excellent third person,36
pc it is available,36
can be played in,35
on playstation xbox pc,35
the game is available,35
developed by and released,35
pc and is available,35
released on playstation xbox,35
then you should try,34
game for playstation xbox,34
is available for playstation,34
does n't have multiplayer,34
n't have a linux,34
it is rated t,34
an m for mature,33
it runs on playstation,33
for teen is a,33
m for mature rating,32
played on playstation xbox,32
it 's not available,32
for mature is a,32
first person or third,32
person or third person,32
on playstation and pc,32
for playstation and pc,32
is a bird view,32
there is no multiplayer,32
and is rated t,31
the third person perspective,31
first or third person,31
and pc and is,31
m for mature it,30
third person perspective and,30
not have a linux,30
game with a bird,30
you 're looking for,30
developed by is a,30
bird view perspective is,30
pc but it is,30
by and released in,30
mac or linux is,30
's available on playstation,30
rated e 10+ for,30
third person action-adventure game,30
on playstation and xbox,30
and pc and it,29
is a simulation strategy,29
available on playstation and,29
xbox and pc the,29
in the third person,29
a first and third,29
or mac is an,28
's not available on,28
and is rated e,28
if you 're looking,28
and pc the game,28
and pc but it,28
is an excellent third,28
action-adventure third person shooter,28
that is available on,28
that can be played,28
is also available on,28
and pc it 's,27
for everyone is a,27
games then you should,27
it was released on,27
third person perspective it,27
you should try the,27
also available on steam,27
t for teen and,26
played from a bird,26
a simulation strategy game,26
and third person perspective,26
and pc is an,26
was released in 2015,26
and pc through steam,26
pc it is not,26
t for teen it,26
was released on playstation,26
expected to be released,26
runs on playstation xbox,26
play it on playstation,26
it on playstation xbox,25
is an action-adventure game,25
excellent third person action-adventure,25
the game is rated,25
to be released on,25
a real-time strategy game,25
is played from a,24
's rated m for,24
e for everyone and,24
view perspective is a,24
on xbox and pc,24
game is not available,24
not available on linux,24
is a turn-based strategy,24
is not supported on,24
the game was released,24
has a bird view,24
third person perspective is,24
was released in 2011,24
a first person perspective,23
it on steam is,23
game that is played,23
's a third person,23
an action-adventure shooter game,23
find it on steam,23
or linux is a,23
has no linux or,23
and pc is a,23
it is not supported,23
though it does n't,23
and pc but not,23
nintendo and pc it,22
by it was released,22
first person shooter game,22
a good action-adventure shooter,22
it 's rated m,22
it 's a third,22
developed by the game,22
was released in 1999,22
a side view perspective,22
a third person adventure,22
game can be played,22
a good third person,22
multiplayer it was released,22
and was released in,22
a t for teen,22
linux and mac is,22
an indie adventure game,22
it is not on,21
steam linux or mac,21
can be played multiplayer,21
is a sport racing,21
that was developed by,21
game it was released,21
playstation xbox and nintendo,21
a bird view and,21
xbox and pc through,21
third person action-adventure role-playing,21
pc linux and mac,21
is expected to be,21
has a multiplayer mode,21
it 's available for,20
from a third person,20
has received average ratings,20
but not on linux,20
is a sport simulation,20
game with no multiplayer,20
released for linux or,20
no multiplayer mode is,20
is rated e 10+,20
the game is not,20
available on linux or,20
and pc you can,20
linux or mac support,20
nintendo and pc but,20
there is no linux,20
is no multiplayer mode,20
game that is rated,20
it 's an action-adventure,20
game that can be,20
linux or mac it,20
person perspective is a,20
is a first and,20
pc and it is,19
and can be played,19
came out in 2014,19
both first and third,19
a mac release but,19
for everyone is an,19
if you want a,19
strategy game that is,19
played in third person,19
m for mature and,19
pc and mac but,19
for teen is an,19
t for teen rating,19
is played in the,19
or third person perspective,19
is a side view,19
a linux and mac,19
xbox pc and steam,19
game for the playstation,19
game developed by it,19
