token,frequency
xbox and pc,451
playstation xbox and,429
was released in,412
available on steam,402
on playstation xbox,320
is available on,317
linux or mac,283
a third person,274
it was released,256
for playstation xbox,251
came out in,240
is a good,221
m for mature,220
is an excellent,198
a bird view,195
t for teen,185
it is available,177
rated m for,169
is an action-adventure,169
available on playstation,162
is a third,159
and third person,155
on steam is,153
playstation xbox nintendo,153
and pc it,152
rated t for,151
was developed by,148
the game is,146
third person perspective,144
can be played,141
third person action-adventure,138
that was released,130
not available on,128
it is a,127
e for everyone,127
is an average,126
that came out,126
bird view perspective,126
it is not,124
you can play,123
it 's a,119
a first person,119
it is rated,117
is an indie,117
steam is a,112
is rated m,109
is not available,109
and is rated,106
game that was,106
rated e for,106
a multiplayer mode,103
does not have,100
pc it is,100
it 's available,99
if you like,97
and pc but,97
linux and mac,97
nintendo and pc,96
is rated t,96
game released in,95
game that is,94
does n't have,94
is a first,93
is rated e,93
was released for,92
and pc and,90
and is available,90
developed by and,89
first person shooter,89
first and third,89
mac or linux,88
released for playstation,87
by is a,86
xbox nintendo and,83
it 's an,82
multiplayer is a,82
an action-adventure shooter,81
for the playstation,81
third person shooter,80
it was developed,80
or mac release,79
game developed by,78
be played on,77
's available on,77
playstation and pc,77
for mature is,75
is available for,75
it does n't,75
is a multiplayer,74
it on steam,73
it came out,73
on linux or,72
game is a,72
the third person,72
on playstation and,72
on steam and,70
game that came,70
or third person,70
or mac is,69
it has a,69
have a linux,68
released in 2014,68
game is available,68
mac is a,67
developed by it,66
is a poor,66
playstation and xbox,66
you can get,65
can play it,65
multiplayer mode is,65
the playstation xbox,65
person action-adventure shooter,65
has no multiplayer,64
playstation xbox pc,64
real-time strategy game,63
game with a,63
for playstation and,63
is a role-playing,63
on steam but,63
available for playstation,62
an excellent action-adventure,62
it does not,61
there is no,61
steam is an,59
it can be,59
play it on,59
action-adventure shooter game,59
bird 's eye,59
simulation strategy game,58
a side view,58
mac release is,57
from a bird,57
if you 're,57
linux is a,57
no linux or,57
not have a,56
a real-time strategy,56
third person view,56
xbox pc and,56
strategy game that,56
pc and is,56
is a single-player,55
with a bird,55
for linux or,55
you should try,55
game it is,55
but it is,54
on steam it,54
turn-based strategy game,54
a good action-adventure,53
multiplayer is an,53
n't have a,53
game was released,53
and pc is,53
