token,frequency
is,4014
it,2809
a,2751
game,2714
and,2658
for,1698
on,1665
in,1494
person,1259
the,1221
an,1197
pc,1173
released,1153
playstation,1062
was,1014
multiplayer,998
available,915
third,880
xbox,867
you,796
by,773
steam,763
that,758
mac,753
linux,753
action-adventure,742
shooter,736
with,716
has,675
's,634
not,603
view,582
or,569
rated,555
adventure,514
first,508
but,488
can,469
strategy,462
from,455
role-playing,453
good,413
out,410
bird,406
perspective,389
average,386
developed,367
played,347
excellent,338
be,329
no,323
nintendo,312
release,303
simulation,302
indie,300
if,278
ratings,274
does,273
came,267
to,266
have,260
play,251
mature,248
this,240
m,239
puzzle,239
platformer,232
only,220
rating,216
t,203
e,203
action,198
sport,196
teen,192
poor,191
of,190
everyone,190
as,181
received,181
n't,179
try,178
mode,176
single-player,172
racing,172
tactical,164
driving/racing,157
there,156
2014,153
games,143
real-time,137
also,133
driving,127
sports,125
support,125
reviews,123
side,123
turn-based,120
like,119
2018,102
get,98
mmorpg,98
though,96
will,93
2015,93
point-and-click,91
hack-and-slash,90
switch,88
2016,87
rpg,84
offers,81
simulator,79
2017,79
should,78
through,74
both,73
2011,73
elements,71
well,69
1999,68
2005,65
're,65
your,64
combat,63
i,63
which,62
vehicular,60
music,59
called,59
eye,59
text,59
are,58
want,58
trivia/board,58
unfortunately,58
supported,58
arcade,58
features,57
fighting,57
10+,56
2009,55
runs,54
older,53
made,52
2010,52
player,51
perspectives,51
been,51
10,51
looking,50
2013,50
players,49
developer,48
expected,47
even,47
sim,46
then,45
currently,45
2004,44
however,44
too,44
2014.,42
platforms,42
1998,42
2001,41
title,41
2012,41
its,40
poorly,40
either,40
2002,39
enjoy,39
decent,36
shooting,36
option,36
video,36
check,36
esrb,36
september,36
friends,35
1994,35
consoles,35
2016.,34
2018.,33
find,32
2011.,32
2007,32
one,29
overall,28
into,28
pinball,28
exclusively,28
fun,28
set,27
between,27
puzzles,27
all,26
1999.,26
2010.,26
pretty,26
considered,25
2008,25
poorly-rated,25
2015.,25
got,24
feature,24
offer,24
14,24
2017.,23
might,23
2000,23
releases,23
although,22
back,22
while,22
version,22
allows,22
solving,22
being,22
2013.,22
some,21
interested,21
suitable,20
playable,20
via,20
plays,20
platforming,20
including,20
genre,20
capabilities,19
so,19
2005.,19
systems,19
exclusive,19
1993,19
ca,18
love,18
'll,18
great,18
platform,18
simulation-strategy,17
despite,17
2019,17
download,17
gameplay,16
audiences,16
gives,16
strategic,16
lot,16
involves,16
uses,16
1990,16
originally,16
m-rated,15
style,15
any,15
new,15
run,14
who,14
created,14
since,14
1986,14
playing,14
reviewed,14
average-rated,14
fps,14
2004.,13
13,13
did,13
1994.,13
year,13
2009.,13
gaming,13
just,13
teenagers,13
nor,13
2012.,13
when,12
november,12
upcoming,12
rts,12
2002.,12
at,12
february,12
22,12
do,12
december,12
1,12
rather,12
okay,12
june,12
29,12
users,12
includes,12
7,12
1998.,12
11,12
august,12
october,12
16,12
example,11
online,11
another,11
views,11
look,11
solid,11
about,11
now,11
versions,11
2003,11
functionality,11
shooters,11
could,11
user,11
2001.,10
my,10
packed,10
those,10
positive,10
found,10
bad,10
way,10
really,10
still,10
mostly,10
2000.,10
such,10
2007.,10
options,10
experience,10
quality,9
where,9
action-packed,9
come,9
fans,9
had,9
people,9
multiple,9
without,9
most,9
puzzler,9
full,9
give,9
reception,9
negative,9
action-strategy,8
coming,8
2008.,8
windows,8
simulators,8
would,8
choice,8
yet,8
1997,8
combines,8
console,8
recently,8
may,8
1993.,8
never,8
recommend,8
supports,8
amazing,8
they,8
launched,8
standard,7
because,7
favorite,7
adventures,7
modes,7
choose,7
puzzle-platformer,7
2003.,7
1986.,7
probably,7
drive,7
1997.,7
course,7
role-play,7
2019.,7
lack,7
keep,7
'd,7
adventure-shooter,7
action-tactical,7
gamers,6
up,6
awesome,6
critics,6
availability,6
maybe,6
earned,6
puzzle-shooter,6
low,6
teens,6
fantastic,6
offering,6
many,6
function,6
throughout,5
lacks,5
wo,5
gotten,5
highly,5
more,5
among,5
lets,5
aspect,5
angle,5
over,5
think,5
fan,5
platformers,5
content,5
worth,5
purchase,5
especially,5
their,5
presented,5
type,5
major,5
store,5
mind,5
1990.,5
critical,5
generally,5
sadly,5
other,5
around,5
point,5
date,5
aware,5
themes,5
traditional,4
plus,4
down,4
lovers,4
than,4
given,4
going,4
heard,4
entertainment,4
featuring,4
mechanics,4
best,4
must,4
works,4
race,4
rate,4
studio,4
were,4
redefined,4
according,4
board,4
comes,4
filled,4
know,4
nice,4
buy,4
'm,4
incorporates,4
involving,4
downloaded,4
lackluster,4
entirely,4
enthusiasts,4
've,4
getting,4
kids,4
enjoyed,4
expect,4
element,3
requires,3
ages,3
adventure-puzzle,3
restricted,3
boasts,3
solo,3
further,3
least,3
lots,3
prefer,3
scheduled,3
storyline,3
produced,3
unavailable,3
makes,3
what,3
we,3
offered,3
narrative,3
time,3
audience,3
fairly,3
ability,3
puzzle-strategy,3
use,3
ton,3
different,3
swaps,3
grab,3
role-player,3
put,3
simulation-sport,3
solve,3
cool,3
every,3
e-rated,3
-rated,3
avoid,3
massively,3
slated,3
