mr_combo,count
exp_release_date_has_multiplayer_name,1
esrb_has_linux_release_name,1
available_on_steam_has_linux_release_name,1
developer_has_multiplayer_name,1
esrb_name_release_year,1
exp_release_date_name_platforms,1
esrb_genres_name,1
exp_release_date_genres_name,1
genres_has_mac_release_name,1
has_linux_release_has_multiplayer_name,1
has_linux_release_name_player_perspective,1
genres_has_multiplayer_name,2
has_multiplayer_name_platforms,2
available_on_steam_name_player_perspective,2
esrb_has_mac_release_name,2
esrb_has_multiplayer_name,2
has_multiplayer_name_player_perspective,2
developer_exp_release_date_name,3
has_multiplayer_name_release_year,3
has_linux_release_has_mac_release_name,3
available_on_steam_developer_name,3
developer_name_player_perspective,4
esrb_name_platforms,4
available_on_steam_name_platforms,4
name_platforms_release_year,4
developer_genres_name,5
developer_name_platforms,5
genres_name_release_year,5
name_platforms_player_perspective,6
genres_name_platforms,6
genres_name_player_perspective,9
developer_name_release_year,13
