mr_combo,count
has_mac_release_name_platforms_rating,1
has_linux_release_name_player_perspective_rating,1
available_on_steam_developer_name_rating,1
has_linux_release_name_platforms_rating,1
available_on_steam_name_rating_release_year,1
has_mac_release_name_rating_release_year,1
available_on_steam_name_platforms_rating,1
available_on_steam_has_linux_release_name_rating,2
has_mac_release_has_multiplayer_name_rating,2
developer_has_linux_release_name_rating,2
developer_has_mac_release_name_rating,2
esrb_name_player_perspective_rating,2
genres_has_mac_release_name_rating,2
has_linux_release_has_mac_release_name_rating,2
available_on_steam_esrb_name_rating,3
name_player_perspective_rating_release_year,3
esrb_name_rating_release_year,3
available_on_steam_name_player_perspective_rating,3
has_mac_release_name_player_perspective_rating,3
available_on_steam_genres_name_rating,3
genres_name_platforms_rating,4
genres_name_rating_release_year,4
esrb_name_platforms_rating,4
has_multiplayer_name_rating_release_year,5
name_platforms_rating_release_year,5
developer_esrb_name_rating,6
esrb_genres_name_rating,6
developer_name_rating_release_year,6
has_multiplayer_name_player_perspective_rating,6
esrb_has_multiplayer_name_rating,7
name_platforms_player_perspective_rating,9
genres_has_multiplayer_name_rating,9
developer_has_multiplayer_name_rating,10
has_multiplayer_name_platforms_rating,11
developer_name_player_perspective_rating,13
developer_name_platforms_rating,16
developer_genres_name_rating,17
genres_name_player_perspective_rating,23
