mr_combo,count
developer_has_mac_release_rating,1
esrb_has_mac_release_rating,1
esrb_player_perspective_rating,1
esrb_has_multiplayer_rating,1
genres_has_multiplayer_rating,1
platforms_player_perspective_rating,1
available_on_steam_has_multiplayer_rating,1
esrb_rating_release_year,1
has_multiplayer_rating_release_year,1
developer_esrb_rating,2
available_on_steam_genres_rating,2
has_multiplayer_platforms_rating,2
available_on_steam_player_perspective_rating,2
genres_rating_release_year,2
developer_has_multiplayer_rating,3
esrb_platforms_rating,3
has_linux_release_has_mac_release_rating,3
developer_player_perspective_rating,4
has_multiplayer_player_perspective_rating,5
developer_rating_release_year,5
genres_platforms_rating,6
esrb_genres_rating,7
platforms_rating_release_year,7
developer_genres_rating,10
developer_platforms_rating,14
genres_player_perspective_rating,14
