mr_combo,count
developer_has_mac_release_name,1
available_on_steam_esrb_name,1
has_linux_release_name_release_year,1
available_on_steam_name_platforms,1
developer_esrb_name,1
available_on_steam_genres_name,1
available_on_steam_has_multiplayer_name,1
name_player_perspective_release_year,1
genres_name_release_year,2
developer_name_player_perspective,2
has_multiplayer_name_platforms,2
developer_has_multiplayer_name,2
developer_genres_name,2
esrb_name_player_perspective,2
available_on_steam_developer_name,3
esrb_has_multiplayer_name,3
has_multiplayer_name_release_year,3
has_multiplayer_name_player_perspective,3
esrb_name_release_year,4
esrb_name_platforms,5
genres_has_multiplayer_name,5
developer_name_platforms,5
name_platforms_player_perspective,6
genres_name_platforms,6
name_platforms_release_year,6
esrb_genres_name,8
genres_name_player_perspective,10
developer_name_release_year,13
