mr_combo,count
available_on_steam_name_platforms_rating,1
has_linux_release_has_multiplayer_name_rating,1
available_on_steam_genres_name_rating,1
esrb_name_rating_release_year,1
has_linux_release_name_platforms_rating,1
has_linux_release_has_mac_release_name_rating,1
available_on_steam_has_multiplayer_name_rating,1
esrb_has_linux_release_name_rating,1
name_player_perspective_rating_release_year,1
esrb_has_multiplayer_name_rating,1
available_on_steam_name_player_perspective_rating,2
genres_has_linux_release_name_rating,2
developer_has_multiplayer_name_rating,3
genres_has_mac_release_name_rating,3
has_multiplayer_name_player_perspective_rating,4
has_multiplayer_name_platforms_rating,6
genres_name_rating_release_year,6
developer_esrb_name_rating,6
name_platforms_player_perspective_rating,6
available_on_steam_developer_name_rating,6
esrb_name_player_perspective_rating,6
esrb_genres_name_rating,7
esrb_name_platforms_rating,7
developer_name_player_perspective_rating,9
developer_name_rating_release_year,12
genres_has_multiplayer_name_rating,12
genres_name_platforms_rating,16
developer_name_platforms_rating,16
developer_genres_name_rating,17
name_platforms_rating_release_year,20
genres_name_player_perspective_rating,24
