mr,ref,score,,
nan,In the city centre there is a restaurant called Alimentum. It is not family-friendly.,2,,0.994505495
nan,"In the city centre, near Burger King, there is a restaurant called Alimentum. It is not family-friendly.",2,,
nan,In the city centre there is a family friendly restaurant called Alimentum.,2,,
nan,"Located in the city centre near Burger King, Alimentum is a family friendly restaurant.",2,,
nan,"In the city centre, near Burger King, there is a restaurant called Alimentum. It is not family-friendly.",2,,
nan,In the riverside area is a family friendly restaurant called Alimentum.,2,,
nan,Near Burger King is a family friendly restaurant called Alimentum.,2,,
nan,"With a customer rating of 1 out of 5, Aromi is a kid friendly Chinese coffee shop in the riverside area.",2,,
nan,In the city centre there is a Chinese coffee shop called Aromi. It is not family-friendly and has a customer rating of 5 out of 5.,2,,
nan,"With a customer rating of 5 out of 5, Aromi is a family friendly Chinese coffee shop in the riverside area.",2,,
nan,In the city centre there is a Chinese coffee shop called Aromi. It is not family-friendly and has an average customer rating.,2,,
nan,In the city centre there is a Chinese coffee shop called Aromi. It has an average customer rating and is not family-friendly.,2,,
nan,In riverside there is a Chinese coffee shop called Aromi. It has a low customer rating and is not family-friendly.,2,,
nan,In the riverside area there is a Chinese coffee shop called Aromi. It is family friendly and has an average customer rating.,2,,
nan,In the riverside area is a Chinese coffee shop called Aromi. It is not family-friendly and has a low customer rating.,2,,
nan,"With a customer rating of 1 out of 5, Aromi is a kid friendly coffee shop serving English food.",2,,
nan,In the city centre there is a coffee shop called Aromi that serves English food. It has a customer rating of 5 out of 5 and is not family-friendly.,2,,
nan,"With a customer rating of 5 out of 5, Aromi is a coffee shop serving English food in the riverside area. It is not family-friendly.",2,,
nan,"With a customer rating of 5 out of 5, Aromi is a family friendly coffee shop serving English food.",2,,
nan,In the city centre there is an English coffee shop called Aromi. It has an average customer rating and is not family-friendly.,2,,
nan,In the city centre there is an English coffee shop called Aromi. It has an average customer rating and is not family-friendly.,2,,
nan,In riverside there is a coffee shop called Aromi that serves English food. It has an average customer rating and is not family-friendly.,2,,
nan,In riverside there is a coffee shop called Aromi that serves English food. It has an average customer rating and is family friendly.,2,,
nan,In the city centre there is a family-friendly coffee shop called Aromi that serves English food. It has a low customer rating.,2,,
nan,In riverside there is a coffee shop called Aromi that serves English food. It has a low customer rating and is not family-friendly.,2,,
nan,Near Café Sicilia in the riverside area is Bibimbap House.,2,,
nan,Near the Crowne Plaza Hotel in the riverside area is a Chinese coffee shop called Browns Cambridge. It has a customer rating of 1 out of 5 and is kid friendly.,2,,
nan,Near the Crowne Plaza Hotel in the riverside area is a Chinese coffee shop called Browns Cambridge. It is kid friendly and has a customer rating of 3 out of 5.,2,,
nan,"With a customer rating of 5 out of 5, Browns Cambridge is a Chinese coffee shop located in the city centre near Crowne Plaza Hotel. It is not family-friendly.",2,,
nan,Near Crowne Plaza Hotel in the city centre is a Chinese coffee shop called Browns Cambridge. It has a customer rating of 5 out of 5 and is not family-friendly.,2,,
nan,Near the Crowne Plaza Hotel in the riverside area is a Chinese coffee shop called Browns Cambridge. It has a customer rating of 5 out of 5 and is not family-friendly.,2,,
nan,Near the Crowne Plaza Hotel in the riverside area is a Chinese coffee shop called Browns Cambridge. It is family friendly and has a customer rating of 5 out of 5.,2,,
nan,"Located in the city centre near Crowne Plaza Hotel, Browns Cambridge is a Chinese coffee shop with an average customer rating. It is not family-friendly.",2,,
nan,Near the Crowne Plaza Hotel in the riverside area is a Chinese coffee shop called Browns Cambridge. It is family friendly and has an average customer rating.,2,,
nan,Near the Crowne Plaza Hotel in the riverside area is a Chinese coffee shop called Browns Cambridge. It has a high customer rating and is kid friendly.,2,,
nan,"Located in the city centre near Crowne Plaza Hotel, Browns Cambridge is a Chinese coffee shop with a low customer rating. It is not family-friendly.",2,,
nan,Near the Crowne Plaza Hotel in the riverside area is a Chinese coffee shop called Browns Cambridge. It is family friendly and has a low customer rating.,2,,
nan,"With a customer rating of 1 out of 5, Browns Cambridge is a kid friendly coffee shop near Crowne Plaza Hotel in the riverside area.",2,,
nan,"Located in the city centre near Crowne Plaza Hotel, Browns Cambridge is a coffee shop that serves English food. It has a customer rating of 5 out of 5 and is not family-friendly.",2,,
nan,"Located in the city centre near Crowne Plaza Hotel, Browns Cambridge is a family-friendly coffee shop that serves English food. It has a customer rating of 5 out of 5.",2,,
nan,"With a customer rating of 5 out of 5, Browns Cambridge is a coffee shop serving English food. It is located in the riverside area near Crowne Plaza Hotel. It is not family-friendly.",2,,
nan,"With a customer rating of 5 out of 5, Browns Cambridge is a family friendly coffee shop near Crowne Plaza Hotel in the riverside area.",2,,
nan,"Located in the city centre near Crowne Plaza Hotel, Browns Cambridge is an English coffee shop with an average customer rating. It is not family-friendly.",2,,
nan,"Located in the city centre near Crowne Plaza Hotel, Browns Cambridge is an English coffee shop with an average customer rating. It is not family-friendly.",2,,
nan,Near the Crowne Plaza Hotel in the riverside area is Browns Cambridge. It is a family friendly coffee shop that serves English food. It has an average customer rating.,2,,
