mr,ref,score
"name[Alimentum], area[riverside], familyFriendly[yes]","The riverside restaurant, Alimentum is very child friendly and great for adults as well.",3
"name[Alimentum], area[riverside], familyFriendly[yes], near[Burger King]","Alimentum is near Burger King and is not only riverside, but children friendly as well.",3
"name[Alimentum], area[riverside], familyFriendly[yes], near[Burger King]",Near the riverside is a kids friendly eatery called Alimentum. There is a Burger King close to it as well.,3
"name[Aromi], eatType[coffee shop], food[Chinese], customer rating[5 out of 5], area[city centre], familyFriendly[no]",Aromi is a coffee shop and also offer Chinese food. We have a customer rating of 5 out of 5. Located in city center. Unfortunately not family friendly.,3
"name[Aromi], eatType[coffee shop], food[Chinese], customer rating[average], area[riverside], familyFriendly[yes]",Aromi coffee shop have Chinese food with average customer rating in riverside and also children friendly.,3
"name[Aromi], eatType[coffee shop], food[Chinese], customer rating[average], area[riverside], familyFriendly[yes]",Aromi is an average Chinese coffee shop by the river that caters to children also.,3
"name[Aromi], eatType[coffee shop], food[Chinese], customer rating[average], area[riverside], familyFriendly[yes]","Aromi is an average coffee shop in the riverside area, but they also serve Chinese food. Aromi is also children friendly.",3
"name[Aromi], eatType[coffee shop], food[Chinese], customer rating[high], area[riverside], familyFriendly[yes]","Aromi is a nice coffee shop near the riverside that is kid friendly, also serves Chinese food and receives high ratings.",3
"name[Aromi], eatType[coffee shop], food[English], customer rating[3 out of 5], area[riverside], familyFriendly[yes]",Aromi is a coffee shop in riverside offering English food with a customer rating of 3 out of 5. It is also kids Friendly.,3
"name[Aromi], eatType[coffee shop], food[English], customer rating[5 out of 5], area[city centre], familyFriendly[yes]","Aromi located in the city centre that is a five-star rated, family-friendly coffee shop, that also offers food.",3
"name[Aromi], eatType[coffee shop], food[English], customer rating[average], area[city centre], familyFriendly[no]","The Aromi is a coffee shop which serves English food in the city centre, it is not family-friendly also has an average customer rating.",3
"name[Aromi], eatType[coffee shop], food[English], customer rating[average], area[riverside], familyFriendly[no]",Aromi is an English coffee shop that also serves food. It is located in the riverside area. It has an average rating and is not family-friendly.,3
"name[Aromi], eatType[coffee shop], food[English], customer rating[average], area[riverside], familyFriendly[yes]",Aromi is an average rated coffee shop that servers English food in riverside. it is children friendly as well.,3
"name[Browns Cambridge], eatType[coffee shop], food[Chinese], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]","If you want a kids-friendly place on the riverside which is both a coffee shop and for Chinese food, Browns Cambridge is a match. It situated in a convenient location near Crowne Plaza Hotel but the customer rating is rather low, 1 out of 5.",3
"name[Browns Cambridge], eatType[coffee shop], food[Chinese], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]","The Browns Cambridge, is a coffee shop also serving Chinese food. It is located near Crowne Plaza Hotel. On the bright side, it a kids-friendly place on the riverside, but the customer rating is rather low, 1 out of 5.",3
"name[Browns Cambridge], eatType[coffee shop], food[Chinese], customer rating[average], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]","Browns Cambridge is a coffee shop that also serves Chinese food. It is located in the riverside area near the Crowne Plaza Hotel, has an average customer rating and yes, is family friendly.",3
"name[Browns Cambridge], eatType[coffee shop], food[Chinese], customer rating[low], area[city centre], familyFriendly[no], near[Crowne Plaza Hotel]","Browns Cambridge is a coffee shop in the city centre, near Crowne Plaza Hotel, that also serves Chinese food, is not family friendly and has a low customer rating.",3
"name[Browns Cambridge], eatType[coffee shop], food[English], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]","Browns Cambridge is a family coffee shop in the area of riverside,they also sell English food with a rating 1 out of 5 is near to Crowne Plaza Hotel.",3
"name[Browns Cambridge], eatType[coffee shop], food[English], customer rating[average], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]","The riverside is an average place to eat, yes it is child friendly and is located on the riverside near Crowne Plaza Hotel with English food and it is called Browns Cambridge also it is a coffee shop.",3
"name[Clowns], eatType[coffee shop], food[Chinese], customer rating[3 out of 5], area[riverside], near[Clare Hall]","Clowns in riverside, near Clare Hall has a customer rating of 3 out of 5. It is a coffee shop and also has Chinese food.",3
"name[Clowns], eatType[coffee shop], food[Chinese], customer rating[average], area[city centre], near[Clare Hall]",Clowns is a coffee shop that also serves Chinese food with an average customer rating and is located in the city near Clare Hall.,3
"name[Clowns], eatType[coffee shop], food[Chinese], customer rating[average], area[city centre], near[Clare Hall]",Clowns is a coffee shop which also serves Chinese food.  It is located near Clare Hall in the city centre and with an average customer rating.,3
"name[Clowns], eatType[coffee shop], food[Chinese], customer rating[low], area[riverside], near[Clare Hall]",Clowns performances occur near Clare Hall at the coffee shop and also at a low rated Chinese take out near the riverside.,3
"name[Clowns], eatType[coffee shop], food[Chinese], customer rating[low], area[riverside], near[Clare Hall]",Clowns is a low rated coffee shop that also serves Chinese food in the riverside area near Clare Hall.,3
"name[Cocum], eatType[coffee shop], food[Chinese], priceRange[cheap], customer rating[5 out of 5], familyFriendly[yes]","You should try Cocum, it's a coffee shop that's cheap and family friendly. They also have a 5 star rating. They serve Chinese food.",3
"name[Cocum], eatType[coffee shop], food[Chinese], priceRange[cheap], customer rating[average], familyFriendly[no]","Cocum is a coffee shop that also does Chinese food. It is cheap, gets an average customer rating and is not family friendly.",3
"name[Cocum], eatType[coffee shop], food[Chinese], priceRange[high], customer rating[1 out of 5], familyFriendly[no]",Cocum is an expensive coffee shop that also serves Chinese food. Customers gave it a one out of five rating and it's not kid friendly.,3
"name[Cocum], eatType[coffee shop], food[Chinese], priceRange[high], customer rating[1 out of 5], familyFriendly[yes]",Cocum is a high priced coffee shop that also serves Chinese food.,3
"name[Cocum], eatType[coffee shop], food[Chinese], priceRange[less than £20], customer rating[low], familyFriendly[no]","Cocum a coffee shop serving Chinese food is low in price, it also has low customer rating and is not family friendly.",3
"name[Cocum], eatType[coffee shop], food[Chinese], priceRange[less than £20], customer rating[low], familyFriendly[yes]",The Cocum has a price range less than £20 and is also family friendly. It's a Chinese coffee shop with a low customer rating.,3
"name[Cocum], eatType[coffee shop], food[Chinese], priceRange[£20-25], customer rating[high], familyFriendly[no]",The coffee shop Cocum also offers Chinese food in the price range of £20-25.  Cocum has high customer ratings but is not kid friendly.,3
"name[Cocum], eatType[coffee shop], food[Chinese], priceRange[£20-25], customer rating[high], familyFriendly[no]",Cocum is a non-kid-friendly coffee shop with high customer ratings that also offers Chinese food in the price range of £20-25.,3
"name[Cocum], eatType[coffee shop], food[English], priceRange[cheap], customer rating[5 out of 5], familyFriendly[yes]","The coffee shop named Cocum is cheap, serves food, and is family friendly. It is also five star rated.",3
"name[Cocum], eatType[coffee shop], food[English], priceRange[cheap], customer rating[5 out of 5], familyFriendly[yes]","The Cocum has a customer rating of 5 out of 5, its cheap too. The coffee shop serves English food and coffee and is family friendly.",3
"name[Cocum], eatType[coffee shop], food[English], priceRange[high], customer rating[average], familyFriendly[yes]",The Cocum coffee shop also serves food for the whole family. It is high priced and rated three stars.,3
"name[Cocum], eatType[coffee shop], food[English], priceRange[high], customer rating[average], familyFriendly[yes]",The Cocum coffee shop is high priced and rated three stars. It also serves food for the entire family.,3
"name[Cocum], eatType[coffee shop], food[English], priceRange[moderate], customer rating[1 out of 5], familyFriendly[yes]",A one star coffee shop is Cocum. They are also average priced.,3
"name[Cocum], eatType[coffee shop], food[English], priceRange[£20-25], customer rating[high], familyFriendly[no]","Cocum is a coffee shop which also serves English food at an average price range. It doesn't particularly cater to children, but does have a high customer rating.",3
"name[Cocum], eatType[coffee shop], food[English], priceRange[£20-25], customer rating[high], familyFriendly[no]",Cocum is highly rated and moderately priced coffee shop. It also serves English food. It is not considered child friendly.,3
"name[Cocum], eatType[coffee shop], food[English], priceRange[£20-25], customer rating[high], familyFriendly[yes]",This English food coffee shop name Cocum with a price 20 to 25. Also having a High customer rating and kid friendly.,3
"name[Cotto], eatType[coffee shop], food[Chinese], priceRange[cheap], customer rating[average], area[city centre], near[The Portland Arms]","The 'Cotto' is a cheap coffee shop which also serves Chinese food. The customer rating is average but it is located in the city centre, near 'The Portland Arms'.",3
"name[Cotto], eatType[coffee shop], food[Chinese], priceRange[more than £30], customer rating[high], area[city centre], near[The Portland Arms]","Cotto, a high rated restaurant in The Portland Arms area located in the city centre, provides you with a coffee shop experience. Chinese food is also on the menu. The price range is more than thirty dollars.",3
"name[Cotto], eatType[coffee shop], food[English], priceRange[cheap], customer rating[5 out of 5], area[city centre], near[The Portland Arms]",Cotto is a cheap coffee shop near The Portland Arms in the city centre. It also offers cheap English food. Cotto is rate 5 out of 5 by customers.,3
"name[Cotto], eatType[coffee shop], food[English], priceRange[cheap], customer rating[5 out of 5], area[city centre], near[The Portland Arms]",There is a cheap coffee shop Cotto also offering English food. It is located near The Portland Arms in the city centre. Customers rated Cotto 5 out of 5.,3
"name[Cotto], eatType[coffee shop], food[English], priceRange[cheap], customer rating[average], area[riverside], near[The Portland Arms]","Cotto coffee Shop is a low-priced, 3 star restaurant that serves breakfast.  It is located in city centre, east of The Portland Arms.  They also offer eat-in, or take-out.  Sorry, no deliveries.",3
"name[Fitzbillies], eatType[coffee shop], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[no]",Fitzbillies is a coffee shop that has Chinese food.  Customers have rated them 5 out of 5.  They also have great prices.  Keep in mind that they do not allow children.,3
"name[Fitzbillies], eatType[coffee shop], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes]","Fitzbillies, located in the riverside area, is a family friendly Chinese coffee shop that in addition to being cheap, has also received a customer rating of 5 out of 5.",3
"name[Fitzbillies], eatType[coffee shop], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes]","By the riverside, you will find the Fitzbillies. It is cheap but excellent coffee shop that also serves Chinese food.",3
"name[Fitzbillies], eatType[coffee shop], food[Chinese], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[yes]",Fitzbillies coffee shop is located in the city Centre. They sell cheap Chinese food with and average customer rating. They are also family friendly.,3
"name[Fitzbillies], eatType[coffee shop], food[Chinese], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[no]","Fitzbillies is an average, cheaply-priced coffee shop in Riverside that serves that also serves Chinese food to single patrons, without a family.",3
"name[Fitzbillies], eatType[coffee shop], food[Chinese], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[no]",There's a coffee shop in the centre of town called Fitzbillies. It serves Chinese food at high prices and doesn't cater to children. It's also poorly rated by customers.,3
"name[Fitzbillies], eatType[coffee shop], food[Chinese], priceRange[high], customer rating[average], area[city centre], familyFriendly[no]","Fitzbillies is a coffee shop which also sells Chinese food. You can find it in the city centre, but be aware it is not children friendly, only gets an average customer rating and prices are high.",3
"name[Fitzbillies], eatType[coffee shop], food[Chinese], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[no]",Located in the city centre area is Fitzbillies.  With a price range of less than £20 as well as a low customer rating this Chinese coffee shop is also not family friendly.,3
"name[Fitzbillies], eatType[coffee shop], food[Chinese], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[no]","Fitzbillies is a coffee shop that also serves Chinese food. It is moderately priced, with low customer ratings and is located in the city centre It is family friendly.",3
"name[Fitzbillies], eatType[coffee shop], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[no]","The Fitzbillies is non children-friendly coffee shop that also serves Chinese food. While it is located in the city centre and its prices are decent it has a low customer rating, 1 out of 5.",3
"name[Fitzbillies], eatType[coffee shop], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[no]","Located in the riverside area, Fitzbillies is a moderately priced restaurant offering a coffee shop as well as Chinese food.  It is moderately priced and has a customer rating of 1 out of 5.  It is not kid friendly.",3
"name[Fitzbillies], eatType[coffee shop], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[no]",Fitzbillies is a moderately priced coffee shop in the riverside area which also offers Chinese food. It has a customer rating of 1 out of 5. It is not kid friendly.,3
"name[Fitzbillies], eatType[coffee shop], food[English], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[yes]","Yes, this restaurant is children friendly and the English food is great. The restaurant is named Fitzbillies located in the city centre where the ratings scores an average of 1 out of 5. This restaurant is also similar to a coffee shop where the prices are high.",3
