mr,ref,score
"name[Alimentum], area[city centre], familyFriendly[yes], near[Burger King]","Alimentum, located near Burger King in the city centre, is family-friendly.",2
"name[Alimentum], area[riverside], familyFriendly[no], near[Burger King]","Alimentum, located near Burger King, is not family-friendly.",2
"name[Alimentum], area[riverside], familyFriendly[yes]","Alimentum, situated by the river, is child friendly.",2
"name[Alimentum], area[riverside], familyFriendly[yes]","Alimentum, on the riverside, is family-friendly.",2
"name[Alimentum], area[riverside], familyFriendly[yes], near[Burger King]","Alimentum, located near to Burger King on the riverside, is a child friendly establishment.",2
"name[Aromi], eatType[coffee shop], food[Chinese], customer rating[3 out of 5], area[riverside], familyFriendly[yes]","The kid friendly coffee shop,  Aromi,  serves Chinese food and is located riverside.   It has a customer rating of 3 out of 5.",2
"name[Aromi], eatType[coffee shop], food[Chinese], customer rating[5 out of 5], area[riverside], familyFriendly[yes]","The highly-rated family-friendly coffee shop, Aromi, offers Chinese food in the riverside area.",2
"name[Aromi], eatType[coffee shop], food[Chinese], customer rating[average], area[riverside], familyFriendly[no]","Aromi, a non-family friendly restaurant in the riverside area, serves average-rated Chinese food.",2
"name[Aromi], eatType[coffee shop], food[Chinese], customer rating[high], area[riverside], familyFriendly[yes]","The coffee shop, Aromi, serves Chinese food. They are family friendly, located riverside and has a high customer rating.",2
"name[Aromi], eatType[coffee shop], food[Chinese], customer rating[low], area[city centre], familyFriendly[no]","Aromi, a Chinese coffee shop, has a low rating, is not family friendly, and is located in the city centre.",2
"name[Aromi], eatType[coffee shop], food[English], customer rating[1 out of 5], area[riverside], familyFriendly[yes]","Aromi, a child-friendly English coffee shop in Riverside, has a customer service rating of 1 out of 5.",2
"name[Aromi], eatType[coffee shop], food[English], customer rating[3 out of 5], area[riverside], familyFriendly[yes]","A kid friendly English coffee shop, Aromi, rated 3 out of 5 and located in riverside.",2
"name[Aromi], eatType[coffee shop], food[English], customer rating[5 out of 5], area[riverside], familyFriendly[yes]","Family friendly coffee shop, Aromi, located along the river has been rated 5 stars.",2
"name[Aromi], eatType[coffee shop], food[English], customer rating[5 out of 5], area[riverside], familyFriendly[yes]","For a family friendly, English coffee shop, try Aromi on the riverside. Customers rate it 5 out of 5.",2
"name[Browns Cambridge], eatType[coffee shop], food[Chinese], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]","The coffee shop Browns Cambridge, in the riverside area,  offers Chinese food. It allows children and is located near the Crowne Plaza Hotel but it has a rating of 1 out of 5.",2
"name[Browns Cambridge], eatType[coffee shop], food[Chinese], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]","Adults-only coffee shop, Browns Cambridge, serves Chinese food. It is rated 5 out of 5 by customers and is located by the riverside close to Crowne Plaza Hotel.",2
"name[Browns Cambridge], eatType[coffee shop], food[Chinese], customer rating[average], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]","The average coffee shop, Browns Cambridge, serves Chinese food near the Crowne Plaza Hotel in the city centre.",2
"name[Browns Cambridge], eatType[coffee shop], food[Chinese], customer rating[high], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]","The kid friendly coffee shop, Browns Cambridge, serves Chinese food and is located in riverside near the Crowne Plaza Hotel. It has a high customer rating.",2
"name[Browns Cambridge], eatType[coffee shop], food[English], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]","The kid friendly coffee shop, Browns Cambridge, near Crown Plaza Hotel in riverside serves English food. It only got 1 out of 5.",2
"name[Browns Cambridge], eatType[coffee shop], food[English], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]","Browns Cambridge, a 5 out of 5 English coffee shop, is not kid friendly. It is located near Crowne Plaza Hotel and riverside.",2
"name[Browns Cambridge], eatType[coffee shop], food[English], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[Crowne Plaza Hotel]","Browns Cambridge, near Crowne Plaza Hotel in riverside, is a coffee shop offering English food.  Although not family-friendly, it has been rated 5 out of 5 by its patrons.",2
"name[Browns Cambridge], eatType[coffee shop], food[English], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]","Browns Cambridge, a coffee shop, has a customer rating 5 out of 5, English food, family friendly, in the riverside area, and near Crowne Plaza Hotel.",2
"name[Browns Cambridge], eatType[coffee shop], food[English], customer rating[average], area[city centre], familyFriendly[yes], near[Crowne Plaza Hotel]","The Browns Cambridge coffee shop, located near Crowne Plaza Hotel, serves English food in a family-friendly environment and has an average customer rating.",2
"name[Browns Cambridge], eatType[coffee shop], food[English], customer rating[average], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]","Browns Cambridge, located near Crowne Plaza Hotel in the riverside area, is a family-friendly coffee shop offering English fare. Browns Cambridge received average customer reviews.",2
