mr,ref,score
"name[Alimentum], area[city centre], familyFriendly[no]","There is a place in the city centre, Alimentum, that is not family-friendly.",1
"name[Alimentum], area[city centre], familyFriendly[no], near[Burger King]","Near the Burger King and in the city centre is Alimentum, which is not family-friendly.",1
"name[Alimentum], area[riverside], familyFriendly[no]",Alimentum looks like a location where people or families aren't allowed.,1
"name[Alimentum], area[riverside], familyFriendly[no]","If you are searching for a place to go that's not family-friendly and near the riverside, Alimentum is the place for you.",2
"name[Alimentum], area[riverside], familyFriendly[no]","Riverside has Alimentum, which is not family-friendly.",1
"name[Alimentum], area[riverside], familyFriendly[no], near[Burger King]",Burger King is near the Alimentum which is not family friendly and located north of the City center.,1
"name[Alimentum], area[riverside], familyFriendly[yes]",In the riverside area there is a restaurant that is kid friendly named Alimentum.,1
"name[Alimentum], area[riverside], familyFriendly[yes]",There is a riverside restaurant called Alimentum which is child friendly.,1
"name[Alimentum], area[riverside], familyFriendly[yes]","By the riverside you can find Alimentum, which is a family friendly place.",1
"name[Alimentum], area[riverside], familyFriendly[yes]",If you want to take the children for a meal then try Alimentum  they provide a child friendly service in their riverside setting .,2
"name[Alimentum], area[riverside], familyFriendly[yes]","If you are looking for a kids Friendly establishment in the riverside area, try Alimentum.",2
"name[Alimentum], area[riverside], familyFriendly[yes], near[Burger King]",There is a family friendly venue named Alimentum which is located at the riverside near Burger King.,1
"name[Alimentum], area[riverside], familyFriendly[yes], near[Burger King]","Near Burger King is Alimentum, which is child friendly and runs along the riverside.",1
"name[Aromi], eatType[coffee shop], food[Chinese], customer rating[1 out of 5], area[riverside], familyFriendly[yes]",There is an Chinese coffee shop named Aromi near the riverside that has 1 out of 5 in the customer ranking and friendly with kid.,1
"name[Aromi], eatType[coffee shop], food[Chinese], customer rating[1 out of 5], area[riverside], familyFriendly[yes]","Aromi  is a coffee shop that offer Chinese cuisine.  Rated number 1 by existing customers, it is located in a riverside area and welcomes children.",1
"name[Aromi], eatType[coffee shop], food[Chinese], customer rating[3 out of 5], area[riverside], familyFriendly[yes]","If you're looking for a decent, family friendly coffee shop in riverside, then go to Aromi. It serves Chinese food there too.",2
"name[Aromi], eatType[coffee shop], food[Chinese], customer rating[3 out of 5], area[riverside], familyFriendly[yes]","Aromi is a coffee shop that serves Chinese food in the Riverside area with a good customer rating of 3 out of 5, it is not child friendly.",1
"name[Aromi], eatType[coffee shop], food[Chinese], customer rating[3 out of 5], area[riverside], familyFriendly[yes]","There is a coffee shop that serves Chinese food called Aromi, in the Riverside area, it is not child friendly and has a customer rating of 3 out of 5.",1
"name[Aromi], eatType[coffee shop], food[Chinese], customer rating[5 out of 5], area[city centre], familyFriendly[no]",There is a coffee shop called Aromi that provides Chinese food. It has a customer rating of 5 out of 5 tars  and is located in the city centre. It is not family friendly.,1
"name[Aromi], eatType[coffee shop], food[Chinese], customer rating[5 out of 5], area[city centre], familyFriendly[yes]","There is a family friendly coffee shop in the city centre that serves Chinese food,  Aromi. It has a 5 out of 5 customer rating.",1
"name[Aromi], eatType[coffee shop], food[Chinese], customer rating[5 out of 5], area[city centre], familyFriendly[yes]",Aromi is a coffee shop that serves Chinese food in the city centre. It is family friendly and has a 5 out of 5 customer rating.,1
"name[Aromi], eatType[coffee shop], food[Chinese], customer rating[5 out of 5], area[riverside], familyFriendly[no]",There is a coffee shop on riverside that serves Chinese food Aromi. It is not family friendly and is rated 5 out of 5 by customers.,1
"name[Aromi], eatType[coffee shop], food[Chinese], customer rating[5 out of 5], area[riverside], familyFriendly[no]",Aromi is a coffee shop that serves Chinese food on riverside. It has a 5 out of 5 customer rating and is not family friendly.,1
"name[Aromi], eatType[coffee shop], food[Chinese], customer rating[5 out of 5], area[riverside], familyFriendly[yes]","Aromi is a coffee shop, which offers Chinese food, and has a customer rating of 5 out of 5. It is located in a riverside area, and is family friendly.",1
"name[Aromi], eatType[coffee shop], food[Chinese], customer rating[5 out of 5], area[riverside], familyFriendly[yes]",Aromi is a coffee shop that serves Chinese food. This family friendly eatery in riverside gets 5 out of 5 stars.,1
"name[Aromi], eatType[coffee shop], food[Chinese], customer rating[average], area[city centre], familyFriendly[no]",Aromi is a coffee shop serving Chinese food that is rated average and is located in the city centre. Aromi is not family friendly.,1
"name[Aromi], eatType[coffee shop], food[Chinese], customer rating[average], area[city centre], familyFriendly[no]",In there city center there is a  coffee shop named Aromi that is average rated and serves Chinese food.,1
"name[Aromi], eatType[coffee shop], food[Chinese], customer rating[average], area[city centre], familyFriendly[no]",Aromi is an average rated coffee shop that serves Chinese food in the city center.,1
"name[Aromi], eatType[coffee shop], food[Chinese], customer rating[average], area[city centre], familyFriendly[yes]",Aromi is a family friendly coffee shop that serves Chinese food. It is located in the city centre and has an average customer rating.,1
"name[Aromi], eatType[coffee shop], food[Chinese], customer rating[average], area[city centre], familyFriendly[yes]",Aromi is a coffee shop that provides Chinese food. It has an average rating and it located in the city centre. It is family friendly.,1
"name[Aromi], eatType[coffee shop], food[Chinese], customer rating[average], area[city centre], familyFriendly[yes]",Aromi is a family friendly coffee shop that provides Chinese food located in the city centre with average rating.,1
"name[Aromi], eatType[coffee shop], food[Chinese], customer rating[average], area[riverside], familyFriendly[no]",Aromi has an average customer rating in Riverside that provides Chinese food.,1
"name[Aromi], eatType[coffee shop], food[Chinese], customer rating[average], area[riverside], familyFriendly[yes]",There is an average  Chinese coffee shop at the riverside that is children friendly called Aromi.,1
"name[Aromi], eatType[coffee shop], food[Chinese], customer rating[average], area[riverside], familyFriendly[yes]",Aromi is an average Chinese coffee shop by the river that caters to children also.,1
"name[Aromi], eatType[coffee shop], food[Chinese], customer rating[average], area[riverside], familyFriendly[yes]",Aromi Is a coffee shop that serves Chinese food. It is located at the riverside. It has an average customer rating and it's family friendly.,1
"name[Aromi], eatType[coffee shop], food[Chinese], customer rating[average], area[riverside], familyFriendly[yes]","Aromi,  is a coffee shop eatery where you can dine on Chinese cuisine and has earned an average customer rating, located in the Riverside area and is a family friendly eatery.",1
"name[Aromi], eatType[coffee shop], food[Chinese], customer rating[high], area[riverside], familyFriendly[yes]","Aromi is a coffee shop located riverside, which serves Chinese. They have a high customer rating and are family friendly.",1
"name[Aromi], eatType[coffee shop], food[Chinese], customer rating[high], area[riverside], familyFriendly[yes]","Aromi is a nice coffee shop near the riverside that is kid friendly, also serves Chinese food and receives high ratings.",1
"name[Aromi], eatType[coffee shop], food[Chinese], customer rating[low], area[city centre], familyFriendly[no]",Aromi is a coffee shop that serves Chinese food. It has low customer ratings and it is located in the city centre. It is not family friendly.,1
"name[Aromi], eatType[coffee shop], food[Chinese], customer rating[low], area[city centre], familyFriendly[yes]",Aromi is a coffee shop that offers Chinese food in the city centre. It is a family friendly restaurant with a low customer rating.,1
"name[Aromi], eatType[coffee shop], food[Chinese], customer rating[low], area[riverside], familyFriendly[yes]",There is a low customer rating coffee shop that provides Chinese food located in Riverside. Aromi is family friendly.,1
"name[Aromi], eatType[coffee shop], food[Chinese], customer rating[low], area[riverside], familyFriendly[yes]","Try Aromi for a low rated, family friendly coffee shop that offers Chinese food in the riverside area.",1
"name[Aromi], eatType[coffee shop], food[English], customer rating[1 out of 5], area[riverside], familyFriendly[yes]",Aromi  is a English coffee shop in Riverside that is children friendly with the customer rating of 1 out of 5.,1
"name[Aromi], eatType[coffee shop], food[English], customer rating[1 out of 5], area[riverside], familyFriendly[yes]",Near the riverside you can find a coffee shop called Aromi that serve English cuisine that welcomes kids but has a 1 out of 5 customer rating.,1
"name[Aromi], eatType[coffee shop], food[English], customer rating[1 out of 5], area[riverside], familyFriendly[yes]","An English coffee shop that welcomes children, Aromi is near the riverside with a low customer rating.",1
"name[Aromi], eatType[coffee shop], food[English], customer rating[1 out of 5], area[riverside], familyFriendly[yes]",coffee shop called Aromi serving English food near the riverside that welcomes kids with a customer rating of 1 out of 5.,1
"name[Aromi], eatType[coffee shop], food[English], customer rating[1 out of 5], area[riverside], familyFriendly[yes]",Aromi is an English coffee shop that welcomes children near the riverside with a low customer rating.,1
"name[Aromi], eatType[coffee shop], food[English], customer rating[1 out of 5], area[riverside], familyFriendly[yes]","In Riverside,  Aromi  is an English coffee shop which  is children friendly with the customer rating of 1 out of 5.",1
"name[Aromi], eatType[coffee shop], food[English], customer rating[3 out of 5], area[riverside], familyFriendly[yes]",Aromi is a coffee shop that provides English food in the riverside area. It is friendly for kids and the customer rating is 3 out of 5.,1
"name[Aromi], eatType[coffee shop], food[English], customer rating[3 out of 5], area[riverside], familyFriendly[yes]",There is a friendly for kids coffee shop called Aromi that provides English food in the riverside area. The customer rating is 3 out of 5.,1
"name[Aromi], eatType[coffee shop], food[English], customer rating[5 out of 5], area[city centre], familyFriendly[no]",The coffee shop near the city centre with the name Aromi which is a no family-friendly English restaurant for customer rating of 5 out of 5.,1
"name[Aromi], eatType[coffee shop], food[English], customer rating[5 out of 5], area[city centre], familyFriendly[no]","With a customer rating of 5 out of 5 Aromi is located in city centre, they have English food Aromi is a coffee shop  are not family-friendly.",2
"name[Aromi], eatType[coffee shop], food[English], customer rating[5 out of 5], area[city centre], familyFriendly[no]",In the city centre there is a coffee shop with a customer rating of 5 out of 5 called Aromi which serves English food.,1
"name[Aromi], eatType[coffee shop], food[English], customer rating[5 out of 5], area[city centre], familyFriendly[no]",Aromi is an English coffee shop in the city centre which is not family-friendly with a customer rating 5 out of 5.,1
"name[Aromi], eatType[coffee shop], food[English], customer rating[5 out of 5], area[city centre], familyFriendly[yes]","There is a coffee shop in the city center called Aromi  that offers food, is family-friendly and has a five star customer service rating.",1
"name[Aromi], eatType[coffee shop], food[English], customer rating[5 out of 5], area[city centre], familyFriendly[yes]","Aromi located in the city centre that is a five-star rated, family-friendly coffee shop, that also offers food.",1
"name[Aromi], eatType[coffee shop], food[English], customer rating[5 out of 5], area[riverside], familyFriendly[no]",There is an English coffee shop near the riverside named Aromi that is not family-friendly.,1
