name,rating,player_perspective,genres,has_multiplayer,release_year,exp_release_date,developer,platforms,available_on_steam,has_linux_release,has_mac_release,esrb
The Witcher 3: Wild Hunt,excellent,third person,"action-adventure, role-playing",no,2015,,CD Projekt RED,"PlayStation, Xbox, PC",yes,no,no,M (for Mature)
God of War,excellent,third person,"action-adventure, platformer, role-playing",no,2018,,SIE Santa Monica Studio,PlayStation,,,,M (for Mature)
The Last of Us,excellent,third person,"action-adventure, shooter",yes,2013,,Naughty Dog,PlayStation,,,,M (for Mature)
Silent Hill 2,excellent,third person,"action-adventure, puzzle",no,2001,,Konami Computer Entertainment Tokyo,"PlayStation, Xbox, PC",no,no,no,M (for Mature)
Horizon: Zero Dawn,excellent,third person,"action-adventure, role-playing, shooter",no,2017,,Guerrilla Games,PlayStation,,,,T (for Teen)
The Legend of Zelda: Ocarina of Time,excellent,"bird view, third person","action-adventure, puzzle, role-playing",no,1998,,Nintendo EAD,Nintendo,,,,E (for Everyone)
Mass Effect 2,excellent,third person,"action-adventure, role-playing, shooter",no,2010,,BioWare,"PlayStation, Xbox, PC",yes,no,no,M (for Mature)
Metal Gear Solid 3: Snake Eater,excellent,"bird view, first person, third person","action-adventure, shooter, tactical",no,2004,,Konami Computer Entertainment Japan,PlayStation,,,,M (for Mature)
Uncharted 4: A Thief's End,excellent,third person,"action-adventure, shooter",yes,2016,,Naughty Dog,PlayStation,,,,T (for Teen)
Half-Life 2,excellent,first person,shooter,no,2004,,Valve Corporation,"PlayStation, Xbox, PC",yes,yes,yes,M (for Mature)
Grand Theft Auto V,excellent,"first person, third person","action-adventure, driving/racing, shooter",yes,2013,,Rockstar North,"PlayStation, Xbox, PC",yes,no,no,M (for Mature)
Resident Evil 4,excellent,third person,"action-adventure, shooter",no,2005,,Capcom Production Studio 4,"PlayStation, Xbox, Nintendo, PC",yes,no,no,M (for Mature)
Super Mario World,excellent,side view,platformer,yes,1990,,Nintendo EAD,Nintendo,,,,E (for Everyone)
Final Fantasy VII,excellent,"bird view, third person","adventure, role-playing",no,1997,,Square,"PlayStation, PC",yes,no,no,T (for Teen)
