mr,ref
"suggest(name[Age of Empires II: The Age of Kings], available_on_steam[no])","Have you tried any games not on Steam, like Age of Empires II: The Age of Kings?"
"suggest(name[Age of Empires II: The Age of Kings], available_on_steam[no])","Have you given any games not available on Steam a try, for example Age of Empires II: The Age of Kings?"
"suggest(name[Age of Empires II: The Age of Kings], available_on_steam[no])","So I was wondering, have you ever played a game that isn't available on Steam, such as Age of Empires II: The Age of Kings?"
"suggest(name[Age of Empires II: The Age of Kings], developer[Ensemble Studios])","I was curious, have you played any games made by Ensemble Studios, such as Age of Empires II: The Age of Kings?"
"suggest(name[Age of Empires II: The Age of Kings], developer[Ensemble Studios])","I wonder, have you played any titles from Ensemble Studios, like Age of Empires II: The Age of Kings?"
"suggest(name[Age of Empires II: The Age of Kings], developer[Ensemble Studios])","Have you played any games from Ensemble Studios, for instance Age of Empires II: The Age of Kings?"
"suggest(name[Age of Empires II: The Age of Kings], has_mac_release[yes])","Do you ever play the Mac version of games when they have it, like Age of Empires II: The Age of Kings?"
"suggest(name[Age of Empires II: The Age of Kings], has_mac_release[yes])","Do you play games on Mac, like Age of Empires II: The Age of Kings?"
"suggest(name[Age of Empires II: The Age of Kings], has_mac_release[yes])",Do you have experience with Mac games like Age of Empires II: The Age of Kings?
"suggest(name[Age of Empires II: The Age of Kings], player_perspective[bird view])","Have you given any bird's eye view games a play, such as Age of Empires II: The Age of Kings?"
"suggest(name[Age of Empires II: The Age of Kings], player_perspective[bird view])","Do you have any experience playing games with a bird view perspective, like Age of Empires II: The Age of Kings?"
"suggest(name[Age of Empires II: The Age of Kings], player_perspective[bird view])","Have you tried bird's eye view games, you know, games like Age of Empires II: The Age of Kings?"
"suggest(name[Age of Empires II: The Age of Kings], release_year[1999])","Do you know about any games from 1999, such as Age of Empires II: The Age of Kings?"
"suggest(name[Age of Empires II: The Age of Kings], release_year[1999])",Have you played any games from 1999 like Age of Empires II: The Age of Kings?
"suggest(name[Age of Empires II: The Age of Kings], release_year[1999])","Have you ever played a game that came out in 1999, like Age of Empires II: The Age of Kings?"
"suggest(name[BioShock], available_on_steam[yes])","Have you ever played anything with a Steam release, for instance BioShock?"
"suggest(name[BioShock], available_on_steam[yes])","Do you enjoy any games that can be found on Steam, like BioShock?"
"suggest(name[BioShock], available_on_steam[yes])","Do you ever buy games on Steam, games like BioShock?"
"suggest(name[BioShock], developer[2K Boston])","Are you familiar with any of the games developed by 2K Boston, such as BioShock?"
"suggest(name[BioShock], developer[2K Boston])","Do you like any games from 2K Boston, games like BioShock?"
"suggest(name[BioShock], developer[2K Boston])","Do you like games developed by 2K Boston, like BioShock?"
"suggest(name[BioShock], genres[action-adventure, role-playing, shooter])","I'm curious, have you ever played an action-adventure shooter with role-playing elements, like for example BioShock?"
"suggest(name[BioShock], genres[action-adventure, role-playing, shooter])",Do you typically like action-adventure RPG shooters like BioShock?
"suggest(name[BioShock], genres[action-adventure, role-playing, shooter])","Do you like shooter games that are part action-adventure and part role-playing, like BioShock?"
"suggest(name[BioShock], has_mac_release[yes])","Do you prefer playing games available on Mac, like BioShock?"
"suggest(name[BioShock], has_mac_release[yes])","So I'm wondering, have you ever played a game with a Mac release, just like BioShock?"
"suggest(name[BioShock], has_mac_release[yes])","Have you had fun with other Mac games, like BioShock?"
"suggest(name[BioShock], player_perspective[first person])",Have you enjoyed any first person games like BioShock before?
"suggest(name[BioShock], player_perspective[first person])","I was wondering if you enjoy playing first person games, for example BioShock?"
"suggest(name[BioShock], player_perspective[first person])","Do you like first person perspective in games, such as in BioShock?"
"suggest(name[Guitar Hero: Smash Hits], developer[Beenox])",Have you ever played any Beenox games like Guitar Hero: Smash Hits?
"suggest(name[Guitar Hero: Smash Hits], developer[Beenox])",Have you given Beenox's games a try? They've made games like Guitar Hero: Smash Hits.
"suggest(name[Guitar Hero: Smash Hits], developer[Beenox])","So I was wondering now, have you played any games developed by Beenox, you know, games like Guitar Hero: Smash Hits?"
"suggest(name[Guitar Hero: Smash Hits], genres[music])","Do you ever play video games based around music, like Guitar Hero: Smash Hits?"
"suggest(name[Guitar Hero: Smash Hits], genres[music])","I'm curious, do you have any experience playing any games in the music genre, games like Guitar Hero: Smash Hits?"
"suggest(name[Guitar Hero: Smash Hits], genres[music])","Do you like music games, such as Guitar Hero: Smash Hits?"
"suggest(name[Guitar Hero: Smash Hits], has_multiplayer[yes])","Do you normally have fun playing multiplayer games, for example Guitar Hero: Smash Hits?"
"suggest(name[Guitar Hero: Smash Hits], has_multiplayer[yes])","Hey, have you ever played a game with multiplayer, like for example Guitar Hero: Smash Hits?"
"suggest(name[Guitar Hero: Smash Hits], has_multiplayer[yes])",Do you like other multiplayer games like Guitar Hero: Smash Hits?
"suggest(name[Guitar Hero: Smash Hits], platforms[Nintendo])","So now I'm curious, have you ever played a game for Nintendo, like for example Guitar Hero: Smash Hits?"
"suggest(name[Guitar Hero: Smash Hits], platforms[Nintendo])","Do you ever play Nintendo games, such as Guitar Hero: Smash Hits?"
"suggest(name[Guitar Hero: Smash Hits], platforms[Nintendo])","Do you like games available on the Nintendo, such as Guitar Hero: Smash Hits?"
"suggest(name[Guitar Hero: Smash Hits], player_perspective[first person])","Have you ever played a first person game, like for example Guitar Hero: Smash Hits?"
"suggest(name[Guitar Hero: Smash Hits], player_perspective[first person])",Do you ever like playing first person games like Guitar Hero: Smash Hits?
"suggest(name[Guitar Hero: Smash Hits], player_perspective[first person])","Hey, have you played any first person games, such as Guitar Hero: Smash Hits?"
"suggest(name[Might & Magic: Heroes VI], available_on_steam[yes])","Do you ever buy games from Steam, you know, like Might & Magic: Heroes VI?"
"suggest(name[Might & Magic: Heroes VI], available_on_steam[yes])","Okay so now I'm curious, have you ever played a game on Steam, like for example Might & Magic: Heroes VI?"
"suggest(name[Might & Magic: Heroes VI], available_on_steam[yes])","Have you found any games on Steam fun, like Might & Magic: Heroes VI?"
"suggest(name[Might & Magic: Heroes VI], developer[Black Hole Entertainment])","Tell me, have you tried any games from Black Hole Entertainment, like that Might & Magic: Heroes VI?"
"suggest(name[Might & Magic: Heroes VI], developer[Black Hole Entertainment])","I am curious to know if remember ever playing a game made by Black Hole Entertainment, such as Might & Magic: Heroes VI."
"suggest(name[Might & Magic: Heroes VI], developer[Black Hole Entertainment])","Are you a fan of games made by Black Hole Entertainment, such as Might & Magic: Heroes VI?"
"suggest(name[Might & Magic: Heroes VI], genres[role-playing, turn-based strategy])",Do you enjoy playing turn-based strategy role-playing games like Might & Magic: Heroes VI?
"suggest(name[Might & Magic: Heroes VI], genres[role-playing, turn-based strategy])",Do you sometimes play turn based RPG games like Might & Magic: Heroes VI?
"suggest(name[Might & Magic: Heroes VI], genres[role-playing, turn-based strategy])","I was wondering if you had any experience with turn-based strategy games with role-playing elements, for example games like Might & Magic: Heroes VI."
"suggest(name[Might & Magic: Heroes VI], has_multiplayer[yes])",Are you into multiplayer games like Might & Magic: Heroes VI?
"suggest(name[Might & Magic: Heroes VI], has_multiplayer[yes])","Do you also enjoy multiplayer games like Might & Magic: Heroes VI, by any chance?"
"suggest(name[Might & Magic: Heroes VI], has_multiplayer[yes])","I have been wondering if you also like games with multiplayer, such as Might & Magic: Heroes VI for example?"
"suggest(name[Might & Magic: Heroes VI], platforms[PC])","Do you like to play games on PC, like Might & Magic: Heroes VI?"
"suggest(name[Might & Magic: Heroes VI], platforms[PC])",Do you like to play PC games like Might & Magic: Heroes VI?
"suggest(name[Might & Magic: Heroes VI], platforms[PC])","Do you also play any games on the PC, such as for example Might & Magic: Heroes VI?"
"suggest(name[Mirror's Edge Catalyst], developer[EA Digital Illusions CE])","Have you played any games from EA Digital Illusions CE, like Mirror's Edge Catalyst?"
"suggest(name[Mirror's Edge Catalyst], developer[EA Digital Illusions CE])","I've heard a lot about EA Digital Illusions CE, have you played any of their games, such as Mirror's Edge Catalyst?"
"suggest(name[Mirror's Edge Catalyst], developer[EA Digital Illusions CE])","So now I've started to wonder, have you played any games created by EA Digital Illusions CE, such as Mirror's Edge Catalyst?"
"suggest(name[Mirror's Edge Catalyst], genres[action-adventure, fighting])","Have you played any action-adventure fighting games, like Mirror's Edge Catalyst?"
"suggest(name[Mirror's Edge Catalyst], genres[action-adventure, fighting])","Do you play action-adventure fighting games, like Mirror's Edge Catalyst?"
"suggest(name[Mirror's Edge Catalyst], genres[action-adventure, fighting])","Do you ever play games that blend the action-adventure and fighting genres together, like for example Mirror's Edge Catalyst?"
"suggest(name[Mirror's Edge Catalyst], platforms[PlayStation])","Do you ever play PlayStation games, like Mirror's Edge Catalyst?"
"suggest(name[Mirror's Edge Catalyst], platforms[PlayStation])","Do you like games on PlayStation, like Mirror's Edge Catalyst?"
"suggest(name[Mirror's Edge Catalyst], platforms[PlayStation])","Do you have any experience playing games for the PlayStation, like Mirror's Edge Catalyst?"
