mr,ref
"verify_attribute(name[BioShock], esrb[M (for Mature)], rating[good])","Do you tend to enjoy M rated games, or is BioShock simply unique which made you like it?"
"verify_attribute(name[BioShock], esrb[M (for Mature)], rating[good])",I know you enjoyed BioShock a fair amount. Would you say that you like to play M rated games in general?
"verify_attribute(name[BioShock], esrb[M (for Mature)], rating[good])",I believe that you said you liked BioShock. Do you generally like games rated for mature audiences?
"verify_attribute(name[BioShock], rating[good], genres[action-adventure, role-playing, shooter])","You said you liked BioShock. So I'm curious, do you tend to enjoy action-adventure role-playing shooters overall?"
"verify_attribute(name[BioShock], rating[good], genres[action-adventure, role-playing, shooter])","Hey, so you enjoyed BioShock. Is such an action-adventure shooter style of games with RPG elements something you dig?"
"verify_attribute(name[BioShock], rating[good], genres[action-adventure, role-playing, shooter])",I remember that you liked BioShock. Do you generally enjoy action-adventure shooters with role-playing elements?
"verify_attribute(name[BioShock], rating[good], has_multiplayer[no])","You mentioned that you had fun playing BioShock. Do you, in general, enjoy single-player only games like that?"
"verify_attribute(name[BioShock], rating[good], has_multiplayer[no])","Do you enjoy most of the single-player only games, or is BioShock special?"
"verify_attribute(name[BioShock], rating[good], has_multiplayer[no])",I seem to recall that you liked BioShock. Do you like single-player games in general?
"verify_attribute(name[BioShock], rating[good], platforms[Xbox])","Do you usually like Xbox games, or was BioShock just a special case?"
"verify_attribute(name[BioShock], rating[good], platforms[Xbox])",You mentioned enjoying BioShock a fair amount. Would you say it was thanks to the experience the Xbox platform provides?
"verify_attribute(name[BioShock], rating[good], platforms[Xbox])",I believe that you said you liked BioShock. Do you in general like to play games on the Xbox?
"verify_attribute(name[BioShock], rating[good], player_perspective[first person])",I know that BioShock is a game you like. Is the first person player perspective a preference of yours in the games you play?
"verify_attribute(name[BioShock], rating[good], player_perspective[first person])","So you liked playing BioShock, is that true for most first person games though?"
"verify_attribute(name[BioShock], rating[good], player_perspective[first person])",I know you felt BioShock was a pretty good game. Is first person a perspective you prefer in games you play?
"verify_attribute(name[Need for Speed: Most Wanted], developer[EA Redwood Shores], rating[good])",Need for Speed: Most Wanted is a title I remember you liking. Do you feel the same about other games that are developed by EA Redwood Shores?
"verify_attribute(name[Need for Speed: Most Wanted], developer[EA Redwood Shores], rating[good])","Do you usually enjoy EA Redwood Shores' work, or is Need for Speed: Most Wanted somewhat unique?"
"verify_attribute(name[Need for Speed: Most Wanted], developer[EA Redwood Shores], rating[good])","So hey, earlier you mentioned liking Need for Speed: Most Wanted. I'm curious, do you feel similarly about the other games developed by EA Redwood Shores?"
"verify_attribute(name[Need for Speed: Most Wanted], rating[good], genres[driving/racing])","You mentioned that Need for Speed: Most Wanted was pretty good. You must enjoy the driving/racing genre quite a bit then, right?"
"verify_attribute(name[Need for Speed: Most Wanted], rating[good], genres[driving/racing])","Do you typically enjoy driving/racing games, or is Need for Speed: Most Wanted something special?"
"verify_attribute(name[Need for Speed: Most Wanted], rating[good], genres[driving/racing])","I know you thought Need for Speed: Most Wanted was pretty fun, however, I'm wondering, do you like other driving/racing games too?"
"verify_attribute(name[Need for Speed: Most Wanted], rating[good], has_multiplayer[yes])","Are you usually a fan of multiplayer games, or was Need for Speed: Most Wanted just particularly well done?"
"verify_attribute(name[Need for Speed: Most Wanted], rating[good], has_multiplayer[yes])","I know you liked Need for Speed: Most Wanted, but do you usually prefer games that offer multiplayer?"
"verify_attribute(name[Need for Speed: Most Wanted], rating[good], has_multiplayer[yes])","You said you thought Need for Speed: Most Wanted was a pretty good game, if I remember right. Do you like to play games with friends in multiplayer?"
"verify_attribute(name[Need for Speed: Most Wanted], rating[good], platforms[PlayStation])",You said that you thought Need for Speed: Most Wanted was a good game. Have you had a similarly good experience with a bunch of other games on the PlayStation?
"verify_attribute(name[Need for Speed: Most Wanted], rating[good], platforms[PlayStation])","Hey, I've been wondering whether you're fond of gaming on the PlayStation, or you just enjoyed Need for Speed: Most Wanted regardless."
"verify_attribute(name[Need for Speed: Most Wanted], rating[good], platforms[PlayStation])",I remember you once said Need for Speed: Most Wanted was quite fun. Do you like playing games on the PlayStation in general?
"verify_attribute(name[Need for Speed: Most Wanted], rating[good], player_perspective[third person])",I know you mentioned liking Need for Speed: Most Wanted a fair amount. So you like games with a third person perspective?
"verify_attribute(name[Need for Speed: Most Wanted], rating[good], player_perspective[third person])",You said you enjoyed Need for Speed: Most Wanted. Did the third person perspective contribute to your liking of the game you think?
"verify_attribute(name[Need for Speed: Most Wanted], rating[good], player_perspective[third person])",You had good things to say about Need for Speed: Most Wanted. Is that usually your opinion of games with a third person perspective?
"verify_attribute(name[Skyforge], developer[Allods Online], rating[poor])","Do you usually dislike games from Allods Online, or is Skyforge just bad?"
"verify_attribute(name[Skyforge], developer[Allods Online], rating[poor])","You didn't care for Skyforge, if I remember right. Do you typically not enjoy titles developed by Allods Online?"
"verify_attribute(name[Skyforge], developer[Allods Online], rating[poor])",You told me you dislike Skyforge. Do you feel like Allods Online makes a mess of games in general?
"verify_attribute(name[Skyforge], rating[poor], genres[adventure, hack-and-slash, MMORPG])",You said Skyforge stunk. Don't you say that about most adventure hack-and-slash MMORPG games though?
"verify_attribute(name[Skyforge], rating[poor], genres[adventure, hack-and-slash, MMORPG])","Do you dislike all hack-and-slash adventure MMORPGs, or just Skyforge in particular?"
"verify_attribute(name[Skyforge], rating[poor], genres[adventure, hack-and-slash, MMORPG])",You said you were not really into Skyforge. Do you find hack-and-slash adventure MMORPG games not interesting?
"verify_attribute(name[Skyforge], rating[poor], platforms[Xbox])",So you thought Skyforge was a pretty bad game. But do you have similar thoughts about other games for the Xbox?
"verify_attribute(name[Skyforge], rating[poor], platforms[Xbox])",You told me that you don't like Skyforge. Is that also the case for other Xbox games?
