mr,ref
"give_opinion(name[Guitar Hero: Smash Hits], developer[Beenox], rating[poor])","Honestly, Guitar Hero: Smash Hits just wasn't engaging for me. I tend to avoid games by Beenox."
"give_opinion(name[Guitar Hero: Smash Hits], release_year[2009], rating[poor])",Guitar Hero: Smash Hits just didn't do it for me. It really shows that it was made back in 2009.
"give_opinion(name[Guitar Hero: Smash Hits], esrb[T (for Teen)], rating[poor])","I didn't like Guitar Hero: Smash Hits, it felt a little immature for a T rated game."
"give_opinion(name[Guitar Hero: Smash Hits], rating[poor], has_multiplayer[yes])",Guitar Hero: Smash Hits felt kinda lacking to me. I think they focused too much on the multiplayer and ignored the rest.
"give_opinion(name[Guitar Hero: Smash Hits], rating[poor], player_perspective[first person])",Guitar Hero: Smash Hits was pretty bad. The first person perspective was just too jarring.
"give_opinion(name[World of Warcraft], rating[good], available_on_steam[no])","I used to love World of Warcraft, I just wish it was available on Steam, that would be so convenient."
"give_opinion(name[World of Warcraft], developer[Blizzard Entertainment], rating[good])","Blizzard Entertainment did a good job with World of Warcraft, I liked playing it."
"give_opinion(name[World of Warcraft], release_year[2004], rating[good])",I wish I could go back to 2004 when World of Warcraft first came out and I would spend hours playing.
"give_opinion(name[World of Warcraft], rating[good], platforms[PC])","World of Warcraft was good, but I think it could have been even more popular if they released the game on more than just PC."
"give_opinion(name[World of Warcraft], rating[good], genres[adventure, MMORPG])","The adventure MMORPG style of World of Warcraft really made it something different, which I enjoyed."
"give_opinion(name[Age of Wonders II: The Wizard's Throne], developer[Triumph Studios], rating[poor])","I really wanted to like Age of Wonders II: The Wizard's Throne, but Triumph Studios made it and I end up hating all of their games."
"give_opinion(name[Age of Wonders II: The Wizard's Throne], rating[poor], genres[role-playing, turn-based strategy])",Role-playing games that are turn-based strategy are all played out. Take for example Age of Wonders II: The Wizard's Throne; it's so boring.
"give_opinion(name[Age of Wonders II: The Wizard's Throne], rating[poor], has_mac_release[no])",I really hated that Age of Wonders II: The Wizard's Throne didn't have a version for Mac. I had to borrow my brother's laptop to play.
"give_opinion(name[Age of Wonders II: The Wizard's Throne], rating[poor], player_perspective[bird view])",I absolutely hate bird view perspective games like Age of Wonders II: The Wizard's Throne. I can't even see what my character is doing.
"give_opinion(name[Age of Wonders II: The Wizard's Throne], release_year[2002], rating[poor])","I hate playing older games like Age of Wonders II: The Wizard's Throne. It's from 2002, why not play something new?"
"give_opinion(name[Far Cry 3], rating[good], player_perspective[first person])",I thought Far Cry 3 was pretty good. I have a thing for first person perspective games.
"give_opinion(name[Far Cry 3], rating[good], genres[action-adventure, shooter])","Action-adventure shooter games are fun, and Far Cry 3 was a good one that scratched my itch."
"give_opinion(name[Far Cry 3], rating[good], platforms[PlayStation])","PlayStation has had a lot of interesting and expanding games, and Far Cry 3 was one of those good ones."
"give_opinion(name[Far Cry 3], rating[good], has_multiplayer[yes])","One thing I thought that makes Far Cry 3 a pretty good game is that it has multiplayer as well. It has a great single-player campaign, but you can jump online and enjoy it that way too."
"give_opinion(name[Far Cry 3], release_year[2012], rating[good])",Far Cry 3 was a pretty good game for 2012.
"give_opinion(name[Silent Hill 2], developer[Konami Computer Entertainment Tokyo], rating[excellent])",Konami Computer Entertainment Tokyo makes the best games. One of my favorites is Silent Hill 2.
"give_opinion(name[Silent Hill 2], rating[excellent], player_perspective[third person])",Third person games like Silent Hill 2 are the best. First person is too close and bird's eye is too far.
