mr,ref
"request_explanation(rating[good], genres[hack-and-slash, role-playing], player_perspective[bird view])",What do you like about bird's eye view hack-and-slash RPGs?
"request_explanation(rating[good], genres[hack-and-slash, role-playing], player_perspective[bird view])",Why is it that you enjoy playing hack-and-slash RPGs that have a bird view perspective?
"request_explanation(esrb[M (for Mature)], rating[excellent], platforms[PlayStation])",Why do you think that M rated games available for the PlayStation tend to be so amazing?
"request_explanation(esrb[M (for Mature)], rating[excellent], platforms[PlayStation])",What is it about M rated PlayStation games you love so much?
"request_explanation(release_year[2017], rating[poor], genres[text adventure])",What's wrong with text adventure games from 2017?
"request_explanation(release_year[2017], rating[poor], genres[text adventure])",Why do you hate the text adventure games that were released in 2017?
"request_explanation(esrb[T (for Teen)], rating[excellent], has_multiplayer[no])","I'm curious, why is it that so many of your favorite games are T rated single-player games?"
"request_explanation(esrb[T (for Teen)], rating[excellent], has_multiplayer[no])",What do you find so amazing about T rated single-player games?
"request_explanation(developer[Slightly Mad Studios], rating[average], platforms[PC])",What makes Slightly Mad Studios' PC games average to you?
"request_explanation(developer[Slightly Mad Studios], rating[average], platforms[PC])","So, why do you feel that the PC games made by Slightly Mad Studios are just average?"
"request_explanation(developer[Evolution Studios], rating[poor], has_multiplayer[yes])",Why do you dislike Evolution Studios' multiplayer games?
"request_explanation(developer[Evolution Studios], rating[poor], has_multiplayer[yes])",Why makes you hate multiplayer games made by Evolution Studios?
"request_explanation(rating[excellent], genres[action-adventure, shooter], player_perspective[third person])",Why do you love third person action-adventure shooters so much?
"request_explanation(rating[excellent], genres[action-adventure, shooter], player_perspective[third person])","I'm curious, what makes third person action-adventure shooters so special to you?"
"request_explanation(developer[Tarsier Studios], esrb[E (for Everyone)], rating[good])",Could you tell me what it is mainly that you enjoy about E rated games from Tarsier Studios?
"request_explanation(developer[Tarsier Studios], esrb[E (for Everyone)], rating[good])",What would you say is the reason you like Tarsier Studios lineup of E rated games?
"request_explanation(rating[average], genres[driving/racing, sport], player_perspective[first person])",Why do you find first person sport racing games so average?
"request_explanation(rating[average], genres[driving/racing, sport], player_perspective[first person])","I'm curious, why is it that you find first person sport racing games not very entertaining to you?"
"request_explanation(developer[Codemasters Southam], rating[average], platforms[PlayStation])",Why do you think that the PlayStation releases from Codemasters Southam are just mediocre?
"request_explanation(developer[Codemasters Southam], rating[average], platforms[PlayStation])",What would you say makes Codemasters Southam's PlayStation games nothing more than average?
"request_explanation(esrb[E (for Everyone)], rating[good], genres[adventure, platformer, puzzle])",What is it about E rated adventure puzzle platformers that makes you like them?
"request_explanation(esrb[E (for Everyone)], rating[good], genres[adventure, platformer, puzzle])",What is it that you enjoy about E rated adventure puzzle platformer games?
"request_explanation(rating[good], genres[driving/racing, simulation, sport], platforms[PlayStation])","I'm curious, why do you enjoy sport racing simulators on the PlayStation?"
"request_explanation(rating[good], genres[driving/racing, simulation, sport], platforms[PlayStation])",What makes sport racing simulation games fun on PlayStation?
"request_explanation(developer[Tarsier Studios], rating[good], platforms[PlayStation])",Why do you think you like Tarsier Studios' PlayStation games?
"request_explanation(developer[Tarsier Studios], rating[good], platforms[PlayStation])",So what is it about Tarsier Studios' PlayStation lineup of games that makes you enjoy them?
"request_explanation(rating[excellent], genres[shooter], player_perspective[first person])",How did you acquire such love for first person shooters?
"request_explanation(rating[excellent], genres[shooter], player_perspective[first person])",So what is it about first person shooters that makes you rave about how much you love them?
"request_explanation(developer[Valve Corporation], rating[excellent], has_multiplayer[no])",What is it about single-player games made by Valve Corporation that you find so attractive?
"request_explanation(developer[Valve Corporation], rating[excellent], has_multiplayer[no])",What makes you adore Valve Corporation's single-player games like do?
"request_explanation(developer[Ninja Theory], rating[excellent], player_perspective[third person])",Why are the third person games made by Ninja Theory some of your favorite games ever?
"request_explanation(developer[Ninja Theory], rating[excellent], player_perspective[third person])",What's so excellent about Ninja Theory's third person games?
"request_explanation(rating[excellent], player_perspective[third person], has_multiplayer[yes])",What is it about third person games with multiplayer that makes you rave about how awesome they are?
"request_explanation(rating[excellent], player_perspective[third person], has_multiplayer[yes])",I can't help but wonder why you like third person multiplayer games so much.
"request_explanation(developer[Illusion Softworks], rating[excellent], platforms[Xbox])","I'm really curious now, what is it about the Xbox games made by Illusion Softworks that makes you think they're so amazing?"
"request_explanation(developer[Illusion Softworks], rating[excellent], platforms[Xbox])",What do you think makes Illusion Softworks Xbox games so amazing?
"request_explanation(rating[average], player_perspective[first person], platforms[PC])",What is it about first person PC games that makes you say they're mostly just average?
"request_explanation(rating[average], player_perspective[first person], platforms[PC])",Why do you think PC games with a first person view are not so good?
"request_explanation(developer[MicroProse], rating[good], genres[simulation, strategy])",What elements in MicroProse's simulation strategy games make them good in your opinion?
"request_explanation(developer[MicroProse], rating[good], genres[simulation, strategy])",Why do you think you enjoy MicroProse's simulation strategy games?
"request_explanation(esrb[E (for Everyone)], rating[average], genres[action, strategy])",What is it about E rated action strategy games that leaves you lukewarm?
"request_explanation(esrb[E (for Everyone)], rating[average], genres[action, strategy])",Why do you think that E rated action strategy games tend to be merely okay in your view?
"request_explanation(rating[good], genres[driving/racing, simulation, sport], player_perspective[third person])",Why do you like a third person perspective in sport racing simulators?
"request_explanation(rating[good], genres[driving/racing, simulation, sport], player_perspective[third person])",How come you prefer sport racing sim games with a third person view?
"request_explanation(developer[Square], rating[excellent], player_perspective[third person])",Why do you feel that the third person games made by Square are excellent?
"request_explanation(developer[Square], rating[excellent], player_perspective[third person])",What is it about third person games from Square that you love?
"request_explanation(rating[average], genres[driving/racing, sport], platforms[PlayStation])",What is it about the sport racing games released for the PlayStation that makes you feel they're just so-so in quality?
"request_explanation(rating[average], genres[driving/racing, sport], platforms[PlayStation])",Why do you think PlayStation's racing sports games are typically nothing extraordinary?
"request_explanation(release_year[2011], rating[poor], platforms[PlayStation])","I'm curious, what is it about the PlayStation games released in 2011 that you find so distasteful?"
"request_explanation(release_year[2011], rating[poor], platforms[PlayStation])",Why do you think 2011 was such a weak year for PlayStation games?
"request_explanation(developer[Valve Corporation], rating[excellent], platforms[PC])",Why do you think that the PC games made by Valve Corporation are amazing?
"request_explanation(developer[Valve Corporation], rating[excellent], platforms[PC])",Why do you find Valve Corporation's PC games to be top tier?
"request_explanation(release_year[2002], rating[excellent], platforms[Xbox])",Why is it that you seem to love every Xbox game that came out in 2002?
"request_explanation(release_year[2002], rating[excellent], platforms[Xbox])",What do you think made 2002 such a great year for Xbox games?
"request_explanation(esrb[M (for Mature)], rating[excellent], platforms[Xbox])",Why do you love M rated Xbox games so much?
"request_explanation(esrb[M (for Mature)], rating[excellent], platforms[Xbox])",What do you enjoy so much about M rated Xbox games?
"request_explanation(developer[Neversoft Entertainment], rating[average], platforms[PC])",What is it about Neversoft Entertainment's PC games that you tend to find somewhat dull?
"request_explanation(developer[Neversoft Entertainment], rating[average], platforms[PC])",Why do you think that the PC games made by Neversoft Entertainment are mediocre?
"request_explanation(release_year[2014], rating[good], platforms[PlayStation])",What's so good about PlayStation games from 2014 in your opinion?
"request_explanation(release_year[2014], rating[good], platforms[PlayStation])",I wonder what it is that made 2014 PlayStation games overall good in your opinion.
"request_explanation(release_year[2010], developer[Firaxis Games], rating[good])",What do you enjoy about Firaxis Games' 2010 catalog?
"request_explanation(release_year[2010], developer[Firaxis Games], rating[good])",Why do you think that the games Firaxis Games released in 2010 are pretty fun?
"request_explanation(developer[Slightly Mad Studios], rating[average], genres[driving/racing, simulation])",What is it about Slightly Mad Studios' driving/racing simulation games that leaves you unimpressed?
"request_explanation(developer[Slightly Mad Studios], rating[average], genres[driving/racing, simulation])",What is it about the driving/racing simulators made by Slightly Mad Studios that you find mediocre?
"request_explanation(rating[good], genres[simulation, strategy], player_perspective[bird view])",What in particular do you enjoy about bird's eye view strategy sim games?
"request_explanation(rating[good], genres[simulation, strategy], player_perspective[bird view])",Would you mind sharing with me why you enjoy playing bird's eye view strategy simulators?
"request_explanation(esrb[E 10+ (for Everyone 10 and Older)], rating[good], has_mac_release[yes])",Why is it you always seem to have fun playing E 10+ games that are available on Mac?
"request_explanation(esrb[E 10+ (for Everyone 10 and Older)], rating[good], has_mac_release[yes])","So I wonder, why is that games rated E 10+ often make it to your repertoire, especially when available on Mac?"
"request_explanation(developer[MicroProse], rating[good], platforms[Xbox])",What do you think makes MicroProse's Xbox games as good as they are?
"request_explanation(developer[MicroProse], rating[good], platforms[Xbox])",What is it about the Xbox games developed by MicroProse that makes you enjoy them?
"request_explanation(developer[Hudson Soft], rating[average], player_perspective[bird view])",What is it about the bird view perspective games made by Hudson Soft that makes you find them to be neither good nor terrible?
"request_explanation(developer[Hudson Soft], rating[average], player_perspective[bird view])",Why are you unenthused by Hudson Soft's bird view games?
"request_explanation(release_year[2004], esrb[M (for Mature)], rating[excellent])",What is it about the M rated games released in 2004 that makes them some of your all-time favorites?
