name,release_year,exp_release_date,developer,esrb,rating,genres,player_perspective,has_multiplayer,platforms,available_on_steam,has_linux_release,has_mac_release
,Year: <b>2017</b>,,Developer: <b>Tarsier Studios</b>,ESRB content rating: <b>E (for Everyone)</b>,Liking: <b>good</b>,"Genres: <b>adventure, platformer, puzzle</b>",Player perspective: <b>side view</b>,Has multiplayer: <b>no</b>,Platform: <b>PlayStation</b>,,,
,Year: <b>2015</b>,,Developer: <b>Bloober Team</b>,ESRB content rating: <b>M (for Mature)</b>,Liking: <b>poor</b>,"Genres: <b>adventure, indie, point-and-click</b>",Player perspective: <b>first person</b>,Has multiplayer: <b>no</b>,Platform: <b>Xbox</b>,,,
,Year: <b>2010</b>,,Developer: <b>Days of Wonder</b>,,Liking: <b>poor</b>,"Genres: <b>indie, trivia/board game</b>",,Has multiplayer: <b>yes</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>yes</b>,Has a Mac release: <b>yes</b>
,Year: <b>2009</b>,,Developer: <b>Ubisoft Montreal</b>,ESRB content rating: <b>M (for Mature)</b>,Liking: <b>good</b>,"Genres: <b>action-adventure, platformer</b>",Player perspective: <b>third person</b>,Has multiplayer: <b>no</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>no</b>,Has a Mac release: <b>yes</b>
,Year: <b>1999</b>,,Developer: <b>Attention To Detail</b>,ESRB content rating: <b>E (for Everyone)</b>,Liking: <b>average</b>,"Genres: <b>action, driving/racing</b>",Player perspective: <b>third person</b>,Has multiplayer: <b>yes</b>,Platform: <b>PlayStation</b>,,,
,Year: <b>2013</b>,,Developer: <b>Telltale Games</b>,ESRB content rating: <b>M (for Mature)</b>,Liking: <b>good</b>,"Genres: <b>adventure, point-and-click</b>",Player perspective: <b>third person</b>,Has multiplayer: <b>no</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>no</b>,Has a Mac release: <b>yes</b>
,Year: <b>2015</b>,,Developer: <b>Visual Concepts</b>,ESRB content rating: <b>E 10+ (for Everyone 10 and Older)</b>,Liking: <b>good</b>,Genres: <b>sport</b>,Player perspective: <b>third person</b>,Has multiplayer: <b>yes</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>no</b>,Has a Mac release: <b>no</b>
,Year: <b>2004</b>,,Developer: <b>Valve Corporation</b>,ESRB content rating: <b>M (for Mature)</b>,Liking: <b>excellent</b>,Genres: <b>shooter</b>,Player perspective: <b>first person</b>,Has multiplayer: <b>no</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>yes</b>,Has a Mac release: <b>yes</b>
,Year: <b>2018</b>,,Developer: <b>SIE Santa Monica Studio</b>,ESRB content rating: <b>M (for Mature)</b>,Liking: <b>excellent</b>,"Genres: <b>action-adventure, platformer, role-playing</b>",Player perspective: <b>third person</b>,Has multiplayer: <b>no</b>,Platform: <b>PlayStation</b>,,,
,Year: <b>2005</b>,,Developer: <b>Capcom Production Studio 4</b>,ESRB content rating: <b>M (for Mature)</b>,Liking: <b>excellent</b>,"Genres: <b>action-adventure, shooter</b>",Player perspective: <b>third person</b>,Has multiplayer: <b>no</b>,Platform: <b>Nintendo</b>,,,
