name,release_year,exp_release_date,developer,esrb,rating,genres,player_perspective,has_multiplayer,platforms,available_on_steam,has_linux_release,has_mac_release
<b>Anthem</b>,,"Expected release date: <b>February 22, 2020</b>",Developer: <b>BioWare</b>,,,"Genres: <b>action-adventure, role-playing, shooter</b>",Player perspective: <b>third person</b>,Has multiplayer: <b>yes</b>,Platform: <b>PlayStation</b>,,,
<b>Tomb Raider: The Angel of Darkness</b>,Year: <b>2003</b>,,Developer: <b>Core Design</b>,ESRB content rating: <b>T (for Teen)</b>,,"Genres: <b>action-adventure, shooter</b>",Player perspective: <b>third person</b>,Has multiplayer: <b>no</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>no</b>,Has a Mac release: <b>yes</b>
<b>Worms: Reloaded</b>,Year: <b>2010</b>,,Developer: <b>Team17 Digital Ltd</b>,ESRB content rating: <b>E 10+ (for Everyone 10 and Older)</b>,,"Genres: <b>action, platformer, strategy</b>",Player perspective: <b>side view</b>,Has multiplayer: <b>yes</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>yes</b>,Has a Mac release: <b>yes</b>
<b>Shadow of the Tomb Raider</b>,,"Expected release date: <b>September 14, 2019</b>",Developer: <b>Eidos Montréal</b>,,,"Genres: <b>adventure, shooter</b>",Player perspective: <b>third person</b>,,Platform: <b>Xbox</b>,,,
<b>Hellblade: Senua's Sacrifice</b>,Year: <b>2017</b>,,Developer: <b>Ninja Theory</b>,ESRB content rating: <b>M (for Mature)</b>,,"Genres: <b>adventure, hack-and-slash, indie</b>",Player perspective: <b>third person</b>,Has multiplayer: <b>no</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>no</b>,Has a Mac release: <b>no</b>
<b>FIFA 12</b>,Year: <b>2011</b>,,Developer: <b>EA Canada</b>,ESRB content rating: <b>E (for Everyone)</b>,,"Genres: <b>simulation, sport</b>",Player perspective: <b>bird view</b>,Has multiplayer: <b>yes</b>,Platform: <b>Nintendo</b>,,,
<b>Might & Magic: Heroes VI</b>,Year: <b>2011</b>,,Developer: <b>Black Hole Entertainment</b>,ESRB content rating: <b>T (for Teen)</b>,,"Genres: <b>role-playing, turn-based strategy</b>",Player perspective: <b>bird view</b>,Has multiplayer: <b>yes</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>no</b>,Has a Mac release: <b>no</b>
<b>Undertale</b>,Year: <b>2015</b>,,Developer: <b>tobyfox</b>,ESRB content rating: <b>E (for Everyone)</b>,,"Genres: <b>adventure, indie, role-playing</b>",Player perspective: <b>bird view</b>,Has multiplayer: <b>no</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>yes</b>,Has a Mac release: <b>yes</b>
<b>BioShock</b>,Year: <b>2007</b>,,Developer: <b>2K Boston</b>,ESRB content rating: <b>M (for Mature)</b>,,"Genres: <b>action-adventure, role-playing, shooter</b>",Player perspective: <b>first person</b>,Has multiplayer: <b>no</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>no</b>,Has a Mac release: <b>yes</b>
<b>The Elder Scrolls Online</b>,Year: <b>2014</b>,,Developer: <b>ZeniMax Online Studios</b>,ESRB content rating: <b>M (for Mature)</b>,,Genres: <b>MMORPG</b>,Player perspective: <b>third person</b>,,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>no</b>,Has a Mac release: <b>yes</b>
