name,release_year,exp_release_date,developer,esrb,rating,genres,player_perspective,has_multiplayer,platforms,available_on_steam,has_linux_release,has_mac_release
<b>Need for Speed: Shift</b>,,,Developer: <b>Slightly Mad Studios</b>,,Liking: <b>average</b>,"Genres: <b>driving/racing, simulation</b>",,,,,,
<b>Need for Speed: Shift</b>,,,,ESRB content rating: <b>E (for Everyone)</b>,Liking: <b>average</b>,,,,Platform: <b>PlayStation</b>,,,
<b>Need for Speed: Shift</b>,,,,,Liking: <b>average</b>,,Player perspective: <b>first person</b>,Has multiplayer: <b>yes</b>,,,,
<b>Need for Speed: Shift</b>,,,Developer: <b>Slightly Mad Studios</b>,,Liking: <b>average</b>,,,Has multiplayer: <b>yes</b>,,,,
<b>Need for Speed: Shift</b>,,,,,Liking: <b>average</b>,"Genres: <b>driving/racing, simulation</b>",Player perspective: <b>first person</b>,,,,,
<b>Call of Duty: Advanced Warfare</b>,,,,,Liking: <b>average</b>,,Player perspective: <b>first person</b>,,Platform: <b>PlayStation</b>,,,
<b>Call of Duty: Advanced Warfare</b>,,,,,Liking: <b>average</b>,"Genres: <b>action, shooter</b>",,Has multiplayer: <b>yes</b>,,,,
<b>Call of Duty: Advanced Warfare</b>,,,Developer: <b>Sledgehammer Games</b>,ESRB content rating: <b>M (for Mature)</b>,Liking: <b>average</b>,,,,,,,
<b>Call of Duty: Advanced Warfare</b>,Year: <b>2014</b>,,,,Liking: <b>average</b>,,Player perspective: <b>first person</b>,,,,,
<b>Call of Duty: Advanced Warfare</b>,,,Developer: <b>Sledgehammer Games</b>,,Liking: <b>average</b>,,,Has multiplayer: <b>yes</b>,,,,
<b>BioShock</b>,,,Developer: <b>2K Boston</b>,ESRB content rating: <b>M (for Mature)</b>,Liking: <b>good</b>,,,,,,,
<b>BioShock</b>,,,,,Liking: <b>good</b>,"Genres: <b>action-adventure, role-playing, shooter</b>",Player perspective: <b>first person</b>,,,,,
<b>BioShock</b>,,,,,Liking: <b>good</b>,,,Has multiplayer: <b>no</b>,,,,Has a Mac release: <b>yes</b>
<b>BioShock</b>,,,,ESRB content rating: <b>M (for Mature)</b>,Liking: <b>good</b>,,,,,Available on Steam: <b>yes</b>,,
<b>BioShock</b>,,,,,Liking: <b>good</b>,,Player perspective: <b>first person</b>,,Platform: <b>PC</b>,,,
<b>The Wolf Among Us</b>,,,Developer: <b>Telltale Games</b>,,Liking: <b>good</b>,"Genres: <b>adventure, point-and-click</b>",,,,,,
