name,release_year,exp_release_date,developer,esrb,rating,genres,player_perspective,has_multiplayer,platforms,available_on_steam,has_linux_release,has_mac_release
<b>Metroid Prime Pinball</b>,,,,,,"Genres: <b>pinball, puzzle</b>",,,,,,
<b>Metroid Prime Pinball</b>,,,Developer: <b>Fuse Games</b>,,,,,,,,,
<b>Metroid Prime Pinball</b>,,,,,,,,,Platform: <b>Nintendo</b>,,,
<b>Metroid Prime Pinball</b>,,,,ESRB content rating: <b>E (for Everyone)</b>,,,,,,,,
<b>Metroid Prime Pinball</b>,,,,,,,,Has multiplayer: <b>yes</b>,,,,
<b>The Forest of Doom</b>,,,,,,"Genres: <b>role-playing, text adventure</b>",,,,,,
<b>The Forest of Doom</b>,,,,,,,,,Platform: <b>PC</b>,,,
<b>The Forest of Doom</b>,,,,,,,,,,,,Has a Mac release: <b>yes</b>
<b>The Forest of Doom</b>,,,,,,,,,,Available on Steam: <b>yes</b>,,
<b>The Forest of Doom</b>,,,Developer: <b>Tin Man Games</b>,,,,,,,,,
<b>The Witcher 3: Wild Hunt</b>,,,,ESRB content rating: <b>M (for Mature)</b>,,,,,,,,
<b>The Witcher 3: Wild Hunt</b>,,,,,,,,,Platform: <b>Xbox</b>,,,
<b>The Witcher 3: Wild Hunt</b>,,,,,,,Player perspective: <b>third person</b>,,,,,
<b>The Witcher 3: Wild Hunt</b>,,,Developer: <b>CD Projekt RED</b>,,,,,,,,,
<b>The Witcher 3: Wild Hunt</b>,,,,,,"Genres: <b>action-adventure, role-playing</b>",,,,,,
<b>Transport Tycoon</b>,,,,,,"Genres: <b>simulation, strategy</b>",,,,,,
<b>Transport Tycoon</b>,,,Developer: <b>Chris Sawyer</b>,,,,,,,,,
<b>Transport Tycoon</b>,,,,,,,,,,Available on Steam: <b>no</b>,,
<b>Transport Tycoon</b>,Year: <b>1994</b>,,,,,,,,,,,
<b>Transport Tycoon</b>,,,,,,,,Has multiplayer: <b>no</b>,,,,
<b>Madden NFL 15</b>,,,,,,"Genres: <b>simulation, sport</b>",,,,,,
<b>Madden NFL 15</b>,,,,,,,Player perspective: <b>third person</b>,,,,,
<b>Madden NFL 15</b>,,,,,,,,,Platform: <b>PlayStation</b>,,,
<b>Madden NFL 15</b>,Year: <b>2014</b>,,,,,,,,,,,
<b>Madden NFL 15</b>,,,Developer: <b>EA Tiburon</b>,,,,,,,,,
<b>NBA 2K16</b>,,,,,,,,Has multiplayer: <b>yes</b>,,,,
<b>NBA 2K16</b>,,,,,,,Player perspective: <b>third person</b>,,,,,
<b>NBA 2K16</b>,,,Developer: <b>Visual Concepts</b>,,,,,,,,,
<b>NBA 2K16</b>,,,,,,,,,,Available on Steam: <b>yes</b>,,
<b>NBA 2K16</b>,Year: <b>2015</b>,,,,,,,,,,,
<b>Sid Meier's Civilization V</b>,Year: <b>2010</b>,,,,,,,,,,,
<b>Sid Meier's Civilization V</b>,,,,,,,,,,,,Has a Mac release: <b>yes</b>
<b>Sid Meier's Civilization V</b>,,,Developer: <b>Firaxis Games</b>,,,,,,,,,
<b>Sid Meier's Civilization V</b>,,,,,,,Player perspective: <b>bird view</b>,,,,,
<b>Sid Meier's Civilization V</b>,,,,,,,,,,Available on Steam: <b>yes</b>,,
<b>Never Alone</b>,,,,,,,,,Platform: <b>PlayStation</b>,,,
<b>Never Alone</b>,,,,,,,Player perspective: <b>side view</b>,,,,,
<b>Never Alone</b>,,,,ESRB content rating: <b>T (for Teen)</b>,,,,,,,,
<b>Never Alone</b>,,,,,,"Genres: <b>adventure, indie, platformer</b>",,,,,,
<b>Never Alone</b>,,,,,,,,Has multiplayer: <b>yes</b>,,,,
<b>Need for Speed: The Run</b>,,,,,,,,,Platform: <b>Xbox</b>,,,
<b>Need for Speed: The Run</b>,,,,,,,,Has multiplayer: <b>yes</b>,,,,
<b>Need for Speed: The Run</b>,,,,,,,Player perspective: <b>first person</b>,,,,,
<b>Need for Speed: The Run</b>,,,,ESRB content rating: <b>T (for Teen)</b>,,,,,,,,
<b>Need for Speed: The Run</b>,Year: <b>2011</b>,,,,,,,,,,,
<b>The Wolf Among Us</b>,,,,,,,,,Platform: <b>PC</b>,,,
<b>The Wolf Among Us</b>,,,,,,,,,,Available on Steam: <b>yes</b>,,
<b>The Wolf Among Us</b>,,,Developer: <b>Telltale Games</b>,,,,,,,,,
<b>The Wolf Among Us</b>,,,,ESRB content rating: <b>M (for Mature)</b>,,,,,,,,
<b>The Wolf Among Us</b>,,,,,,,Player perspective: <b>third person</b>,,,,,
