name,release_year,exp_release_date,developer,esrb,rating,genres,player_perspective,has_multiplayer,platforms,available_on_steam,has_linux_release,has_mac_release
<b>Undertale</b>,Year: <b>2015</b>,,,,,"Genres: <b>adventure, indie, role-playing</b>",,,,,,
<b>Super Mario World</b>,,,Developer: <b>Nintendo EAD</b>,,,,,,Platform: <b>Nintendo</b>,,,
<b>Super Mario World</b>,,,,ESRB content rating: <b>E (for Everyone)</b>,,,,Has multiplayer: <b>yes</b>,,,,
<b>Crysis</b>,,,Developer: <b>Crytek Frankfurt</b>,,,,Player perspective: <b>first person</b>,,,,,
<b>Stronghold 2</b>,Year: <b>2005</b>,,,,,"Genres: <b>real-time strategy, simulation</b>",,,,,,
<b>Stronghold 2</b>,,,,,,,,Has multiplayer: <b>yes</b>,Platform: <b>PC</b>,,,
<b>RollerCoaster Tycoon</b>,,,,,,"Genres: <b>simulation, strategy</b>",,,Platform: <b>PC</b>,,,
<b>RollerCoaster Tycoon</b>,,,,,,"Genres: <b>simulation, strategy</b>",Player perspective: <b>bird view</b>,,,,,
<b>RollerCoaster Tycoon</b>,,,Developer: <b>MicroProse</b>,,,,,,Platform: <b>PC</b>,,,
<b>Portal 2</b>,,,Developer: <b>Valve Corporation</b>,,,,,Has multiplayer: <b>yes</b>,,,,
<b>Need for Speed: Most Wanted</b>,,,,ESRB content rating: <b>T (for Teen)</b>,,,Player perspective: <b>first person</b>,,,,,
<b>The Wolf Among Us</b>,,,,,,"Genres: <b>adventure, point-and-click</b>",,,,Available on Steam: <b>yes</b>,,
<b>F1 2014</b>,,,,,,"Genres: <b>driving/racing, simulation, sport</b>",,Has multiplayer: <b>yes</b>,,,,
<b>F1 2014</b>,,,,,,"Genres: <b>driving/racing, simulation, sport</b>",Player perspective: <b>third person</b>,,,,,
<b>Super Bomberman</b>,,,,,,"Genres: <b>action, strategy</b>",Player perspective: <b>bird view</b>,,,,,
<b>Super Bomberman</b>,Year: <b>1993</b>,,,,,,,,Platform: <b>PC</b>,,,
<b>Super Bomberman</b>,,,,ESRB content rating: <b>E (for Everyone)</b>,,,,,Platform: <b>PC</b>,,,
<b>Age of Empires II: The Age of Kings</b>,,,Developer: <b>Ensemble Studios</b>,,,Genres: <b>real-time strategy</b>,,,,,,
<b>Age of Empires II: The Age of Kings</b>,Year: <b>1999</b>,,Developer: <b>Ensemble Studios</b>,,,,,,,,,
<b>Assetto Corsa</b>,,,Developer: <b>Kunos Simulazioni</b>,,,,Player perspective: <b>first person</b>,,,,,
<b>The Legend of Zelda: Ocarina of Time</b>,,,Developer: <b>Nintendo EAD</b>,,,,,Has multiplayer: <b>no</b>,,,,
<b>The Legend of Zelda: Ocarina of Time</b>,Year: <b>1998</b>,,,,,,Player perspective: <b>third person</b>,,,,,
<b>Resident Evil 4</b>,,,,,,"Genres: <b>action-adventure, shooter</b>",,,Platform: <b>Nintendo</b>,,,
<b>Call of Duty: Advanced Warfare</b>,Year: <b>2014</b>,,Developer: <b>Sledgehammer Games</b>,,,,,,,,,
<b>Tony Hawk's Pro Skater 3</b>,,,Developer: <b>Neversoft Entertainment</b>,,,,,Has multiplayer: <b>yes</b>,,,,
<b>Tony Hawk's Pro Skater 3</b>,,,,ESRB content rating: <b>T (for Teen)</b>,,,,,Platform: <b>Xbox</b>,,,
<b>Tony Hawk's Pro Skater 3</b>,Year: <b>2001</b>,,,,,Genres: <b>sport</b>,,,,,,
