name,release_year,exp_release_date,developer,esrb,rating,genres,player_perspective,has_multiplayer,platforms,available_on_steam,has_linux_release,has_mac_release,specifier
,,,,,,Genres: <b>action-adventure</b>,,,,,,,Specifier: <b>easy</b>
,Year: <b>2018</b>,,,,,,,,,,,,Specifier: <b>long</b>
,,,,,,,,,Platform: <b>PlayStation</b>,,,,Specifier: <b>stunning</b>
,,,Developer: <b>Hazelight Studios</b>,,,,,,,,,,Specifier: <b>classic</b>
,,,,,,,Player perspective: <b>third person</b>,,,,,,Specifier: <b>smart</b>
,,,Developer: <b>Rockstar North</b>,,,,,,,,,,Specifier: <b>offensive</b>
,,,,ESRB content rating: <b>M (for Mature)</b>,,,,,,,,,Specifier: <b>gritty</b>
,,,,,,,,,Platform: <b>Xbox</b>,,,,Specifier: <b>easiest</b>
,,,,,,,Player perspective: <b>first person</b>,,,,,,Specifier: <b>oldest</b>
,Year: <b>2013</b>,,,,,,,,,,,,Specifier: <b>longest</b>
,,,Developer: <b>Nintendo EAD</b>,,,,,,,,,,Specifier: <b>classic</b>
,,,,,,,,Has multiplayer: <b>yes</b>,,,,,Specifier: <b>interesting</b>
,Year: <b>1990</b>,,,,,,,,,,,,Specifier: <b>challenging</b>
,,,,,,,Player perspective: <b>side view</b>,,,,,,Specifier: <b>easy</b>
,,,,,,Genres: <b>platformer</b>,,,,,,,Specifier: <b>elaborate</b>
,,,,,,,,,Platform: <b>PC</b>,,,,Specifier: <b>immersive</b>
,Year: <b>2014</b>,,,,,,,,,,,,Specifier: <b>terrible</b>
,,,,,,"Genres: <b>adventure, indie</b>",,,,,,,Specifier: <b>short</b>
,,,,,,,,Has multiplayer: <b>no</b>,,,,,Specifier: <b>epic</b>
,,,,,,,,,,,Has a Linux release: <b>no</b>,,Specifier: <b>cheap</b>
,,,Developer: <b>Bloober Team</b>,,,,,,,,,,Specifier: <b>silliest</b>
,,,,,,,,,Platform: <b>PC</b>,,,,Specifier: <b>expensive</b>
,,,,,,"Genres: <b>adventure, indie, point-and-click</b>",,,,,,,Specifier: <b>shortest</b>
,,,,ESRB content rating: <b>M (for Mature)</b>,,,,,,,,,Specifier: <b>unpleasant</b>
,,,,,,,Player perspective: <b>first person</b>,,,,,,Specifier: <b>realistic</b>
,,,,ESRB content rating: <b>E (for Everyone)</b>,,,,,,,,,Specifier: <b>goofy</b>
,,,,,,,,,,Available on Steam: <b>yes</b>,,,Specifier: <b>ugliest</b>
,,,,,,,,,,,Has a Linux release: <b>no</b>,,Specifier: <b>favorite</b>
,,,,,,,,,Platform: <b>PC</b>,,,,Specifier: <b>quirky</b>
,,,Developer: <b>SCS Software</b>,,,,,,,,,,Specifier: <b>famous</b>
,,,,,,,,Has multiplayer: <b>yes</b>,,,,,Specifier: <b>dull</b>
,Year: <b>2014</b>,,,,,,,,,,,,Specifier: <b>disappointing</b>
