request(genres[action-adventure], specifier[easy])
request(release_year[2018], specifier[long])
request(platforms[PlayStation], specifier[stunning])
request(developer[Hazelight Studios], specifier[classic])
request(player_perspective[third person], specifier[smart])
request(developer[Rockstar North], specifier[offensive])
request(esrb[M (for Mature)], specifier[gritty])
request(platforms[Xbox], specifier[easiest])
request(player_perspective[first person], specifier[oldest])
request(release_year[2013], specifier[longest])
request(developer[Nintendo EAD], specifier[classic])
request(has_multiplayer[yes], specifier[interesting])
request(release_year[1990], specifier[challenging])
request(player_perspective[side view], specifier[easy])
request(genres[platformer], specifier[elaborate])
request(platforms[PC], specifier[immersive])
request(release_year[2014], specifier[terrible])
request(genres[adventure, indie], specifier[short])
request(has_multiplayer[no], specifier[epic])
request(has_linux_release[no], specifier[cheap])
request(developer[Bloober Team], specifier[silliest])
request(platforms[PC], specifier[expensive])
request(genres[adventure, indie, point-and-click], specifier[shortest])
request(esrb[M (for Mature)], specifier[unpleasant])
request(player_perspective[first person], specifier[realistic])
request(esrb[E (for Everyone)], specifier[goofy])
request(available_on_steam[yes], specifier[ugliest])
request(has_linux_release[no], specifier[favorite])
request(platforms[PC], specifier[quirky])
request(developer[SCS Software], specifier[famous])
request(has_multiplayer[yes], specifier[dull])
request(release_year[2014], specifier[disappointing])
request(platforms[PlayStation], specifier[revolting])
request(genres[simulation, sport], specifier[simple])
request(esrb[E 10+ (for Everyone 10 and Older)], specifier[soothing])
request(developer[Tin Man Games], specifier[boring])
request(genres[role-playing, text adventure], specifier[shortest])
request(has_mac_release[yes], specifier[addictive])
request(platforms[PC], specifier[funky])
request(has_linux_release[yes], specifier[frightening])
request(platforms[Nintendo Switch], specifier[great looking])
request(developer[Overkill Software], specifier[empowering])
request(release_year[2013], specifier[spectacular])
request(player_perspective[first person], specifier[absorbing])
request(genres[role-playing, shooter], specifier[well balanced])
request(developer[Valve Corporation], specifier[funny])
request(player_perspective[first person], specifier[colorful])
request(esrb[E 10+ (for Everyone 10 and Older)], specifier[frightening])
request(available_on_steam[yes], specifier[cheap])
request(release_year[2011], specifier[unusual])
request(genres[sport], specifier[in-depth])
request(platforms[Xbox], specifier[brand new])
request(developer[Neversoft Entertainment], specifier[other])
request(release_year[2001], specifier[broken])
request(esrb[T (for Teen)], specifier[scary])
request(platforms[PlayStation], specifier[weirdest])
request(has_multiplayer[yes], specifier[addictive])
request(esrb[E (for Everyone)], specifier[other])
request(release_year[2014], specifier[favorite])
request(genres[driving/racing, simulation, sport], specifier[exciting])
request(platforms[PlayStation], specifier[hardest])
request(genres[shooter], specifier[confusing])
request(release_year[2004], specifier[fascinating])
request(esrb[M (for Mature)], specifier[tearjerking])
request(player_perspective[first person], specifier[nauseating])
request(platforms[PC], specifier[scary])
request(genres[real-time strategy, simulation], specifier[other])
request(available_on_steam[yes], specifier[latest])
request(developer[Firefly Studios], specifier[upcoming])
request(release_year[2005], specifier[underrated])
request(platforms[Xbox], specifier[complex])
request(player_perspective[bird view], specifier[calming])
request(release_year[2011], specifier[best looking])
request(developer[EA Canada], specifier[favorite])
request(genres[simulation, sport], specifier[poorly balanced])
request(developer[Guerrilla Games], specifier[overrated])
request(release_year[2017], specifier[bizarre])
request(platforms[PlayStation], specifier[relaxing])
request(has_multiplayer[no], specifier[lengthy])
request(genres[action-adventure, role-playing, shooter], specifier[gory])
request(platforms[Nintendo], specifier[beautiful])
request(genres[music], specifier[cheerful])
request(player_perspective[first person], specifier[exhilarating])
request(release_year[2009], specifier[other])
request(has_multiplayer[yes], specifier[fast-paced])
request(has_linux_release[no], specifier[other])
request(genres[text adventure], specifier[immersive])
request(has_multiplayer[no], specifier[rewarding])
request(platforms[PC], specifier[quick-to-learn])
request(developer[Red Entertainment Corporation], specifier[newest])
request(available_on_steam[yes], specifier[challenging])
request(player_perspective[side view], specifier[other])
request(platforms[PC], specifier[buggy])
request(release_year[2010], specifier[controversial])
request(genres[action, platformer, strategy], specifier[fun])
request(genres[driving/racing], specifier[complicated])
request(release_year[2017], specifier[unfair])
request(developer[Ghost Games], specifier[exceptional])
request(platforms[PlayStation], specifier[other])
request(player_perspective[third person], specifier[dynamic])
