name,release_year,exp_release_date,developer,esrb,rating,genres,player_perspective,has_multiplayer,platforms,available_on_steam,has_linux_release,has_mac_release
,,,,,Liking: <b>average</b>,"Genres: <b>driving/racing, simulation</b>",Player perspective: <b>first person</b>,,,,,
,,,Developer: <b>Slightly Mad Studios</b>,,Liking: <b>average</b>,,,,Platform: <b>PC</b>,,,
,,,,,Liking: <b>average</b>,"Genres: <b>driving/racing, simulation</b>",,,,Available on Steam: <b>yes</b>,,
,,,,,Liking: <b>average</b>,,Player perspective: <b>first person</b>,,Platform: <b>PC</b>,,,
,,,Developer: <b>Slightly Mad Studios</b>,,Liking: <b>average</b>,"Genres: <b>driving/racing, simulation</b>",,,,,,
,,,,,Liking: <b>poor</b>,Genres: <b>text adventure</b>,,,,Available on Steam: <b>yes</b>,,
,,,Developer: <b>Red Entertainment Corporation</b>,,Liking: <b>poor</b>,,,,Platform: <b>PC</b>,,,
,Year: <b>2017</b>,,,,Liking: <b>poor</b>,Genres: <b>text adventure</b>,,,,,,
,,,,,Liking: <b>poor</b>,,,Has multiplayer: <b>no</b>,Platform: <b>PC</b>,,,
,,,,,Liking: <b>poor</b>,Genres: <b>text adventure</b>,,,Platform: <b>PC</b>,,,
,,,Developer: <b>Ninja Theory</b>,ESRB content rating: <b>M (for Mature)</b>,Liking: <b>excellent</b>,,,,,,,
,,,,,Liking: <b>excellent</b>,"Genres: <b>adventure, hack-and-slash, indie</b>",Player perspective: <b>third person</b>,,,,,
,,,Developer: <b>Ninja Theory</b>,,Liking: <b>excellent</b>,,Player perspective: <b>third person</b>,,,,,
,Year: <b>2017</b>,,,,Liking: <b>excellent</b>,,,,Platform: <b>PC</b>,,,
,,,Developer: <b>Ninja Theory</b>,,Liking: <b>excellent</b>,"Genres: <b>adventure, hack-and-slash, indie</b>",,,,,,
,,,,,Liking: <b>excellent</b>,,Player perspective: <b>third person</b>,,,Available on Steam: <b>yes</b>,,
,,,Developer: <b>Square</b>,,Liking: <b>excellent</b>,,Player perspective: <b>third person</b>,,,,,
,,,,ESRB content rating: <b>T (for Teen)</b>,Liking: <b>excellent</b>,,,Has multiplayer: <b>no</b>,,,,
,,,Developer: <b>Square</b>,,Liking: <b>excellent</b>,,,,Platform: <b>PC</b>,,,
,,,,,Liking: <b>excellent</b>,,,,,,Has a Linux release: <b>no</b>,Has a Mac release: <b>no</b>
,,,Developer: <b>Evolution Studios</b>,,Liking: <b>poor</b>,Genres: <b>vehicular combat</b>,,,,,,
,,,,,Liking: <b>poor</b>,Genres: <b>vehicular combat</b>,,,Platform: <b>PlayStation</b>,,,
,,,Developer: <b>Evolution Studios</b>,,Liking: <b>poor</b>,,,Has multiplayer: <b>yes</b>,,,,
,,,,,Liking: <b>poor</b>,Genres: <b>vehicular combat</b>,Player perspective: <b>third person</b>,,,,,
,Year: <b>2011</b>,,,,Liking: <b>poor</b>,,,,Platform: <b>PlayStation</b>,,,
,,,Developer: <b>Dontnod Entertainment</b>,,Liking: <b>good</b>,,,,Platform: <b>PlayStation</b>,,,
,Year: <b>2015</b>,,,,Liking: <b>good</b>,Genres: <b>role-playing</b>,,,,,,
,,,,,Liking: <b>good</b>,,Player perspective: <b>third person</b>,Has multiplayer: <b>no</b>,,,,
,,,,ESRB content rating: <b>M (for Mature)</b>,Liking: <b>good</b>,Genres: <b>role-playing</b>,,,,,,
,Year: <b>2015</b>,,,,Liking: <b>good</b>,,,,Platform: <b>PlayStation</b>,,,
,,,,,Liking: <b>excellent</b>,"Genres: <b>action-adventure, shooter</b>",Player perspective: <b>third person</b>,,,,,
,,,Developer: <b>Capcom Production Studio 4</b>,,Liking: <b>excellent</b>,,,,Platform: <b>Xbox</b>,,,
,,,,ESRB content rating: <b>M (for Mature)</b>,Liking: <b>excellent</b>,,,,Platform: <b>Xbox</b>,,,
,,,,ESRB content rating: <b>M (for Mature)</b>,Liking: <b>excellent</b>,"Genres: <b>action-adventure, shooter</b>",,,,,,
,,,Developer: <b>Capcom Production Studio 4</b>,,Liking: <b>excellent</b>,,,Has multiplayer: <b>no</b>,,,,
,,,Developer: <b>Valve Corporation</b>,,Liking: <b>excellent</b>,,,,Platform: <b>PC</b>,,,
,,,,,Liking: <b>excellent</b>,,,,,,Has a Linux release: <b>yes</b>,Has a Mac release: <b>yes</b>
,,,,,Liking: <b>excellent</b>,Genres: <b>shooter</b>,Player perspective: <b>first person</b>,,,,,
,,,Developer: <b>Valve Corporation</b>,,Liking: <b>excellent</b>,,,Has multiplayer: <b>no</b>,,,,
,Year: <b>2004</b>,,,ESRB content rating: <b>M (for Mature)</b>,Liking: <b>excellent</b>,,,,,,,
,,,,,Liking: <b>good</b>,,Player perspective: <b>bird view</b>,Has multiplayer: <b>yes</b>,,,,
,,,,,Liking: <b>good</b>,"Genres: <b>simulation, turn-based strategy</b>",,,Platform: <b>PC</b>,,,
,Year: <b>2010</b>,,Developer: <b>Firaxis Games</b>,,Liking: <b>good</b>,,,,,,,
,,,,ESRB content rating: <b>E 10+ (for Everyone 10 and Older)</b>,Liking: <b>good</b>,,,,,,,Has a Mac release: <b>yes</b>
,,,,,Liking: <b>good</b>,,,Has multiplayer: <b>yes</b>,,Available on Steam: <b>yes</b>,,
,,,,,Liking: <b>average</b>,"Genres: <b>driving/racing, sport</b>",,,Platform: <b>PlayStation</b>,,,
,,,Developer: <b>Codemasters Southam</b>,,Liking: <b>average</b>,,,,Platform: <b>PlayStation</b>,,,
