name,release_year,exp_release_date,developer,esrb,rating,genres,player_perspective,has_multiplayer,platforms,available_on_steam,has_linux_release,has_mac_release
<b>Metro 2033</b>,,,,ESRB content rating: <b>M (for Mature)</b>,,"Genres: <b>action, role-playing, shooter</b>",,,,,,
<b>Metro 2033</b>,,,Developer: <b>4A Games</b>,,,,,,Platform: <b>Xbox</b>,,,
<b>Metro 2033</b>,Year: <b>2010</b>,,,,,,,,Platform: <b>Xbox</b>,,,
<b>Metro 2033</b>,,,,,,"Genres: <b>action, role-playing, shooter</b>",,Has multiplayer: <b>no</b>,,,,
<b>Metro 2033</b>,Year: <b>2010</b>,,Developer: <b>4A Games</b>,,,,,,,,,
<b>Small World 2</b>,Year: <b>2010</b>,,Developer: <b>Days of Wonder</b>,,,,,,,,,
<b>Small World 2</b>,,,,,,"Genres: <b>indie, trivia/board game</b>",,Has multiplayer: <b>yes</b>,,,,
<b>Small World 2</b>,,,,,,"Genres: <b>indie, trivia/board game</b>",,,Platform: <b>PC</b>,,,
<b>Small World 2</b>,Year: <b>2010</b>,,,,,,,Has multiplayer: <b>yes</b>,,,,
<b>Small World 2</b>,,,Developer: <b>Days of Wonder</b>,,,,,,Platform: <b>PC</b>,,,
<b>The Sims</b>,Year: <b>2000</b>,,Developer: <b>Maxis</b>,,,,,,,,,
<b>The Sims</b>,,,,,,"Genres: <b>simulation, strategy</b>",,,Platform: <b>PC</b>,,,
<b>The Sims</b>,,,,ESRB content rating: <b>T (for Teen)</b>,,,Player perspective: <b>bird view</b>,,,,,
<b>The Sims</b>,,,,,,,,,Platform: <b>PC</b>,Available on Steam: <b>no</b>,,
<b>The Sims</b>,Year: <b>2000</b>,,,ESRB content rating: <b>T (for Teen)</b>,,,,,,,,
<b>Worms: Reloaded</b>,Year: <b>2010</b>,,,,,,,,Platform: <b>PC</b>,,,
<b>Worms: Reloaded</b>,,,,,,"Genres: <b>action, platformer, strategy</b>",Player perspective: <b>side view</b>,,,,,
<b>Worms: Reloaded</b>,,,Developer: <b>Team17 Digital Ltd</b>,,,,,,,Available on Steam: <b>yes</b>,,
<b>Worms: Reloaded</b>,,,,,,,Player perspective: <b>side view</b>,Has multiplayer: <b>yes</b>,,,,
<b>Worms: Reloaded</b>,,,,ESRB content rating: <b>E 10+ (for Everyone 10 and Older)</b>,,"Genres: <b>action, platformer, strategy</b>",,,,,,
<b>Rocket League</b>,,,,,,"Genres: <b>sport, vehicular combat</b>",Player perspective: <b>third person</b>,,,,,
<b>Rocket League</b>,Year: <b>2015</b>,,Developer: <b>Psyonix</b>,,,,,,,,,
<b>Rocket League</b>,,,,ESRB content rating: <b>E (for Everyone)</b>,,,,,Platform: <b>Xbox</b>,,,
<b>Rocket League</b>,Year: <b>2015</b>,,,,,,,Has multiplayer: <b>yes</b>,,,,
<b>Rocket League</b>,,,,ESRB content rating: <b>E (for Everyone)</b>,,"Genres: <b>sport, vehicular combat</b>",,,,,,
<b>Super Bomberman</b>,,,,,,"Genres: <b>action, strategy</b>",,,Platform: <b>Nintendo</b>,,,
<b>Super Bomberman</b>,Year: <b>1993</b>,,Developer: <b>Hudson Soft</b>,,,,,,,,,
<b>Super Bomberman</b>,,,,ESRB content rating: <b>E (for Everyone)</b>,,,Player perspective: <b>bird view</b>,,,,,
<b>Super Bomberman</b>,,,,,,,Player perspective: <b>bird view</b>,Has multiplayer: <b>no</b>,,,,
<b>Super Bomberman</b>,Year: <b>1993</b>,,,ESRB content rating: <b>E (for Everyone)</b>,,,,,,,,
<b>MotorStorm: Apocalypse</b>,,,,,,Genres: <b>vehicular combat</b>,,,Platform: <b>PlayStation</b>,,,
<b>MotorStorm: Apocalypse</b>,,,,,,Genres: <b>vehicular combat</b>,,Has multiplayer: <b>yes</b>,,,,
<b>MotorStorm: Apocalypse</b>,,,Developer: <b>Evolution Studios</b>,,,,Player perspective: <b>third person</b>,,,,,
<b>MotorStorm: Apocalypse</b>,,,,,,Genres: <b>vehicular combat</b>,Player perspective: <b>third person</b>,,,,,
<b>MotorStorm: Apocalypse</b>,Year: <b>2011</b>,,,,,,,,Platform: <b>PlayStation</b>,,,
<b>Undertale</b>,Year: <b>2015</b>,,Developer: <b>tobyfox</b>,,,,,,,,,
<b>Undertale</b>,,,,,,"Genres: <b>adventure, indie, role-playing</b>",Player perspective: <b>bird view</b>,,,,,
<b>Undertale</b>,Year: <b>2015</b>,,,,,,,,Platform: <b>PlayStation</b>,,,
<b>Undertale</b>,,,,,,"Genres: <b>adventure, indie, role-playing</b>",,Has multiplayer: <b>no</b>,,,,
<b>Undertale</b>,,,Developer: <b>tobyfox</b>,,,,,Has multiplayer: <b>no</b>,,,,
<b>The Witcher 3: Wild Hunt</b>,Year: <b>2015</b>,,Developer: <b>CD Projekt RED</b>,,,,,,,,,
<b>The Witcher 3: Wild Hunt</b>,,,,,,"Genres: <b>action-adventure, role-playing</b>",Player perspective: <b>third person</b>,,,,,
<b>The Witcher 3: Wild Hunt</b>,,,,ESRB content rating: <b>M (for Mature)</b>,,,,,Platform: <b>Xbox</b>,,,
<b>The Witcher 3: Wild Hunt</b>,,,Developer: <b>CD Projekt RED</b>,,,,,,Platform: <b>Xbox</b>,,,
<b>The Witcher 3: Wild Hunt</b>,Year: <b>2015</b>,,,ESRB content rating: <b>M (for Mature)</b>,,,,,,,,
<b>NBA 2K16</b>,Year: <b>2015</b>,,Developer: <b>Visual Concepts</b>,,,,,,,,,
<b>NBA 2K16</b>,,,,ESRB content rating: <b>E 10+ (for Everyone 10 and Older)</b>,,Genres: <b>sport</b>,,,,,,
<b>NBA 2K16</b>,,,,,,,Player perspective: <b>third person</b>,,Platform: <b>PlayStation</b>,,,
<b>NBA 2K16</b>,,,Developer: <b>Visual Concepts</b>,,,Genres: <b>sport</b>,,,,,,
<b>NBA 2K16</b>,,,,ESRB content rating: <b>E 10+ (for Everyone 10 and Older)</b>,,,,Has multiplayer: <b>yes</b>,,,,
<b>Silent Hill 2</b>,,,,ESRB content rating: <b>M (for Mature)</b>,,"Genres: <b>action-adventure, puzzle</b>",,,,,,
<b>Silent Hill 2</b>,,,,,,,Player perspective: <b>third person</b>,,Platform: <b>PC</b>,,,
<b>Silent Hill 2</b>,,,,,,"Genres: <b>action-adventure, puzzle</b>",Player perspective: <b>third person</b>,,,,,
<b>Silent Hill 2</b>,Year: <b>2001</b>,,Developer: <b>Konami Computer Entertainment Tokyo</b>,,,,,,,,,
<b>Silent Hill 2</b>,,,,ESRB content rating: <b>M (for Mature)</b>,,,,,Platform: <b>PC</b>,,,
<b>RollerCoaster Tycoon</b>,,,Developer: <b>MicroProse</b>,,,"Genres: <b>simulation, strategy</b>",,,,,,
<b>RollerCoaster Tycoon</b>,,,Developer: <b>MicroProse</b>,,,,,,Platform: <b>PC</b>,,,
<b>RollerCoaster Tycoon</b>,Year: <b>1999</b>,,,,,,,,Platform: <b>PC</b>,,,
<b>RollerCoaster Tycoon</b>,,,,,,"Genres: <b>simulation, strategy</b>",Player perspective: <b>bird view</b>,,,,,
<b>RollerCoaster Tycoon</b>,Year: <b>1999</b>,,,,,,,,,,Has a Linux release: <b>yes</b>,
<b>Tom Clancy's Splinter Cell: Chaos Theory</b>,,,Developer: <b>Ubisoft Montreal</b>,ESRB content rating: <b>M (for Mature)</b>,,,,,,,,
<b>Tom Clancy's Splinter Cell: Chaos Theory</b>,,,,,,"Genres: <b>action, tactical</b>",Player perspective: <b>third person</b>,,,,,
<b>Tom Clancy's Splinter Cell: Chaos Theory</b>,Year: <b>2005</b>,,,,,,Player perspective: <b>third person</b>,,,,,
<b>Tom Clancy's Splinter Cell: Chaos Theory</b>,,,,,,,,Has multiplayer: <b>yes</b>,,Available on Steam: <b>yes</b>,,
<b>Tom Clancy's Splinter Cell: Chaos Theory</b>,,,,,,"Genres: <b>action, tactical</b>",,,,Available on Steam: <b>yes</b>,,
<b>BioShock</b>,Year: <b>2007</b>,,,,,"Genres: <b>action-adventure, role-playing, shooter</b>",,,,,,
<b>BioShock</b>,,,,ESRB content rating: <b>M (for Mature)</b>,,"Genres: <b>action-adventure, role-playing, shooter</b>",,,,,,
<b>BioShock</b>,,,,,,,Player perspective: <b>first person</b>,,Platform: <b>PC</b>,,,
<b>BioShock</b>,,,Developer: <b>2K Boston</b>,,,,,,,Available on Steam: <b>yes</b>,,
<b>BioShock</b>,,,,ESRB content rating: <b>M (for Mature)</b>,,,,,Platform: <b>PC</b>,,,
<b>Mirror's Edge Catalyst</b>,Year: <b>2016</b>,,,ESRB content rating: <b>T (for Teen)</b>,,,,,,,,
<b>Mirror's Edge Catalyst</b>,,,Developer: <b>EA Digital Illusions CE</b>,,,,,Has multiplayer: <b>yes</b>,,,,
<b>Mirror's Edge Catalyst</b>,,,,,,,Player perspective: <b>first person</b>,,Platform: <b>Xbox</b>,,,
