name,release_year,exp_release_date,developer,esrb,rating,genres,player_perspective,has_multiplayer,platforms,available_on_steam,has_linux_release,has_mac_release
<b>Metro 2033</b>,Year: <b>2010</b>,,Developer: <b>4A Games</b>,ESRB content rating: <b>M (for Mature)</b>,,"Genres: <b>action, role-playing, shooter</b>",Player perspective: <b>first person</b>,Has multiplayer: <b>no</b>,Platform: <b>Xbox</b>,,,
<b>Small World 2</b>,Year: <b>2010</b>,,Developer: <b>Days of Wonder</b>,,,"Genres: <b>indie, trivia/board game</b>",,Has multiplayer: <b>yes</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>yes</b>,Has a Mac release: <b>yes</b>
<b>The Sims</b>,Year: <b>2000</b>,,Developer: <b>Maxis</b>,ESRB content rating: <b>T (for Teen)</b>,,"Genres: <b>simulation, strategy</b>",Player perspective: <b>bird view</b>,Has multiplayer: <b>no</b>,Platform: <b>PC</b>,Available on Steam: <b>no</b>,Has a Linux release: <b>no</b>,Has a Mac release: <b>yes</b>
<b>Worms: Reloaded</b>,Year: <b>2010</b>,,Developer: <b>Team17 Digital Ltd</b>,ESRB content rating: <b>E 10+ (for Everyone 10 and Older)</b>,,"Genres: <b>action, platformer, strategy</b>",Player perspective: <b>side view</b>,Has multiplayer: <b>yes</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>yes</b>,Has a Mac release: <b>yes</b>
<b>Rocket League</b>,Year: <b>2015</b>,,Developer: <b>Psyonix</b>,ESRB content rating: <b>E (for Everyone)</b>,,"Genres: <b>sport, vehicular combat</b>",Player perspective: <b>third person</b>,Has multiplayer: <b>yes</b>,Platform: <b>Xbox</b>,,,
<b>Super Bomberman</b>,Year: <b>1993</b>,,Developer: <b>Hudson Soft</b>,ESRB content rating: <b>E (for Everyone)</b>,,"Genres: <b>action, strategy</b>",Player perspective: <b>bird view</b>,Has multiplayer: <b>no</b>,Platform: <b>Nintendo</b>,,,
<b>MotorStorm: Apocalypse</b>,Year: <b>2011</b>,,Developer: <b>Evolution Studios</b>,ESRB content rating: <b>T (for Teen)</b>,,Genres: <b>vehicular combat</b>,Player perspective: <b>third person</b>,Has multiplayer: <b>yes</b>,Platform: <b>PlayStation</b>,,,
<b>Undertale</b>,Year: <b>2015</b>,,Developer: <b>tobyfox</b>,ESRB content rating: <b>E (for Everyone)</b>,,"Genres: <b>adventure, indie, role-playing</b>",Player perspective: <b>bird view</b>,Has multiplayer: <b>no</b>,Platform: <b>PlayStation</b>,,,
<b>The Witcher 3: Wild Hunt</b>,Year: <b>2015</b>,,Developer: <b>CD Projekt RED</b>,ESRB content rating: <b>M (for Mature)</b>,,"Genres: <b>action-adventure, role-playing</b>",Player perspective: <b>third person</b>,Has multiplayer: <b>no</b>,Platform: <b>Xbox</b>,,,
<b>NBA 2K16</b>,Year: <b>2015</b>,,Developer: <b>Visual Concepts</b>,ESRB content rating: <b>E 10+ (for Everyone 10 and Older)</b>,,Genres: <b>sport</b>,Player perspective: <b>third person</b>,Has multiplayer: <b>yes</b>,Platform: <b>PlayStation</b>,,,
