HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.name,Input.release_year,Input.exp_release_date,Input.developer,Input.esrb,Input.rating,Input.genres,Input.player_perspective,Input.has_multiplayer,Input.platforms,Input.available_on_steam,Input.has_linux_release,Input.has_mac_release,Answer.feedback,Answer.selected_attr11,Answer.selected_attr12,Answer.selected_attr13,Answer.selected_attr21,Answer.selected_attr22,Answer.selected_attr23,Answer.selected_attr31,Answer.selected_attr32,Answer.selected_attr33,Answer.selected_attr41,Answer.selected_attr42,Answer.selected_attr43,Answer.selected_attr51,Answer.selected_attr52,Answer.selected_attr53,Answer.utterance1,Answer.utterance2,Answer.utterance3,Answer.utterance4,Answer.utterance5,Approve,Reject
3J5XXLQDHMWXH6ME7KC3TEMIX4ZV33,3PZBZMF78J4VQOO8I0JCSSFGYBU9XE,Write 5 conversational responses about a video game based on its attributes and context (type: give opinion; attributes: 3),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.30 ,Tue Apr 09 14:48:18 PDT 2019,1,BatchId:3600986;OriginalHitTemplateId:920937336;,3600,1296000,Thu Apr 11 14:48:18 PDT 2019,,,30BUDKLTXEHMFULQGFGOWRS6TROE5L,A18TH5WAX1D1BL,Submitted,Wed Apr 10 11:37:13 PDT 2019,Wed Apr 10 11:49:24 PDT 2019,Thu Apr 25 11:49:24 PDT 2019,,,,731,0% (0/0),0% (0/0),0% (0/0),<b>Guitar Hero: Smash Hits</b>,Year: <b>2009</b>,,Developer: <b>Beenox</b>,ESRB content rating: <b>T (for Teen)</b>,Liking: <b>poor</b>,Genres: <b>music</b>,Player perspective: <b>first person</b>,Has multiplayer: <b>yes</b>,Platform: <b>PlayStation</b>,,,,,name,rating,developer,name,rating,release_year,name,rating,esrb,name,rating,has_multiplayer,name,rating,player_perspective,"Honestly, Guitar Hero: Smash Hits just wasn't engaging for me. I tend to avoid games by Beenox.",Guitar Hero: Smash Hits just didn't do it for me. It really shows that it was made way back in 2009.,"I didn't like Guitar Hero: Smash Hits, it felt a little immature for a T rated game.",Guitar Hero: Smash Hits felt kinda lacking to me. I think they focused too much on the multiplayer and ignored the rest.,Guitar Hero: Smash Hits was pretty bad. The first person perspective was just too jarring.,,
3JUDR1D0D6CGRGUEHL4O4HIIAYL2Q6,3PZBZMF78J4VQOO8I0JCSSFGYBU9XE,Write 5 conversational responses about a video game based on its attributes and context (type: give opinion; attributes: 3),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.30 ,Tue Apr 09 14:48:18 PDT 2019,1,BatchId:3600986;OriginalHitTemplateId:920937336;,3600,1296000,Wed Apr 10 14:48:18 PDT 2019,,,3TK8OJTYM277AFPVVKECU1L9KI6PVU,A30L6SDLOKQJJO,Submitted,Tue Apr 09 16:11:52 PDT 2019,Tue Apr 09 16:17:03 PDT 2019,Wed Apr 24 16:17:03 PDT 2019,,,,311,0% (0/0),0% (0/0),0% (0/0),<b>World of Warcraft</b>,Year: <b>2004</b>,,Developer: <b>Blizzard Entertainment</b>,ESRB content rating: <b>T (for Teen)</b>,Liking: <b>good</b>,"Genres: <b>adventure, MMORPG</b>",Player perspective: <b>third person</b>,,Platform: <b>PC</b>,Available on Steam: <b>no</b>,Has a Linux release: <b>no</b>,Has a Mac release: <b>yes</b>,,name,rating,available_on_steam,name,rating,developer,name,rating,release_year,name,rating,platforms,name,rating,genres,"I used to love World of Warcraft, I just wish it was available on Steam, that would be so convenient.","Blizzard did a good job with World of Warcraft, I liked playing it.",I wish I could go back to 2004 when World of Warcraft first came out and I would spend hours playing with my friends.,"World of Warcraft was good, but I think it could have been even more popular if they released the game on more than just PC.","The adventure MMORPG style of World of Warcraft really made it something different, which I really enjoyed.",,
36D1BWBEHNMP61WMPSX7N8YD021M2Q,3BWB13R124MC5C9IBKXBLD3LGG9IA3,Write 5 conversational responses about a video game based on its attributes and context (type: give opinion; attributes: 3),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sat Apr 13 14:47:43 PDT 2019,1,BatchId:3606282;OriginalHitTemplateId:920937336;,3600,1296000,Sun Apr 14 14:47:43 PDT 2019,,,326O153BMJKHJ70JVLY7U3GY7PSDEX,A1ELPYAFO7MANS,Submitted,Sat Apr 13 15:44:55 PDT 2019,Sat Apr 13 16:22:07 PDT 2019,Sun Apr 28 16:22:07 PDT 2019,,,,2232,100% (14/14),100% (14/14),100% (14/14),<b>Age of Wonders II: The Wizard's Throne</b>,Year: <b>2002</b>,,Developer: <b>Triumph Studios</b>,ESRB content rating: <b>T (for Teen)</b>,Liking: <b>poor</b>,"Genres: <b>role-playing, turn-based strategy</b>",Player perspective: <b>bird view</b>,Has multiplayer: <b>yes</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>no</b>,Has a Mac release: <b>no</b>,"I did like it. I just realized I did another hit with this topic (I think just one) and I didn't realize I had to ""like"" it a certain way... so I probably did it wrong. But this one and on I will get it right!",name,rating,developer,name,rating,genres,name,rating,has_mac_release,name,rating,player_perspective,name,rating,release_year,"I really wanted to like Age of Wonders II: The Wizard's Throne, but Triump Studios made it and I hate all of their games.",Role-playing games that are turn-based strategy are all played out. Take for example Age of Wonders II: The Wizard's Throne; it's so boring.,I really hated that Age of Wonders II: The Wizard's Throne didn't have a version for Mac. I had to borrow my brother's laptop to play.,I absolutely hate bird view player perspective games like Age of Wonders II: The Wizard's Throne. I can't even see what my character is doing.,"I hate playing older games like Age of Wonders II: The Wizard's Throne. It's from 2002, why not play something new?",,
3OREP8RUT2WJ240WXISNBWHKYM2GBE,3BWB13R124MC5C9IBKXBLD3LGG9IA3,Write 5 conversational responses about a video game based on its attributes and context (type: give opinion; attributes: 3),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sat Apr 13 14:47:43 PDT 2019,1,BatchId:3606282;OriginalHitTemplateId:920937336;,3600,1296000,Sun Apr 14 14:47:43 PDT 2019,,,3XM0HYN6NLLQ84390UP2UXXNL8YEPF,A3APKUC67F9IMW,Submitted,Sat Apr 13 16:56:38 PDT 2019,Sat Apr 13 17:19:21 PDT 2019,Sun Apr 28 17:19:21 PDT 2019,,,,1363,0% (0/0),0% (0/0),0% (0/0),<b>Far Cry 3</b>,Year: <b>2012</b>,,Developer: <b>Ubisoft Massive</b>,ESRB content rating: <b>M (for Mature)</b>,Liking: <b>good</b>,"Genres: <b>action-adventure, shooter</b>",Player perspective: <b>first person</b>,Has multiplayer: <b>yes</b>,Platform: <b>PlayStation</b>,,,,"If it was a more recent game, I could probably write some better thoughts about it. Also, it's hard to naturally just mention the three attributes without mentioning why the game is good (or bad) as a whole.",name,rating,player_perspective,name,rating,genres,name,rating,platforms,name,rating,has_multiplayer,name,rating,release_year,I thought Far Cry 3 was pretty good. I have a thing for first person open world games and the action element of it was exciting.,I love action-adventure games and this was a good one that scratched my itch. I'd recommend that anyone interested in the series start out with Far Cry 3.,"Far Cry 3 was a good game that started off a new era. Since it came out, the Playstation has had a lot of interesting and expanding games in the genre, including its sequels.","One thing I thought that makes Far Cry 3 a pretty good game is that it has multiplayer as well. It has a great single player campaign, but you can also jump online and enjoy it as well.",Far Cry 3 was a pretty good game for 2012 because it made mainstream the open world genre in more action oriented games. It spawned a lot of like-minded games that made the genre grow.,,
3URJ6VVYUP8N9IWL6MV88RKGFGC4OJ,3BWB13R124MC5C9IBKXBLD3LGG9IA3,Write 5 conversational responses about a video game based on its attributes and context (type: give opinion; attributes: 3),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sat Apr 13 14:47:43 PDT 2019,1,BatchId:3606282;OriginalHitTemplateId:920937336;,3600,1296000,Sun Apr 14 14:47:43 PDT 2019,,,3IRIK4HM3B63101QP7KYY9635RVC6E,A1ELPYAFO7MANS,Submitted,Sat Apr 13 16:59:25 PDT 2019,Sat Apr 13 17:02:13 PDT 2019,Sun Apr 28 17:02:13 PDT 2019,,,,168,100% (14/14),100% (14/14),100% (14/14),<b>Silent Hill 2</b>,Year: <b>2001</b>,,Developer: <b>Konami Computer Entertainment Tokyo</b>,ESRB content rating: <b>M (for Mature)</b>,Liking: <b>excellent</b>,"Genres: <b>action-adventure, puzzle</b>",Player perspective: <b>third person</b>,Has multiplayer: <b>no</b>,Platform: <b>PC</b>,Available on Steam: <b>no</b>,Has a Linux release: <b>no</b>,Has a Mac release: <b>no</b>,,name,rating,developer,name,rating,player_perspective,name,rating,platforms,name,rating,genres,name,rating,esrb,Konami Computer Entertainment Tokyo makes the best games. One of my favorites is Silent Hill 2.,Third person games like Silent Hill 2 are the best. First person is too close and bird eye is too far.,PC is the best platform because we get games like Silent Hill 2.,Action-adventure puzzle games like Silent Hill 2 are great. You get to work your reflexes and your brain too.,"All of my favorite games are rated M, like Silent Hill 2. I don't even bother with other games anymore.",,
3MWOYZD5WV99VQ6RORA470QG6X7ONY,3BWB13R124MC5C9IBKXBLD3LGG9IA3,Write 5 conversational responses about a video game based on its attributes and context (type: give opinion; attributes: 3),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sat Apr 13 14:47:43 PDT 2019,1,BatchId:3606282;OriginalHitTemplateId:920937336;,3600,1296000,Sun Apr 14 14:47:43 PDT 2019,,,3Y4W8Q93L06YLIM5QBNHU74K7KVVDL,A1ELPYAFO7MANS,Submitted,Sat Apr 13 15:38:38 PDT 2019,Sat Apr 13 16:11:32 PDT 2019,Sun Apr 28 16:11:32 PDT 2019,,,,1974,100% (14/14),100% (14/14),100% (14/14),<b>Undertale</b>,Year: <b>2015</b>,,Developer: <b>tobyfox</b>,ESRB content rating: <b>E (for Everyone)</b>,Liking: <b>excellent</b>,"Genres: <b>adventure, indie, role-playing</b>",Player perspective: <b>bird view</b>,Has multiplayer: <b>no</b>,Platform: <b>Nintendo Switch</b>,,,,,name,rating,developer,name,rating,genres,name,rating,player_perspective,name,rating,has_multiplayer,name,rating,esrb,"I love playing Nintendo Switch games, they're so fun - for example, take Undertale.","Adventure role-playing games are my favorite, especially indie ones like Undertale.",I always love the bird's eye view in games because it's so easy to see everything - such as in games like Undertale.,"With its great single-player campaign, I can enjoy playing Undertale at any time.","I really like when ESRB E rated games come out, for example I can watch even my youngest nephews play Undertale.",,
3VGZ74AYTG12C9S2BIOIMGN2G72GCL,3BWB13R124MC5C9IBKXBLD3LGG9IA3,Write 5 conversational responses about a video game based on its attributes and context (type: give opinion; attributes: 3),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sat Apr 13 14:47:43 PDT 2019,1,BatchId:3606282;OriginalHitTemplateId:920937336;,3600,1296000,Sun Apr 14 14:47:43 PDT 2019,,,3IHR8NYAM8N8G26GBODPLBLW8J2P4I,A1ELPYAFO7MANS,Submitted,Sat Apr 13 16:00:05 PDT 2019,Sat Apr 13 16:31:43 PDT 2019,Sun Apr 28 16:31:43 PDT 2019,,,,1898,100% (14/14),100% (14/14),100% (14/14),<b>Lara Croft and the Temple of Osiris</b>,Year: <b>2014</b>,,Developer: <b>Crystal Dynamics</b>,ESRB content rating: <b>T (for Teen)</b>,Liking: <b>average</b>,"Genres: <b>action-adventure, puzzle, shooter</b>",Player perspective: <b>bird view</b>,Has multiplayer: <b>yes</b>,Platform: <b>Xbox</b>,,,,,name,rating,esrb,name,rating,player_perspective,name,rating,genres,name,rating,has_multiplayer,name,rating,developer,You could tell Lara Croft and the Temple of Osiris was rated teen. Just cool enough to not be for kids and just mediocre enough to not be for adults.,"I had mixed feelings about the bird view in Lara Croft and the Temple of Osiris, I felt like it kind of disconnected me from the game.","As an action-adventure puzzle shooter, Lara Croft and the Temple of Osiris had a lot going on. It pulled it off but it's not great.","Multiplayer made Lara Croft and the Temple of Osiris an average game; without it, it would be much worse.","I usually like stuff by Crystal Dynamics, but Lara Croft and the Temple of Osiris just felt mediocre.",,
3T2EL38U0M5HSWXB5APHU7CENCZQXS,3BWB13R124MC5C9IBKXBLD3LGG9IA3,Write 5 conversational responses about a video game based on its attributes and context (type: give opinion; attributes: 3),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sat Apr 13 14:47:43 PDT 2019,1,BatchId:3606282;OriginalHitTemplateId:920937336;,3600,1296000,Sun Apr 14 14:47:43 PDT 2019,,,3U0SRXB7CERFENW16LWAPFRB0ILRN7,A1ELPYAFO7MANS,Submitted,Sat Apr 13 15:57:40 PDT 2019,Sat Apr 13 16:28:28 PDT 2019,Sun Apr 28 16:28:28 PDT 2019,,,,1848,100% (14/14),100% (14/14),100% (14/14),<b>Quantum Break</b>,Year: <b>2016</b>,,Developer: <b>Remedy Entertainment</b>,ESRB content rating: <b>M (for Mature)</b>,Liking: <b>average</b>,"Genres: <b>adventure, shooter</b>",Player perspective: <b>third person</b>,Has multiplayer: <b>no</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>no</b>,Has a Mac release: <b>no</b>,,name,rating,genres,name,rating,release_year,name,rating,developer,name,rating,has_multiplayer,name,rating,player_perspective,"I finished Quantum Break but, man, for an adventure shooter it was just OK.","Man, 2016 was such a good year for games, but Quantum Break was just middle-of-the-road.","I've never played a game from Remedy Entertainment I really loved. Like Quantum Break - it's decent, but not great.","Quantum Break would have been so much better with multiplayer. I really prefer playing with other people, you know?","I like third person player perspective games, but Quantum Break felt like it might have been better in first person. As it was, I only kinda liked it.",,
3KA7IJSNW6QPFHTV01IA55VCZDPBPD,3BWB13R124MC5C9IBKXBLD3LGG9IA3,Write 5 conversational responses about a video game based on its attributes and context (type: give opinion; attributes: 3),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sat Apr 13 14:47:43 PDT 2019,1,BatchId:3606282;OriginalHitTemplateId:920937336;,3600,1296000,Sun Apr 14 14:47:43 PDT 2019,,,3V5Q80FXIYDR6ZM69CXUFTLXJ9E32O,A1ELPYAFO7MANS,Submitted,Sat Apr 13 15:39:52 PDT 2019,Sat Apr 13 16:16:14 PDT 2019,Sun Apr 28 16:16:14 PDT 2019,,,,2182,100% (14/14),100% (14/14),100% (14/14),<b>Mirror's Edge Catalyst</b>,Year: <b>2016</b>,,Developer: <b>EA Digital Illusions CE</b>,ESRB content rating: <b>T (for Teen)</b>,Liking: <b>poor</b>,"Genres: <b>action-adventure, fighting</b>",Player perspective: <b>first person</b>,Has multiplayer: <b>yes</b>,Platform: <b>PC</b>,Available on Steam: <b>no</b>,Has a Linux release: <b>yes</b>,Has a Mac release: <b>no</b>,,name,rating,genres,name,rating,has_mac_release,name,rating,has_multiplayer,name,rating,available_on_steam,name,rating,player_perspective,"I can never get into action-adventure fighting games like Mirror's Edge Catalyst, there's just too much going on there.","I wish I could play Mirror's Edge Catalyst, but I'm a Mac guy and it wasn't released on Mac.","I hate when games like Mirror's Edge Catalyst come with multiplayer, as the single-player then tends to be lacking in depth.","Ah, I wish Mirror's Edge Catalyst was on Steam, they're the only game source I trust to be legit.","I avoid first person perspective games like Mirror's Edge Catalyst, it can become somewhat nauseating.",,
3SZYX62S5GLYKV8M35XG2X4ZPNX751,3BWB13R124MC5C9IBKXBLD3LGG9IA3,Write 5 conversational responses about a video game based on its attributes and context (type: give opinion; attributes: 3),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sat Apr 13 14:47:43 PDT 2019,1,BatchId:3606282;OriginalHitTemplateId:920937336;,3600,1296000,Sun Apr 14 14:47:43 PDT 2019,,,35H6S234SBMI2FSBAXXQK30TDAG657,A2QBFXY9UQMJTT,Submitted,Sat Apr 13 21:17:54 PDT 2019,Sat Apr 13 21:23:54 PDT 2019,Sun Apr 28 21:23:54 PDT 2019,,,,360,0% (0/0),0% (0/0),0% (0/0),<b>Madden NFL 15</b>,Year: <b>2014</b>,,Developer: <b>EA Tiburon</b>,,Liking: <b>average</b>,"Genres: <b>simulation, sport</b>",Player perspective: <b>bird view</b>,Has multiplayer: <b>yes</b>,Platform: <b>Xbox</b>,,,,Thanks!,name,rating,developer,name,rating,release_year,name,rating,player_perspective,name,rating,has_multiplayer,name,rating,platforms,I feel like EA Tiburon didn't do quite a great job developing Madden NFL 15.,"Madden NFL 15 felt like an only average entry, released back in 2014.","Madden NFL 15 uses a bird view, which is OK considering its average graphics.","Although Madden NFL 15 supports multiplayer, it wasn't enough to make it any better than average.","Having played Madden NFL 15 on Xbox, I found the controls and graphics mediocre.",,
