HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.name,Input.release_year,Input.exp_release_date,Input.developer,Input.esrb,Input.rating,Input.genres,Input.player_perspective,Input.has_multiplayer,Input.platforms,Input.available_on_steam,Input.has_linux_release,Input.has_mac_release,Answer.feedback,Answer.selected_attr11,Answer.selected_attr12,Answer.selected_attr13,Answer.selected_attr21,Answer.selected_attr22,Answer.selected_attr23,Answer.selected_attr31,Answer.selected_attr32,Answer.selected_attr33,Answer.selected_attr41,Answer.selected_attr42,Answer.selected_attr43,Answer.selected_attr51,Answer.selected_attr52,Answer.selected_attr53,Answer.utterance1,Answer.utterance2,Answer.utterance3,Answer.utterance4,Answer.utterance5,Approve,Reject
3RDTX9JRTYMHLIAY6VAXED91BKO974,32A76CCALKPNC19CWVMOMHJUZNT4TV,Write 5 conversational responses about a video game based on its attributes and context (type: request explanation; attr.: 3),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sun Apr 14 23:34:07 PDT 2019,1,BatchId:3607363;OriginalHitTemplateId:920937336;,3600,1296000,Mon Apr 15 23:34:07 PDT 2019,,,3Q5ZZ9ZEVP156TBZ3CUO4HWKJ9F85C,A1MW021IG07IMF,Submitted,Mon Apr 15 01:49:29 PDT 2019,Mon Apr 15 01:53:52 PDT 2019,Tue Apr 30 01:53:52 PDT 2019,,,,263,100% (20/20),100% (20/20),100% (20/20),,Year: <b>2009</b>,,Developer: <b>Slightly Mad Studios</b>,ESRB content rating: <b>E (for Everyone)</b>,Liking: <b>average</b>,"Genres: <b>driving/racing, simulation</b>",Player perspective: <b>first person</b>,Has multiplayer: <b>yes</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>no</b>,Has a Mac release: <b>no</b>,,rating,player_perspective,genres,rating,platforms,developer,rating,available_on_steam,genres,rating,platforms,player_perspective,rating,developer,genres,Why do you find first person racing/driving simulators to be just okay?,What makes you feel that Slightly Mad Studios lineup of PC games is merely average in quality?,Why do you think the driving/racing simulators on Steam are okay but nothing great?,What is it about first person games on the PC that causes you to find them so-so and average?,Why do you say that Slightly Mad Studios driving/racing simulators are okay but don't stand out from the crowd?,,
3P4C70TRMR2VFDM8OVHHPZDPAHOGLB,32A76CCALKPNC19CWVMOMHJUZNT4TV,Write 5 conversational responses about a video game based on its attributes and context (type: request explanation; attr.: 3),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sun Apr 14 23:34:07 PDT 2019,1,BatchId:3607363;OriginalHitTemplateId:920937336;,3600,1296000,Mon Apr 15 23:34:07 PDT 2019,,,3GGAI1SQEWK5Q3MICNRFN53PVVOMCK,A1MW021IG07IMF,Submitted,Mon Apr 15 01:37:18 PDT 2019,Mon Apr 15 01:43:23 PDT 2019,Tue Apr 30 01:43:23 PDT 2019,,,,365,100% (20/20),100% (20/20),100% (20/20),,Year: <b>2017</b>,,Developer: <b>Red Entertainment Corporation</b>,,Liking: <b>poor</b>,Genres: <b>text adventure</b>,,Has multiplayer: <b>no</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>no</b>,Has a Mac release: <b>no</b>,,rating,available_on_steam,genres,rating,platforms,developer,rating,release_year,genres,rating,has_multiplayer,platforms,rating,genres,platforms,Why is it you dislike Steam text adventure games so much?,Why is it you don't like Red Entertainment Corporation's PC games?,So why don't you like the text adventure games that have been released in 2017?,Why is it that you don't like single player only PC games?,What is it about PC text adventures games that ruffles your feathers so much?,,
3WA2XVDZEM2FCENAVWLR0DAG76K6EC,32A76CCALKPNC19CWVMOMHJUZNT4TV,Write 5 conversational responses about a video game based on its attributes and context (type: request explanation; attr.: 3),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sun Apr 14 23:34:07 PDT 2019,1,BatchId:3607363;OriginalHitTemplateId:920937336;,3600,1296000,Mon Apr 15 23:34:07 PDT 2019,,,39GAF6DQWSM4TN6TAI3MT53BIRCV1N,A1MW021IG07IMF,Submitted,Mon Apr 15 02:16:19 PDT 2019,Mon Apr 15 02:19:37 PDT 2019,Tue Apr 30 02:19:37 PDT 2019,,,,198,100% (20/20),100% (20/20),100% (20/20),,Year: <b>2017</b>,,Developer: <b>Ninja Theory</b>,ESRB content rating: <b>M (for Mature)</b>,Liking: <b>excellent</b>,"Genres: <b>adventure, hack-and-slash, indie</b>",Player perspective: <b>third person</b>,Has multiplayer: <b>no</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>no</b>,Has a Mac release: <b>no</b>,,rating,esrb,developer,rating,genres,player_perspective,rating,developer,player_perspective,rating,release_year,platforms,rating,genres,developer,Why are Ninja Theory's M rated games some of the games you love most of all?,What is it about indie third person hack-and-slash adventure games that makes you find them so thrilling and amazing to play?,Why do you absolutely love Ninja Theory's third person video games?,What is it about the PC games released in 2017 that makes you love them so much?,Why do you think that Ninja Theory's indie hack-and-slash adventure games are some of the best you ever played?,,
38B7Q9C28GQYHIWTNL558Z95G94965,32A76CCALKPNC19CWVMOMHJUZNT4TV,Write 5 conversational responses about a video game based on its attributes and context (type: request explanation; attr.: 3),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sun Apr 14 23:34:07 PDT 2019,1,BatchId:3607363;OriginalHitTemplateId:920937336;,3600,1296000,Mon Apr 15 23:34:07 PDT 2019,,,3ZGVPD4G6U3MBRNCDYCZKHZ2YPZTZS,A3JPL5O4IH479O,Submitted,Mon Apr 15 09:57:11 PDT 2019,Mon Apr 15 10:09:32 PDT 2019,Tue Apr 30 10:09:32 PDT 2019,,,,741,0% (0/0),0% (0/0),0% (0/0),,Year: <b>1997</b>,,Developer: <b>Square</b>,ESRB content rating: <b>T (for Teen)</b>,Liking: <b>excellent</b>,"Genres: <b>adventure, role-playing</b>",Player perspective: <b>third person</b>,Has multiplayer: <b>no</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>no</b>,Has a Mac release: <b>no</b>,,rating,player_perspective,available_on_steam,rating,developer,player_perspective,rating,esrb,has_multiplayer,rating,platforms,developer,rating,has_linux_release,has_mac_release,Do you have a preference on third person perspective games available on Steam?,What is it about Square third person perspective games that you like?,What is fun about a Teen rated game without the availability of multiplayer?,What can the PC platform do for games developed by Square that is not available on other platforms?,Do you feel non-availability on Linux and Mac are fair to the gaming community?,,
3D1TUISJWILCUUFXNX9L1YMO2L9IUZ,32A76CCALKPNC19CWVMOMHJUZNT4TV,Write 5 conversational responses about a video game based on its attributes and context (type: request explanation; attr.: 3),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sun Apr 14 23:34:07 PDT 2019,1,BatchId:3607363;OriginalHitTemplateId:920937336;,3600,1296000,Mon Apr 15 23:34:07 PDT 2019,,,3X3OR7WPZ0MJ8IEKVZAVL6SH5ZFL8D,A1MW021IG07IMF,Submitted,Mon Apr 15 02:06:37 PDT 2019,Mon Apr 15 02:11:36 PDT 2019,Tue Apr 30 02:11:36 PDT 2019,,,,299,100% (20/20),100% (20/20),100% (20/20),,Year: <b>2011</b>,,Developer: <b>Evolution Studios</b>,ESRB content rating: <b>T (for Teen)</b>,Liking: <b>poor</b>,Genres: <b>vehicular combat</b>,Player perspective: <b>third person</b>,Has multiplayer: <b>yes</b>,Platform: <b>PlayStation</b>,,,,,rating,developer,genres,rating,platforms,genres,rating,developer,has_multiplayer,rating,genres,player_perspective,rating,release_year,platforms,Why do you say that Evolution Studios' vehicular combat games are so bad?,What makes you feel that vehicular combat games on the PlayStation are so boring?,What is it about Evolution Studios multiplayer games that you find so grating and off putting?,Why do you think third person vehicular combat games are not fun to play?,What is it about PlayStation games released in 2011 that gives you such a sour view on them?,,
3DA79LNS59GI4EIP2PCOSWYX0P53TT,32A76CCALKPNC19CWVMOMHJUZNT4TV,Write 5 conversational responses about a video game based on its attributes and context (type: request explanation; attr.: 3),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sun Apr 14 23:34:07 PDT 2019,1,BatchId:3607363;OriginalHitTemplateId:920937336;,3600,1296000,Mon Apr 15 23:34:07 PDT 2019,,,3U5NZHP4LSO2SEUBQVX8F0U0D0ZHPV,A6CVN7CSC1K26,Submitted,Mon Apr 15 17:57:56 PDT 2019,Mon Apr 15 18:03:52 PDT 2019,Tue Apr 30 18:03:52 PDT 2019,,,,356,100% (2/2),100% (2/2),100% (2/2),,Year: <b>2015</b>,,Developer: <b>Dontnod Entertainment</b>,ESRB content rating: <b>M (for Mature)</b>,Liking: <b>good</b>,Genres: <b>role-playing</b>,Player perspective: <b>third person</b>,Has multiplayer: <b>no</b>,Platform: <b>PlayStation</b>,,,,,rating,platforms,developer,rating,genres,release_year,rating,player_perspective,has_multiplayer,rating,esrb,genres,rating,release_year,platforms,What do you like best about Dontnod Entertainment used for PlayStation?,What do you enjoy about role-playing games released in 2015?,"What you like about third person, single player games?",Why do you find rated M role-playing games entertaining?,What is your favorite thing about 2015 PlayStation games?,,
3E6L1VR4XW77ISN6Q75XIVVGJ7Z6FU,32A76CCALKPNC19CWVMOMHJUZNT4TV,Write 5 conversational responses about a video game based on its attributes and context (type: request explanation; attr.: 3),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sun Apr 14 23:34:07 PDT 2019,1,BatchId:3607363;OriginalHitTemplateId:920937336;,3600,1296000,Mon Apr 15 23:34:07 PDT 2019,,,3VBEN272MLLL5AFSY6JKP5NALC3SGH,A1MW021IG07IMF,Submitted,Mon Apr 15 02:25:03 PDT 2019,Mon Apr 15 02:28:58 PDT 2019,Tue Apr 30 02:28:58 PDT 2019,,,,235,100% (20/20),100% (20/20),100% (20/20),,Year: <b>2005</b>,,Developer: <b>Capcom Production Studio 4</b>,ESRB content rating: <b>M (for Mature)</b>,Liking: <b>excellent</b>,"Genres: <b>action-adventure, shooter</b>",Player perspective: <b>third person</b>,Has multiplayer: <b>no</b>,Platform: <b>Xbox</b>,,,,,rating,genres,player_perspective,rating,developer,platforms,rating,esrb,platforms,rating,genres,esrb,rating,has_multiplayer,developer,"If you don't mind me asking, why are third person action-adventure shooters some of your favorite games of all time?",What is it about Capcom Production Studio 4's lineup of Xbox games that has you going on about how awesome they are?,Why do you feel that the M rated Xbox games are some of the best games out there?,So what parts of M rated action-adventure shooters makes you say they're excellent?,What is it about Capcom Production Studio 4's single player only games that makes you find them so great?,,
3AQN9REUTF1C3SJG5K5ZDMCO64CDYQ,32A76CCALKPNC19CWVMOMHJUZNT4TV,Write 5 conversational responses about a video game based on its attributes and context (type: request explanation; attr.: 3),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sun Apr 14 23:34:07 PDT 2019,1,BatchId:3607363;OriginalHitTemplateId:920937336;,3600,1296000,Mon Apr 15 23:34:07 PDT 2019,,,30MVJZJNHNZDRX9UX64W5NA0LFZJ93,ANYY4NTDXOI4P,Submitted,Sun Apr 14 23:39:40 PDT 2019,Sun Apr 14 23:44:13 PDT 2019,Mon Apr 29 23:44:13 PDT 2019,,,,273,100% (1/1),100% (1/1),100% (1/1),,Year: <b>2004</b>,,Developer: <b>Valve Corporation</b>,ESRB content rating: <b>M (for Mature)</b>,Liking: <b>excellent</b>,Genres: <b>shooter</b>,Player perspective: <b>first person</b>,Has multiplayer: <b>no</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>yes</b>,Has a Mac release: <b>yes</b>,,rating,platforms,developer,rating,has_linux_release,has_mac_release,rating,player_perspective,genres,rating,developer,has_multiplayer,rating,esrb,release_year,How comes you adore PC games from Valve?,Why is it that you really like games with both mac and Linux releases?,Is there a reason you really enjoy first person shooters?,Would you tell me why you vastly enjoy Valve games with no multiplayer?,How is it that you so much like to play M-rated games from 2004?,,
3M4KL7H8KV8GSDTYJ8QCTTRMIXG16O,32A76CCALKPNC19CWVMOMHJUZNT4TV,Write 5 conversational responses about a video game based on its attributes and context (type: request explanation; attr.: 3),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sun Apr 14 23:34:07 PDT 2019,1,BatchId:3607363;OriginalHitTemplateId:920937336;,3600,1296000,Mon Apr 15 23:34:07 PDT 2019,,,3NC5L260MP80TIR4G5WTNFDXNGNFOB,A6CVN7CSC1K26,Submitted,Mon Apr 15 17:49:15 PDT 2019,Mon Apr 15 17:57:26 PDT 2019,Tue Apr 30 17:57:26 PDT 2019,,,,491,100% (2/2),100% (2/2),100% (2/2),,Year: <b>2010</b>,,Developer: <b>Firaxis Games</b>,ESRB content rating: <b>E 10+ (for Everyone 10 and Older)</b>,Liking: <b>good</b>,"Genres: <b>simulation, turn-based strategy</b>",Player perspective: <b>bird view</b>,Has multiplayer: <b>yes</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>yes</b>,Has a Mac release: <b>yes</b>,,rating,player_perspective,has_multiplayer,rating,platforms,genres,rating,release_year,developer,rating,esrb,has_mac_release,rating,available_on_steam,has_multiplayer,What do you find interesting about multiplayer games with a bird view?,What do you like best about PC strategy games?,What do you enjoy about 2010 games released by Firaxis Games?,What do you like about E 10+ games released on Mac?,Why do you prefer multiplayer games available through Steam?,,
3OLZC0DJ8J0C794XSNJQXKO7GSIIVO,32A76CCALKPNC19CWVMOMHJUZNT4TV,Write 5 conversational responses about a video game based on its attributes and context (type: request explanation; attr.: 3),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sun Apr 14 23:34:07 PDT 2019,1,BatchId:3607363;OriginalHitTemplateId:920937336;,3600,1296000,Mon Apr 15 23:34:07 PDT 2019,,,35K3O9HUACZEHREFMRTXI3JJJ6REF0,A1MW021IG07IMF,Submitted,Mon Apr 15 02:02:06 PDT 2019,Mon Apr 15 02:06:36 PDT 2019,Tue Apr 30 02:06:36 PDT 2019,,,,270,100% (20/20),100% (20/20),100% (20/20),,Year: <b>2012</b>,,Developer: <b>Codemasters Southam</b>,ESRB content rating: <b>E 10+ (for Everyone 10 and Older)</b>,Liking: <b>average</b>,"Genres: <b>driving/racing, sport</b>",Player perspective: <b>first person</b>,Has multiplayer: <b>yes</b>,Platform: <b>PlayStation</b>,,,,,rating,platforms,genres,rating,developer,platforms,rating,player_perspective,genres,rating,has_multiplayer,platforms,rating,developer,genres,Why do you say that the PlayStation's lineup of driving/racing sport games are serviceable but nothing great?,What is it about Codemasters Southam's PlayStation games that makes you say they're just average?,Why do you find first person driving/racing sport games to be okay but nothing spectacular?,What is it about the PlayStation's multiplayer games that makes you say they are decent but nothing to get too excited for?,What is it about Codemasters Southam's driving/racing sport games that makes you feel they're neither particularly great nor particularly bad?,,
