HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.name,Input.release_year,Input.exp_release_date,Input.developer,Input.esrb,Input.rating,Input.genres,Input.player_perspective,Input.has_multiplayer,Input.platforms,Input.available_on_steam,Input.has_linux_release,Input.has_mac_release,Answer.feedback,Answer.selected_attr11,Answer.selected_attr12,Answer.selected_attr13,Answer.selected_attr14,Answer.selected_attr21,Answer.selected_attr22,Answer.selected_attr23,Answer.selected_attr24,Answer.selected_attr31,Answer.selected_attr32,Answer.selected_attr33,Answer.selected_attr34,Answer.selected_attr41,Answer.selected_attr42,Answer.selected_attr43,Answer.selected_attr44,Answer.selected_attr51,Answer.selected_attr52,Answer.selected_attr53,Answer.selected_attr54,Answer.utterance1,Answer.utterance2,Answer.utterance3,Answer.utterance4,Answer.utterance5,Approve,Reject
3087LXLJ6M1C4H1ROIPG9ULP6470FH,3IF0VZGELQ1GIT1BPWJJ3F8CWHN7MH,Write 5 conversational responses about a video game based on its attributes and context (type: give opinion; attributes: 4),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sun Apr 14 12:00:06 PDT 2019,1,BatchId:3606947;OriginalHitTemplateId:920937336;,3600,1296000,Tue Apr 16 12:00:06 PDT 2019,,,3OS46CRSLGLZ097QGOF3O1USQBPV60,A1MW021IG07IMF,Submitted,Mon Apr 15 21:41:35 PDT 2019,Mon Apr 15 21:48:15 PDT 2019,Tue Apr 30 21:48:15 PDT 2019,,,,400,100% (55/55),100% (55/55),100% (55/55),<b>Need for Speed: Shift</b>,Year: <b>2009</b>,,Developer: <b>Slightly Mad Studios</b>,ESRB content rating: <b>E (for Everyone)</b>,Liking: <b>average</b>,"Genres: <b>driving/racing, simulation</b>",Player perspective: <b>first person</b>,Has multiplayer: <b>yes</b>,Platform: <b>PlayStation</b>,,,,,name,rating,developer,genres,name,rating,platforms,esrb,name,rating,player_perspective,has_multiplayer,name,rating,developer,has_multiplayer,name,rating,player_perspective,genres,"Personally, I thought that Need for Speed: Shift was kind of average. Slightly Mad Studios is a competent developer, but I'm not a huge fan of this driving/racing simulator genre, so that held it back some.","Need for Speed: Shift was okay in my view. I'm happy it's on PlayStation since that's my favorite console, but I think the E rating really held the game back in terms of story and content.","I thought Need for Speed: Shift was mediocre. It's got multiplayer, which is always a plus for me, but I prefer games that aren't from a first person perspective.","Need for Speed: Shift was okay I guess. It's got multiplayer, which is nice, but developer Slightly Mad Studios didn't really do enough with it.","I think Need for Speed: Shift was an okay game, but it's not gonna be one of my favorites. It's just that first person driving/racing simulators are, for me, a type of game I always find to be merely okay.",,
311HQEI8RS1WR9SBAT4WR1BUQN77ZC,3IF0VZGELQ1GIT1BPWJJ3F8CWHN7MH,Write 5 conversational responses about a video game based on its attributes and context (type: give opinion; attributes: 4),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sun Apr 14 12:00:06 PDT 2019,1,BatchId:3606947;OriginalHitTemplateId:920937336;,3600,1296000,Tue Apr 16 12:00:06 PDT 2019,,,3ATTHHXXWBA7XI7MI4PA9PHIF83XI0,A1RQMCQ3LMIGEK,Submitted,Mon Apr 15 11:03:59 PDT 2019,Mon Apr 15 11:12:16 PDT 2019,Tue Apr 30 11:12:16 PDT 2019,,,,497,100% (19/19),0% (0/0),0% (0/0),<b>Call of Duty: Advanced Warfare</b>,Year: <b>2014</b>,,Developer: <b>Sledgehammer Games</b>,ESRB content rating: <b>M (for Mature)</b>,Liking: <b>average</b>,"Genres: <b>action, shooter</b>",Player perspective: <b>first person</b>,Has multiplayer: <b>yes</b>,Platform: <b>PlayStation</b>,,,,,name,rating,player_perspective,platforms,name,rating,has_multiplayer,genres,name,rating,esrb,developer,name,rating,release_year,player_perspective,name,rating,developer,has_multiplayer,"The first-person perspective in Call of Duty: Advanced Warfare is pretty immersive, yet playing it on PlayStation was not very satisfying.","I cannot say that Call of Duty: Advanced Warfare stands out from the pool of action shooter games in any way. As usual, it's available for the PlayStation and comes with a multiplayer mode for competitive gaming.","Sledgehammer Games did a decent job with Call of Duty: Advanced Warfare, yet with the ESRB rating of M it sometimes gets a bit unpleasant for me.","For a 2014 game, I think Call of Duty: Advanced Warfare wasn't so fun to play from the first-person perspective.","In my opinion, SledgeHammer Games messed up the multiplayer mode in Call of Duty: Advanced Warfare, though otherwise it was good enough.",,
31YWE12TE0X7MESW9BGBUGVJIN97XF,3IF0VZGELQ1GIT1BPWJJ3F8CWHN7MH,Write 5 conversational responses about a video game based on its attributes and context (type: give opinion; attributes: 4),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sun Apr 14 12:00:06 PDT 2019,1,BatchId:3606947;OriginalHitTemplateId:920937336;,3600,1296000,Wed Apr 17 00:00:06 PDT 2019,,,3IGI0VL6486CHA4LETF6VKM6PGOONO,A1MW021IG07IMF,Submitted,Tue Apr 16 20:44:23 PDT 2019,Tue Apr 16 20:51:04 PDT 2019,Wed May 01 20:51:04 PDT 2019,,,,401,100% (55/55),100% (55/55),100% (55/55),<b>BioShock</b>,Year: <b>2007</b>,,Developer: <b>2K Boston</b>,ESRB content rating: <b>M (for Mature)</b>,Liking: <b>good</b>,"Genres: <b>action-adventure, role-playing, shooter</b>",Player perspective: <b>first person</b>,Has multiplayer: <b>no</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>no</b>,Has a Mac release: <b>yes</b>,,name,rating,developer,esrb,name,rating,genres,player_perspective,name,rating,has_mac_release,has_multiplayer,name,rating,esrb,available_on_steam,name,rating,platforms,player_perspective,"I rather enjoyed BioShock. Developer 2K Boston makes solid quality games, and the M rating gave it some nice grittyness.","I'm generally a fan of first person action-adventure shooters that also add role-playing stuff, so I thought BioShock was pretty good.","I thought BioShock was fun. It's focus on being single player only let it tell a nice story, and it's Mac release meant I was actually able to play it.","I liked BioShock a fair bit. It's M rated meant it was able to tackle some dark subject matter, and being on Steam made it super convenient to acquire.",BioShock was an enjoyable time I'd say. PC games like it are generally my preference and I enjoyed the first person perspective.,,
338GLSUI43WC5QL3XK80J0R81WQFSJ,3IF0VZGELQ1GIT1BPWJJ3F8CWHN7MH,Write 5 conversational responses about a video game based on its attributes and context (type: give opinion; attributes: 4),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sun Apr 14 12:00:05 PDT 2019,1,BatchId:3606947;OriginalHitTemplateId:920937336;,3600,1296000,Wed Apr 17 00:00:05 PDT 2019,,,352YTHGROWZG3L8SSB5KC2J5MDH4HN,A1MW021IG07IMF,Submitted,Tue Apr 16 20:51:05 PDT 2019,Tue Apr 16 20:55:10 PDT 2019,Wed May 01 20:55:10 PDT 2019,,,,245,100% (55/55),100% (55/55),100% (55/55),<b>The Wolf Among Us</b>,Year: <b>2013</b>,,Developer: <b>Telltale Games</b>,ESRB content rating: <b>M (for Mature)</b>,Liking: <b>good</b>,"Genres: <b>adventure, point-and-click</b>",Player perspective: <b>third person</b>,Has multiplayer: <b>no</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>no</b>,Has a Mac release: <b>yes</b>,,name,rating,developer,genres,name,rating,esrb,has_multiplayer,name,rating,available_on_steam,genres,name,rating,player_perspective,genres,name,rating,platforms,developer,"Telltale Games' point-and-click adventures are generally fun to play, so I liked The Wolf Among Us.",I enjoyed The Wolf Among Us. It's lack of multiplayer and M rating meant it was able to really focus on the single player elements I enjoy in my games.,"I thought The Wolf Among Us was pretty good. Point-and-click adventures are a classic genre, and it being on Steam made it convenient.","I usually enjoy third person point-and-click adventure games, so I thought that The Wolf Among Us was fun.",I thought The Wolf Among Us was pretty good. Developer Telltale Games just knows how to make a quality PC game like it.,,
34HEO7RUG6F58K4I7FM3FPBLIEUARD,3IF0VZGELQ1GIT1BPWJJ3F8CWHN7MH,Write 5 conversational responses about a video game based on its attributes and context (type: give opinion; attributes: 4),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sun Apr 14 12:00:06 PDT 2019,1,BatchId:3606947;OriginalHitTemplateId:920937336;,3600,1296000,Mon Apr 15 12:00:06 PDT 2019,,,3FE2ERCCZYUCKVGYU8SYZ9R1PCROPK,A2ITJNPW1LDUN7,Submitted,Sun Apr 14 12:01:51 PDT 2019,Sun Apr 14 12:06:10 PDT 2019,Mon Apr 29 12:06:10 PDT 2019,,,,259,0% (0/0),0% (0/0),0% (0/0),<b>Mirror's Edge Catalyst</b>,Year: <b>2016</b>,,Developer: <b>EA Digital Illusions CE</b>,ESRB content rating: <b>T (for Teen)</b>,Liking: <b>average</b>,"Genres: <b>action-adventure, fighting</b>",Player perspective: <b>first person</b>,Has multiplayer: <b>yes</b>,Platform: <b>PlayStation</b>,,,,,name,rating,genres,developer,name,rating,release_year,has_multiplayer,name,rating,platforms,player_perspective,name,rating,esrb,genres,name,rating,has_multiplayer,developer,"I loved Mirror's Edge Catalyst, it was such an interesting take on the action-adventure fighting genre, especially for EA Digital Illusions CE.","Mirror's Edge Catalyst was fantastic, probably my game of the year for 2016, especially with that great multiplayer.","Man, I love first person games, and Mirror's Edge Catalyst is definitely a very unique first person game for the PlayStation.","You usually don't see such a good action-adventure fighting game with a T rating, but I gotta say, Mirror's Edge Catalyst is great fun.","Man, I loved Mirror's Edge Catalyst, you can always rely on EA Digital Illusions CE to make something with solid multiplayer.",,
3GL25Y6843FQ7HZJDHI0DYS9DC4MX5,3IF0VZGELQ1GIT1BPWJJ3F8CWHN7MH,Write 5 conversational responses about a video game based on its attributes and context (type: give opinion; attributes: 4),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sun Apr 14 12:00:06 PDT 2019,1,BatchId:3606947;OriginalHitTemplateId:920937336;,3600,1296000,Mon Apr 15 12:00:06 PDT 2019,,,3VBEN272MLLL5AFSY6JKP5NALBGSGS,A2RRQHB3TY99SF,Submitted,Sun Apr 14 17:23:50 PDT 2019,Sun Apr 14 17:29:00 PDT 2019,Mon Apr 29 17:29:00 PDT 2019,,,,310,0% (0/0),0% (0/0),0% (0/0),<b>The Elder Scrolls V: Skyrim</b>,Year: <b>2011</b>,,Developer: <b>Bethesda Game Studios</b>,ESRB content rating: <b>M (for Mature)</b>,Liking: <b>good</b>,"Genres: <b>adventure, role-playing</b>",Player perspective: <b>first person</b>,Has multiplayer: <b>no</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>yes</b>,Has a Mac release: <b>yes</b>,,name,rating,platforms,available_on_steam,name,rating,release_year,esrb,name,rating,player_perspective,available_on_steam,name,rating,developer,has_multiplayer,name,rating,has_linux_release,has_mac_release,I like Skyrim. It's one of the better adventure RPGs on the Xbox.,"I know Skyrim is an M rated game from 2011, but it's my favorite game from that year.",Skyrim is pretty good. I enjoy the first-person perspective in it and the game has a really nice Steam support.,"Bethesda Game Studios did a good job with Skyrim, the single-player campaign is so much fun.",I was quite impressed that Skyrim runs smoothly on both Mac and Linux.,,
3IH9TRB0FBKWLXOZL9Z1QWHRRO5I1T,3IF0VZGELQ1GIT1BPWJJ3F8CWHN7MH,Write 5 conversational responses about a video game based on its attributes and context (type: give opinion; attributes: 4),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sun Apr 14 12:00:06 PDT 2019,1,BatchId:3606947;OriginalHitTemplateId:920937336;,3600,1296000,Mon Apr 15 12:00:06 PDT 2019,,,3RANCT1ZVG35T6ZL7PM63VE1QU0BUZ,A1ELPYAFO7MANS,Submitted,Sun Apr 14 12:00:28 PDT 2019,Sun Apr 14 12:04:29 PDT 2019,Mon Apr 29 12:04:29 PDT 2019,,,,241,100% (24/24),100% (24/24),100% (24/24),<b>Sid Meier's Civilization V</b>,Year: <b>2010</b>,,Developer: <b>Firaxis Games</b>,ESRB content rating: <b>E 10+ (for Everyone 10 and Older)</b>,Liking: <b>good</b>,"Genres: <b>simulation, turn-based strategy</b>",Player perspective: <b>bird view</b>,Has multiplayer: <b>yes</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>yes</b>,Has a Mac release: <b>yes</b>,,name,rating,has_multiplayer,developer,name,rating,esrb,has_multiplayer,name,rating,has_mac_release,has_multiplayer,name,rating,available_on_steam,has_linux_release,name,rating,has_linux_release,has_mac_release,"I really like multiplayer games like Sid Meier's Civilization V, and Firaxis Games is one of my favorite developers.","Sid Meier's Civilization V is a good game, especially because I can play with my kids since it's multiplayer and rated E (for everyone).","I have a Mac and it's hard to find good games, but Sid Meier's Civilization V is definitely one and I can also play with my friends.",I've been into Sid Meier's Civilization V; it was so easy to get into because it runs on Linux and I can get it from the Steam store.,"I use Linux on my home PC and a Mac on my laptop, so Sid Meier's Civilization V has been a good game for me since it can be played on either one.",,
3OWZNK3RYLA8J91VYUOTEIF7DP62U2,3IF0VZGELQ1GIT1BPWJJ3F8CWHN7MH,Write 5 conversational responses about a video game based on its attributes and context (type: give opinion; attributes: 4),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sun Apr 14 12:00:06 PDT 2019,1,BatchId:3606947;OriginalHitTemplateId:920937336;,3600,1296000,Wed Apr 17 00:00:06 PDT 2019,,,3ZOTGHDK5JX9XNWQMPWSUEWCCFYOS2,A1MW021IG07IMF,Submitted,Tue Apr 16 20:55:10 PDT 2019,Tue Apr 16 21:01:05 PDT 2019,Wed May 01 21:01:05 PDT 2019,,,,355,100% (55/55),100% (55/55),100% (55/55),<b>The Room</b>,Year: <b>2012</b>,,Developer: <b>Fireproof Games</b>,,Liking: <b>excellent</b>,"Genres: <b>indie, point-and-click, puzzle</b>",Player perspective: <b>first person</b>,Has multiplayer: <b>no</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>yes</b>,Has a Mac release: <b>no</b>,,name,rating,genres,player_perspective,name,rating,developer,player_perspective,name,rating,developer,has_linux_release,name,rating,genres,available_on_steam,name,rating,release_year,genres,The Room was absolutely amazing. Indie first person point-and-click puzzle games like that are my favorite.,"The Room was really, really excellent. Fireproof games is a spectacular developer and I enjoyed the first person perspective.","I still can't believe how much I love The Room. Fireproof Games always makes such awesome games, and it having a Linux release too just made it even better.","I absolutely adore indie point-and-click puzzle games, and love the convenience of Steam, so for me The Room was a match made in heaven.","I think The Room is excellent. 2012 was an awesome year for video games, and my favorite style of games are indie point-and-click puzzle games.",,
3PEG1BH7AECO4QWFN9D29O9D54LKBP,3IF0VZGELQ1GIT1BPWJJ3F8CWHN7MH,Write 5 conversational responses about a video game based on its attributes and context (type: give opinion; attributes: 4),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sun Apr 14 12:00:06 PDT 2019,1,BatchId:3606947;OriginalHitTemplateId:920937336;,3600,1296000,Wed Apr 17 00:00:06 PDT 2019,,,3IX2EGZR7C5JVX5GRN4IW8AURFHJRU,A224B7BAQ0MZSN,Submitted,Tue Apr 16 06:17:33 PDT 2019,Tue Apr 16 06:58:24 PDT 2019,Wed May 01 06:58:24 PDT 2019,,,,2451,100% (1/1),0% (0/0),0% (0/0),<b>Age of Empires II: The Age of Kings</b>,Year: <b>1999</b>,,Developer: <b>Ensemble Studios</b>,ESRB content rating: <b>T (for Teen)</b>,Liking: <b>good</b>,Genres: <b>real-time strategy</b>,Player perspective: <b>bird view</b>,Has multiplayer: <b>yes</b>,Platform: <b>PC</b>,Available on Steam: <b>no</b>,Has a Linux release: <b>no</b>,Has a Mac release: <b>yes</b>,"I enjoyed the creativity it required, and I hope that my responses were adequate!",name,rating,release_year,has_multiplayer,name,rating,genres,player_perspective,name,rating,esrb,has_multiplayer,name,rating,available_on_steam,has_linux_release,name,rating,platforms,has_mac_release,"I enjoy Age of Empires II: The Age of Kings, even though it was released in 1999. It has a multiplayer so I can play together with my friends that have it too, which is nice.","I'm a fan of Age of Empires II: The Age of Kings because I've always liked real-time strategy games, and it's a pretty good one. The bird view perspective gives me a good overview of the game experience as I play.","I have fun playing Age of Empires II: The Age of Kings. I like that it has a multiplayer and, since it's only rated T (for Teen), I'm able to play it with friends and younger siblings.","Age of Empires II: The Age of Kings is one game I like to play. Even though it doesn't have a Linux version or a Steam release, to me the game-play is worth being on the appropriate platform.","Age of Empires II: The Age of Kings is a good game for sure. It's a PC game like a lot of what I play, but it also has a Mac release, which allows me to play it on my laptop too.",,
3SR6AEG6W5ETF8OIRGOP47RMYWZHYX,3IF0VZGELQ1GIT1BPWJJ3F8CWHN7MH,Write 5 conversational responses about a video game based on its attributes and context (type: give opinion; attributes: 4),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sun Apr 14 12:00:05 PDT 2019,1,BatchId:3606947;OriginalHitTemplateId:920937336;,3600,1296000,Wed Apr 17 00:00:05 PDT 2019,,,3E47SOBEYRIJUKWRR8TNVCW8EWWCI6,A3UVLXLIBSSF7Z,Submitted,Tue Apr 16 00:25:15 PDT 2019,Tue Apr 16 00:55:54 PDT 2019,Wed May 01 00:55:54 PDT 2019,,,,1839,0% (0/0),0% (0/0),0% (0/0),<b>Tom Clancy's Splinter Cell: Chaos Theory</b>,Year: <b>2005</b>,,Developer: <b>Ubisoft Montreal</b>,ESRB content rating: <b>M (for Mature)</b>,Liking: <b>good</b>,"Genres: <b>action, tactical</b>",Player perspective: <b>first person</b>,Has multiplayer: <b>yes</b>,Platform: <b>PlayStation</b>,,,,,name,rating,has_multiplayer,platforms,name,rating,developer,player_perspective,name,rating,esrb,genres,name,rating,release_year,platforms,name,rating,has_multiplayer,genres,Tom Clancy's Splinter Cell: Chaos Theory is one of PlayStation's best games. I really enjoy destroying my friends in an online multiplayer.,Ubisoft really outdid themselves when they made Tom Clancy's Splinter Cell: Chaos Theory. From the first person perspective it looks so realistic.,Tom Clancy's Splinter Cell: Chaos Theory is a great addition to any gamer's collection. Planning out the defeat of my enemies is always refreshing in this gritty M rated tactical action game.,"Tom Clancy's Splinter Cell: Chaos Theory is pretty damn cool. This 2005 PlayStation game may not be the newest, but it's still a blast to play.",My friends and I love teaming up in Tom Clancy's Splinter Cell: Chaos Theory. We love to group up in multiplayer when playing this action game's tactical gameplay.,,
