HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.name,Input.release_year,Input.exp_release_date,Input.developer,Input.esrb,Input.rating,Input.genres,Input.player_perspective,Input.has_multiplayer,Input.platforms,Input.available_on_steam,Input.has_linux_release,Input.has_mac_release,Answer.feedback,Answer.selected_attr11,Answer.selected_attr12,Answer.selected_attr21,Answer.selected_attr22,Answer.selected_attr31,Answer.selected_attr32,Answer.selected_attr41,Answer.selected_attr42,Answer.selected_attr51,Answer.selected_attr52,Answer.utterance1,Answer.utterance2,Answer.utterance3,Answer.utterance4,Answer.utterance5,Approve,Reject
3QQUBC64ZEZWPZKJPIX0QDH9I2IXNK,3XCYFDC5RLR4IWMN2CYWVJXHRH27OW,Write 5 conversational responses about a video game based on its attributes and context (type: request explanation; attr.: 2),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sun Apr 14 20:17:36 PDT 2019,1,BatchId:3607287;OriginalHitTemplateId:920937336;,3600,1296000,Mon Apr 15 20:17:36 PDT 2019,,,3URFVVM16641B421D329PDL4HY1ZUA,A37RHUAH74N5ZJ,Submitted,Sun Apr 14 20:39:52 PDT 2019,Sun Apr 14 20:51:37 PDT 2019,Mon Apr 29 20:51:37 PDT 2019,,,,705,0% (0/0),0% (0/0),0% (0/0),,Year: <b>2017</b>,,Developer: <b>Tarsier Studios</b>,ESRB content rating: <b>E (for Everyone)</b>,Liking: <b>good</b>,"Genres: <b>adventure, platformer, puzzle</b>",Player perspective: <b>side view</b>,Has multiplayer: <b>no</b>,Platform: <b>PlayStation</b>,,,,"I enjoyed this survey, I think. It was interesting. Some questions/answers were kind of awkward. For example, if you chose the rating question, I would ask, ""Why do you think this is rated E?"" And my response would be ""because it needs to be kid friendly"" or ""so all ages can play."" The slots of five questions/responses felt robotic. It didn't feel like a natural conversation. I felt like I was providing a script.",rating,platforms,rating,genres,rating,player_perspective,rating,has_multiplayer,rating,developer,Why do you like PlayStation games better compared to games on other platforms?,What is it you find interesting about adventure platformers with puzzles?,Why is it that you enjoy games with a side view perspective?,What is that you find fun about single-player games?,So what makes games by Tarsier Studios stand out from the other developers?,,
3B6F54KMR2XLFBRVQLTFUYNE0MC1S9,3XCYFDC5RLR4IWMN2CYWVJXHRH27OW,Write 5 conversational responses about a video game based on its attributes and context (type: request explanation; attr.: 2),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sun Apr 14 20:17:36 PDT 2019,1,BatchId:3607287;OriginalHitTemplateId:920937336;,3600,1296000,Mon Apr 15 20:17:36 PDT 2019,,,3I0BTBYZAY7LQSGGJAM6MZOVVF1Y0N,A1MW021IG07IMF,Submitted,Sun Apr 14 21:47:58 PDT 2019,Sun Apr 14 21:50:40 PDT 2019,Mon Apr 29 21:50:40 PDT 2019,,,,162,100% (7/7),100% (7/7),100% (7/7),,Year: <b>2015</b>,,Developer: <b>Bloober Team</b>,ESRB content rating: <b>M (for Mature)</b>,Liking: <b>poor</b>,"Genres: <b>adventure, indie, point-and-click</b>",Player perspective: <b>first person</b>,Has multiplayer: <b>no</b>,Platform: <b>Xbox</b>,,,,,rating,platforms,rating,player_perspective,rating,has_multiplayer,rating,esrb,rating,developer,So why is it you hate Xbox games so much?,What is it about first person perspective games that makes you dislike them the way you do?,Why don't you ever enjoy games without multiplayer?,What is it about M-rated games that you find so off-putting?,What is it about Bloober Team games that makes you find them boring and frustrating?,,
3NRZ1LDP7WRLXFWB6FYDRN2FQHHPZ5,3XCYFDC5RLR4IWMN2CYWVJXHRH27OW,Write 5 conversational responses about a video game based on its attributes and context (type: request explanation; attr.: 2),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sun Apr 14 20:17:36 PDT 2019,1,BatchId:3607287;OriginalHitTemplateId:920937336;,3600,1296000,Mon Apr 15 20:17:36 PDT 2019,,,3B3WTRP3DCODL1BMQLY466OJJ4092T,A1MW021IG07IMF,Submitted,Sun Apr 14 21:42:32 PDT 2019,Sun Apr 14 21:44:57 PDT 2019,Mon Apr 29 21:44:57 PDT 2019,,,,145,100% (7/7),100% (7/7),100% (7/7),,Year: <b>2010</b>,,Developer: <b>Days of Wonder</b>,,Liking: <b>poor</b>,"Genres: <b>indie, trivia/board game</b>",,Has multiplayer: <b>yes</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>yes</b>,Has a Mac release: <b>yes</b>,,rating,platforms,rating,has_multiplayer,rating,developer,rating,genres,rating,has_mac_release,What is it about PC games that makes you find them so unpleasant?,Why don't you ever enjoy multiplayer games?,What is it about games made by Days of Wonder that makes you unable to stand them?,Why don't you ever enjoy indie trivia/board games?,"If a game has a Mac release you always find the game boring and unpleasant, why is that?",,
3FULMHZ7OUIZ9FB9T6GVGNVBKH44MD,3XCYFDC5RLR4IWMN2CYWVJXHRH27OW,Write 5 conversational responses about a video game based on its attributes and context (type: request explanation; attr.: 2),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sun Apr 14 20:17:36 PDT 2019,1,BatchId:3607287;OriginalHitTemplateId:920937336;,3600,1296000,Mon Apr 15 20:17:36 PDT 2019,,,35L9RVQFCP4FKJ277HW2P6HZL83UHY,A1MW021IG07IMF,Submitted,Sun Apr 14 23:25:23 PDT 2019,Sun Apr 14 23:29:10 PDT 2019,Mon Apr 29 23:29:10 PDT 2019,,,,227,100% (7/7),100% (7/7),100% (7/7),,Year: <b>2009</b>,,Developer: <b>Ubisoft Montreal</b>,ESRB content rating: <b>M (for Mature)</b>,Liking: <b>good</b>,"Genres: <b>action-adventure, platformer</b>",Player perspective: <b>third person</b>,Has multiplayer: <b>no</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>no</b>,Has a Mac release: <b>yes</b>,,rating,genres,rating,developer,rating,available_on_steam,rating,player_perspective,rating,has_multiplayer,So what is it about action-adventure platformers that makes you enjoy them?,"You've mentioned finding games by Ubisoft Montreal to be pretty good, why is that?",What is it about Steam games that you find to be good?,"I know you enjoy third person games, what is it about that perspective that you like?","You seem to enjoy single-player only games a fair amount, what is it you like about them?",,
3GONHBMNHVJFCCZYEZ6LAJ8KLC6ZMJ,3XCYFDC5RLR4IWMN2CYWVJXHRH27OW,Write 5 conversational responses about a video game based on its attributes and context (type: request explanation; attr.: 2),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sun Apr 14 20:17:36 PDT 2019,1,BatchId:3607287;OriginalHitTemplateId:920937336;,3600,1296000,Mon Apr 15 20:17:36 PDT 2019,,,3SKEMFQBZ4R8OCW2AZYU66F2GY2K8Z,A1MW021IG07IMF,Submitted,Sun Apr 14 21:27:33 PDT 2019,Sun Apr 14 21:33:02 PDT 2019,Mon Apr 29 21:33:02 PDT 2019,,,,329,100% (7/7),100% (7/7),100% (7/7),,Year: <b>1999</b>,,Developer: <b>Attention To Detail</b>,ESRB content rating: <b>E (for Everyone)</b>,Liking: <b>average</b>,"Genres: <b>action, driving/racing</b>",Player perspective: <b>third person</b>,Has multiplayer: <b>yes</b>,Platform: <b>PlayStation</b>,,,,,rating,platforms,rating,player_perspective,rating,has_multiplayer,rating,developer,rating,release_year,So what is it about PlayStation games that causes you to find them so average?,"You've mentioned you find third person perspective games to be just okay, why is that?",Can you explain to me why you find multiplayer games to be neither good nor bad?,"You've said you find games developed by Attention To Detail to be okay but not great, what is it about them that makes you say that?",What is it about games released in 1999 that makes you feel so-so about them all?,,
3XD2A6FGFNF34GUQUY88945XYYZS98,3XCYFDC5RLR4IWMN2CYWVJXHRH27OW,Write 5 conversational responses about a video game based on its attributes and context (type: request explanation; attr.: 2),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sun Apr 14 20:17:36 PDT 2019,1,BatchId:3607287;OriginalHitTemplateId:920937336;,3600,1296000,Mon Apr 15 20:17:36 PDT 2019,,,3JPSL1DZ5TLNF6AK4AAOUP210H8NAC,A1MW021IG07IMF,Submitted,Sun Apr 14 21:37:45 PDT 2019,Sun Apr 14 21:42:32 PDT 2019,Mon Apr 29 21:42:32 PDT 2019,,,,287,100% (7/7),100% (7/7),100% (7/7),,Year: <b>2013</b>,,Developer: <b>Telltale Games</b>,ESRB content rating: <b>M (for Mature)</b>,Liking: <b>good</b>,"Genres: <b>adventure, point-and-click</b>",Player perspective: <b>third person</b>,Has multiplayer: <b>no</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>no</b>,Has a Mac release: <b>yes</b>,,rating,available_on_steam,rating,genres,rating,has_mac_release,rating,developer,rating,player_perspective,Why do you feel Steam games are pretty good?,What is it about point and click adventure games that makes you enjoy them?,So what is it about games with Mac releases that makes you like them like you do?,Can you please explain to me a bit more about why you enjoy games developed by Telltale Games?,What is it about a third person perspective in video games that makes you like them?,,
3MDKGGG61Q8H1X57LRAMZZAHAG66T1,3XCYFDC5RLR4IWMN2CYWVJXHRH27OW,Write 5 conversational responses about a video game based on its attributes and context (type: request explanation; attr.: 2),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sun Apr 14 20:17:36 PDT 2019,1,BatchId:3607287;OriginalHitTemplateId:920937336;,3600,1296000,Mon Apr 15 20:17:36 PDT 2019,,,3K2755HG5TP9PL0FQWIDCL1YJTWDFA,A1MW021IG07IMF,Submitted,Sun Apr 14 23:31:31 PDT 2019,Sun Apr 14 23:33:49 PDT 2019,Mon Apr 29 23:33:49 PDT 2019,,,,138,100% (7/7),100% (7/7),100% (7/7),,Year: <b>2015</b>,,Developer: <b>Visual Concepts</b>,ESRB content rating: <b>E 10+ (for Everyone 10 and Older)</b>,Liking: <b>good</b>,Genres: <b>sport</b>,Player perspective: <b>third person</b>,Has multiplayer: <b>yes</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>no</b>,Has a Mac release: <b>no</b>,,rating,developer,rating,platforms,rating,genres,rating,player_perspective,rating,has_multiplayer,"I know you tend to enjoy games made by Visual Concepts, why is that?",What is it about PC games that makes you enjoy them like you do?,Why do you always seem to have fun when you play sports games?,"You seem to gravitate to and enjoy games with a third person perspective, what's the reason for that?","You like multiplayer games quite a bit, can you tell me why that is?",,
34D9ZRXCYRFH9Z4VM4M85ZGH4GHSAN,3XCYFDC5RLR4IWMN2CYWVJXHRH27OW,Write 5 conversational responses about a video game based on its attributes and context (type: request explanation; attr.: 2),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sun Apr 14 20:17:36 PDT 2019,1,BatchId:3607287;OriginalHitTemplateId:920937336;,3600,1296000,Mon Apr 15 20:17:36 PDT 2019,,,3ZQIG0FLQF2XUOMW76S7MVT5E3PWVP,A1MW021IG07IMF,Submitted,Sun Apr 14 23:29:10 PDT 2019,Sun Apr 14 23:31:30 PDT 2019,Mon Apr 29 23:31:30 PDT 2019,,,,140,100% (7/7),100% (7/7),100% (7/7),,Year: <b>2004</b>,,Developer: <b>Valve Corporation</b>,ESRB content rating: <b>M (for Mature)</b>,Liking: <b>excellent</b>,Genres: <b>shooter</b>,Player perspective: <b>first person</b>,Has multiplayer: <b>no</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>yes</b>,Has a Mac release: <b>yes</b>,,rating,genres,rating,release_year,rating,platforms,rating,has_mac_release,rating,developer,"You absolutely love shooter games, what is it about that genre that you find so thrilling?","You often mention 2004 as the best year for games, what was it about the games released that year that makes you love them so much?",Why do you love PC games more than any others?,"You're always super excited when you learn a game has a Mac release, why do you love Mac games so much?",What is it about games developed by Valve Corporation that makes you feel they're so awesome?,,
3PEG1BH7AECO4QWFN9D29O9D54PKBT,3XCYFDC5RLR4IWMN2CYWVJXHRH27OW,Write 5 conversational responses about a video game based on its attributes and context (type: request explanation; attr.: 2),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sun Apr 14 20:17:36 PDT 2019,1,BatchId:3607287;OriginalHitTemplateId:920937336;,3600,1296000,Mon Apr 15 20:17:36 PDT 2019,,,39GXDJN2OU0M4NQE93C18FQJWWA8VA,A1MW021IG07IMF,Submitted,Sun Apr 14 21:33:02 PDT 2019,Sun Apr 14 21:37:44 PDT 2019,Mon Apr 29 21:37:44 PDT 2019,,,,282,100% (7/7),100% (7/7),100% (7/7),,Year: <b>2018</b>,,Developer: <b>SIE Santa Monica Studio</b>,ESRB content rating: <b>M (for Mature)</b>,Liking: <b>excellent</b>,"Genres: <b>action-adventure, platformer, role-playing</b>",Player perspective: <b>third person</b>,Has multiplayer: <b>no</b>,Platform: <b>PlayStation</b>,,,,,rating,developer,rating,esrb,rating,release_year,rating,player_perspective,rating,genres,"Hey, what it is about games developed by SIE Santa Monica Studio that makes you love them so much?",Why do you always love M rated games so much more than games with other ratings?,"You said 2018 is one of your favorite years for video games of all time, why is that?",What is it about games with a third person perspective that makes you find them so excellent,What is it about action-adventure RPG platformers that you find so amazingly appealing?,,
371QPA24C29MUB4AFLY543J025Q1TY,3XCYFDC5RLR4IWMN2CYWVJXHRH27OW,Write 5 conversational responses about a video game based on its attributes and context (type: request explanation; attr.: 2),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sun Apr 14 20:17:36 PDT 2019,1,BatchId:3607287;OriginalHitTemplateId:920937336;,3600,1296000,Mon Apr 15 20:17:36 PDT 2019,,,3GM6G9ZBKOJMCKOTY9M5CF3TJGKTM4,A1MW021IG07IMF,Submitted,Sun Apr 14 21:44:58 PDT 2019,Sun Apr 14 21:47:57 PDT 2019,Mon Apr 29 21:47:57 PDT 2019,,,,179,100% (7/7),100% (7/7),100% (7/7),,Year: <b>2005</b>,,Developer: <b>Capcom Production Studio 4</b>,ESRB content rating: <b>M (for Mature)</b>,Liking: <b>excellent</b>,"Genres: <b>action-adventure, shooter</b>",Player perspective: <b>third person</b>,Has multiplayer: <b>no</b>,Platform: <b>Nintendo</b>,,,,,rating,platforms,rating,genres,rating,release_year,rating,developer,rating,esrb,What is it about Nintendo games that makes you rave about how awesome they are?,Why is it that action-adventure shooters are always your favorite games?,What is it about games released in 2005 that makes you say it's such a good year for video games?,Why is Capcom Production Studio 4 the developer whose games you love more than anyone's?,"You always praise M-rated games, what's the reason for that?",,
