HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.name,Input.release_year,Input.exp_release_date,Input.developer,Input.esrb,Input.rating,Input.genres,Input.player_perspective,Input.has_multiplayer,Input.platforms,Input.available_on_steam,Input.has_linux_release,Input.has_mac_release,Answer.feedback,Answer.selected_attr11,Answer.selected_attr12,Answer.selected_attr13,Answer.selected_attr14,Answer.selected_attr21,Answer.selected_attr22,Answer.selected_attr23,Answer.selected_attr24,Answer.selected_attr31,Answer.selected_attr32,Answer.selected_attr33,Answer.selected_attr34,Answer.selected_attr41,Answer.selected_attr42,Answer.selected_attr43,Answer.selected_attr44,Answer.selected_attr51,Answer.selected_attr52,Answer.selected_attr53,Answer.selected_attr54,Answer.utterance1,Answer.utterance2,Answer.utterance3,Answer.utterance4,Answer.utterance5,Approve,Reject
3RSBJ6YZECBX7YTAQ3RRZVH747NOFV,3M55KGTKUZAPK9G5FED4H7IXAK84PQ,Write 5 conversational responses about a video game based on its attributes and context (type: verify attribute; attributes: 4),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sun Apr 14 12:32:22 PDT 2019,1,BatchId:3606953;OriginalHitTemplateId:920937336;,3600,1296000,Tue Apr 16 12:32:22 PDT 2019,,,3X87C8JFV7XCIZ9612OWJJRCR83QSJ,A1MW021IG07IMF,Submitted,Mon Apr 15 21:27:25 PDT 2019,Mon Apr 15 21:31:28 PDT 2019,Tue Apr 30 21:31:28 PDT 2019,,,,243,100% (27/27),100% (27/27),100% (27/27),<b>Assassin's Creed II</b>,Year: <b>2009</b>,,Developer: <b>Ubisoft Montreal</b>,ESRB content rating: <b>M (for Mature)</b>,Liking: <b>good</b>,"Genres: <b>action-adventure, platformer</b>",Player perspective: <b>third person</b>,Has multiplayer: <b>no</b>,Platform: <b>PlayStation</b>,,,,,name,rating,platforms,genres,name,rating,esrb,developer,name,rating,player_perspective,genres,name,rating,platforms,release_year,name,rating,platforms,developer,"You said that Assassin's Creed II was pretty fun. In general, do you enjoy playing the action-adventure platformers that are available for PlayStation?",I know you said earlier that Assassin's Creed II was quite good. Would you say you're a fan of the M rated games developed by Ubisoft Montreal?,"So you said that you had a good time playing Assassin's Creed II the other day. Generally speaking, do you like playing third person action-adventure platformers?","A couple minutes ago you mentioned Assassin's Creed II, and said you liked it. In general, do you like the games that were released for the PlayStation in 2009?","You said you liked Assassin's Creed II a moment ago. Do you, generally speaking, enjoy playing the PlayStation games developed by Ubisoft Montreal?",,
3NBFJK3IOH33LYP51NX9HGHJ5MNOGU,3M55KGTKUZAPK9G5FED4H7IXAK84PQ,Write 5 conversational responses about a video game based on its attributes and context (type: verify attribute; attributes: 4),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sun Apr 14 12:32:22 PDT 2019,1,BatchId:3606953;OriginalHitTemplateId:920937336;,3600,1296000,Tue Apr 16 12:32:22 PDT 2019,,,3NPI0JQDAPRSXNL6QPEXTJXOOVNTPC,A1MW021IG07IMF,Submitted,Mon Apr 15 20:50:44 PDT 2019,Mon Apr 15 20:58:56 PDT 2019,Tue Apr 30 20:58:56 PDT 2019,,,,492,100% (27/27),100% (27/27),100% (27/27),<b>The Vanishing of Ethan Carter</b>,Year: <b>2014</b>,,Developer: <b>The Astronauts</b>,ESRB content rating: <b>M (for Mature)</b>,Liking: <b>average</b>,"Genres: <b>adventure, indie</b>",Player perspective: <b>first person</b>,Has multiplayer: <b>no</b>,Platform: <b>Xbox</b>,,,,,name,rating,genres,player_perspective,name,rating,developer,platforms,name,rating,esrb,platforms,name,rating,player_perspective,esrb,name,rating,developer,genres,"You said that you found The Vanishing of Ethan Carter to be okay, but not all that great. In general, do you feel that way about indie adventure games that are played from a first person perspective?","Earlier you said that The Vanishing of Ethan Carter wasn't a bad game, but also wasn't that good, that it was merely okay. Do you have the same thoughts on the other Xbox games developed by The Astronauts?",I remember you mentioning that The Vanishing of Ethan Carter was so-so in quality. Do you in general feel that way about M rated games released on the Xbox?,"So The Vanishing of Ethan Carter, I remember you saying, is a game you felt had potential but ultimately ended up merely average. I'm curious, do you feel similarly about other M rated games that are played in a first person perspective?","So you said you felt that The Vanishing of Ethan Carter wasn't a game you hated, but wasn't really a game you loved either, very much middle of the road. Do you in general feel that way about the indie adventure games developed by The Astronauts?",,
39WSF6KUV2651KTEVS7LHDW7S68OED,3M55KGTKUZAPK9G5FED4H7IXAK84PQ,Write 5 conversational responses about a video game based on its attributes and context (type: verify attribute; attributes: 4),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sun Apr 14 12:32:22 PDT 2019,1,BatchId:3606953;OriginalHitTemplateId:920937336;,3600,1296000,Tue Apr 16 12:32:22 PDT 2019,,,35USIKEBNS2MS4YHEXTCEK0F4466N5,A8VAYDSZ6Z6K4,Submitted,Mon Apr 15 12:01:24 PDT 2019,Mon Apr 15 12:23:55 PDT 2019,Tue Apr 30 12:23:55 PDT 2019,,,,1351,100% (2/2),100% (2/2),100% (2/2),<b>Tomb Raider: The Last Revelation</b>,Year: <b>1999</b>,,Developer: <b>Core Design</b>,ESRB content rating: <b>T (for Teen)</b>,Liking: <b>good</b>,"Genres: <b>action-adventure, puzzle, shooter</b>",Player perspective: <b>third person</b>,Has multiplayer: <b>no</b>,Platform: <b>PlayStation</b>,,,,,name,rating,player_perspective,platforms,name,rating,genres,esrb,name,rating,platforms,developer,name,rating,has_multiplayer,platforms,name,rating,genres,release_year,"Before, you mentioned enjoying Tomb Raider: The Last Revelation. In general, do you like playing games with a third-person perspective on the PlayStation?",You said that you liked Tomb Raider: The Last Revelation. Does that liking extend to other action-adventure puzzle and shooter games with a T (for Teen) rating?,Earlier you mentioned liking the game Tomb Raider: The Last Revelation. How about other games by Core Design for the PlayStation; do you like them as well?,Previously you stated that Tomb Raider: The Last Revelation was a game you liked. Do you normally like playing single-player games for the PlayStation Platform?,So you like playing Tomb Raider: The Last Revelation. Do you feel the same way about other action-adventure puzzle/shooter games from 1999?,,
3SU800BH86DPBS3G05EUA0DATVKQU4,3M55KGTKUZAPK9G5FED4H7IXAK84PQ,Write 5 conversational responses about a video game based on its attributes and context (type: verify attribute; attributes: 4),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sun Apr 14 12:32:22 PDT 2019,1,BatchId:3606953;OriginalHitTemplateId:920937336;,3600,1296000,Tue Apr 16 12:32:22 PDT 2019,,,32XVDSJFP0JSSLUGFU29BSU3JCPM25,A1MW021IG07IMF,Submitted,Mon Apr 15 19:17:11 PDT 2019,Mon Apr 15 19:21:24 PDT 2019,Tue Apr 30 19:21:24 PDT 2019,,,,253,100% (27/27),100% (27/27),100% (27/27),<b>NHL 15</b>,Year: <b>2014</b>,,Developer: <b>EA Canada</b>,ESRB content rating: <b>E 10+ (for Everyone 10 and Older)</b>,Liking: <b>average</b>,"Genres: <b>simulation, sport</b>",Player perspective: <b>bird view</b>,Has multiplayer: <b>yes</b>,Platform: <b>PlayStation</b>,,,,,name,rating,developer,platforms,name,rating,genres,player_perspective,name,rating,release_year,platforms,name,rating,developer,genres,name,rating,genres,has_multiplayer,You said that NHL 15 was in your view merely average. Do you have a similar opinion on the rest of EA Canada's games for the PlayStation?,I know you mentioned that NHL 15 was in your mind pretty so-so in quality. Do you feel that other sports simulators played from a bird view perspective are of average quality too?,You said that in your mind NHL 15 was neither bad nor was it great. Do you feel the same about the other games for the PlayStation released in 2014?,"You mentioned that you think that NHL 15 is okay but that it doesn't stand out from the crowd. I'm wondering, do you feel the same way about EA Canada's other sports simulators?",You said that NHL 15 could be fun but was mostly just average. Do you in general feel that multiplayer sports simulators are merely average like that?,,
3TTPFEFXCT5RWOECLXTXLG7TZM6H6X,3M55KGTKUZAPK9G5FED4H7IXAK84PQ,Write 5 conversational responses about a video game based on its attributes and context (type: verify attribute; attributes: 4),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sun Apr 14 12:32:22 PDT 2019,1,BatchId:3606953;OriginalHitTemplateId:920937336;,3600,1296000,Tue Apr 16 12:32:22 PDT 2019,,,34T446B1C108NPFBNI4HP8WCS02C0U,A1MW021IG07IMF,Submitted,Mon Apr 15 19:30:52 PDT 2019,Mon Apr 15 19:36:24 PDT 2019,Tue Apr 30 19:36:24 PDT 2019,,,,332,100% (27/27),100% (27/27),100% (27/27),<b>Football Manager 2015</b>,Year: <b>2014</b>,,Developer: <b>Sports Interactive</b>,,Liking: <b>good</b>,"Genres: <b>simulation, sport, strategy</b>",,Has multiplayer: <b>yes</b>,,,,,,name,rating,release_year,developer,name,rating,genres,developer,name,rating,genres,release_year,name,rating,genres,has_multiplayer,name,rating,developer,has_multiplayer,You said you had an enjoyable time playing Football Manager 2015. Do you also like the other games developed by Sports Interactive that were released in 2014?,"You said that Football Manager 2015 was a pretty good game. In general, do you enjoy strategy sport simulators developed by Sports Interactive?","You quite liked Football Manager 2015, you mentioned. Do you similarly enjoy the other strategy sport simulators that came out in 2014",You said that Football Manager 2015 was a fun time. Do you also enjoy other strategy sport simulators with multiplayer?,You mentioned that you found Football Manager 2015 to be a good game. Do you also enjoy other games made by Sports Interactive that feature multiplayer?,,
3511RHPADVZM43VM46BTO3RWCQTLR6,3M55KGTKUZAPK9G5FED4H7IXAK84PQ,Write 5 conversational responses about a video game based on its attributes and context (type: verify attribute; attributes: 4),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sun Apr 14 12:32:22 PDT 2019,1,BatchId:3606953;OriginalHitTemplateId:920937336;,3600,1296000,Tue Apr 16 12:32:22 PDT 2019,,,3J2UYBXQQMYJ786ADRRE3842WCW06R,A2CUBA783W1689,Submitted,Mon Apr 15 13:48:44 PDT 2019,Mon Apr 15 14:13:07 PDT 2019,Tue Apr 30 14:13:07 PDT 2019,,,,1463,0% (0/0),0% (0/0),0% (0/0),<b>Tom Clancy's The Division</b>,Year: <b>2016</b>,,Developer: <b>Massive Entertainment</b>,ESRB content rating: <b>M (for Mature)</b>,Liking: <b>average</b>,"Genres: <b>role-playing, shooter, tactical</b>",Player perspective: <b>third person</b>,Has multiplayer: <b>yes</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>no</b>,Has a Mac release: <b>no</b>,,name,rating,available_on_steam,developer,name,rating,has_multiplayer,platforms,name,rating,has_linux_release,esrb,name,rating,genres,has_mac_release,name,rating,release_year,player_perspective,Previously you told me that you aren't a real big fan of Tom Clancy's The Division. Is that the case with all games developed by Massive Entertainment that are on Steam?,Previously you told me that you aren't a real big fan of Tom Clancy's The Division. Is that the case with all multiplayer PC games?,"Previously you told me that you aren't a real big fan of Tom Clancy's The Division. Is that because it's not available on Linux, or because it's rated Mature?",Previously you told me that you aren't a real big fan of Tom Clancy's The Division. Is that the case with all shooters with no Mac release?,"Previously you told me that you aren't a real big fan of Tom Clancy's The Division. Do you prefer 3rd person shooters from another year than 2016, such as 2013 or today (2019)?",,
371QPA24C29MUB4AFLY543J025LT1L,3M55KGTKUZAPK9G5FED4H7IXAK84PQ,Write 5 conversational responses about a video game based on its attributes and context (type: verify attribute; attributes: 4),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sun Apr 14 12:32:22 PDT 2019,1,BatchId:3606953;OriginalHitTemplateId:920937336;,3600,1296000,Tue Apr 16 12:32:22 PDT 2019,,,3GFK2QRXXA3GWU7H1FAUIXZ61KV5W9,A1POAW2RQBTBXB,Submitted,Mon Apr 15 11:25:02 PDT 2019,Mon Apr 15 11:41:00 PDT 2019,Tue Apr 30 11:41:00 PDT 2019,,,,958,0% (0/0),0% (0/0),0% (0/0),<b>Commandos: Behind Enemy Lines</b>,Year: <b>1998</b>,,Developer: <b>Pyro Studios</b>,ESRB content rating: <b>T (for Teen)</b>,Liking: <b>good</b>,"Genres: <b>strategy, tactical</b>",Player perspective: <b>bird view</b>,Has multiplayer: <b>yes</b>,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,Has a Linux release: <b>no</b>,Has a Mac release: <b>no</b>,,name,rating,release_year,developer,name,rating,esrb,genres,name,rating,player_perspective,has_multiplayer,name,rating,platforms,available_on_steam,name,rating,platforms,genres,I know you like Commandos : Behind Enemy Lines so much. Have you checked out any other games made around 1998 by Pyro Studios?,I remember you saying you enjoyed Commandos: Behind Enemy Lines. Do you generally like playing tactical strategy games with a T rating?,I heard you say that you liked Commandos: Behind Enemy Lines. Do you feel the same way about all multiplayer bird view games?,You told me you like Commandos: Behind Enemy Lines. Do you play any other PC games that are also available on Steam?,I know you like Commandos: Behind Enemy Lines. Do you recommend any other tactical strategy games for the PC?,,
33EEIIWHK7SPO7SG5VOZ6MFT72TQVT,3M55KGTKUZAPK9G5FED4H7IXAK84PQ,Write 5 conversational responses about a video game based on its attributes and context (type: verify attribute; attributes: 4),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sun Apr 14 12:32:22 PDT 2019,1,BatchId:3606953;OriginalHitTemplateId:920937336;,3600,1296000,Tue Apr 16 12:32:22 PDT 2019,,,32RIADZISTQ5TUM835HJGGQ7VG64S0,A1MW021IG07IMF,Submitted,Mon Apr 15 20:18:00 PDT 2019,Mon Apr 15 20:22:26 PDT 2019,Tue Apr 30 20:22:26 PDT 2019,,,,266,100% (27/27),100% (27/27),100% (27/27),<b>Outlast II</b>,Year: <b>2017</b>,,Developer: <b>Red Barrels</b>,ESRB content rating: <b>M (for Mature)</b>,Liking: <b>average</b>,"Genres: <b>adventure, indie</b>",Player perspective: <b>first person</b>,Has multiplayer: <b>no</b>,Platform: <b>Xbox</b>,,,,,name,rating,platforms,genres,name,rating,player_perspective,genres,name,rating,platforms,release_year,name,rating,developer,player_perspective,name,rating,esrb,genres,You said that Outlast II wasn't a bad game but could have been quite a bit better. Do you feel the same way about other indie adventure games for the Xbox?,"You said that Outlast II was, to sum it up, thoroughly average. I'm curious, do you feel similarly about other first person indie adventure games?",So you mentioned that Outlast II was just plain old average in quality. Do you think that also applies to the other games released for the Xbox in 2017?,You mentioned that Outlast II was so-so in quality. Do you feel the same way about other first person perspective games developed by Red Barrels?,"If I remember right earlier you said you felt Outlast II was average, you didn't waste your time but you weren't blown away either. Do you have similar thoughts about M rated indie adventure games in general?",,
3SR6AEG6W5ETF8OIRGOP47RMYWZYHE,3M55KGTKUZAPK9G5FED4H7IXAK84PQ,Write 5 conversational responses about a video game based on its attributes and context (type: verify attribute; attributes: 4),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sun Apr 14 12:32:22 PDT 2019,1,BatchId:3606953;OriginalHitTemplateId:920937336;,3600,1296000,Mon Apr 15 12:32:22 PDT 2019,,,3Z3ZLGNNSJG8YIORBNNVBBJ0ZIP3Q5,A2EED3HLTA96CP,Submitted,Sun Apr 14 16:10:00 PDT 2019,Sun Apr 14 16:54:05 PDT 2019,Mon Apr 29 16:54:05 PDT 2019,,,,2645,100% (12/12),100% (12/12),100% (12/12),<b>Uncharted 4: A Thief's End</b>,Year: <b>2016</b>,,Developer: <b>Naughty Dog</b>,ESRB content rating: <b>T (for Teen)</b>,Liking: <b>excellent</b>,"Genres: <b>action-adventure, shooter</b>",Player perspective: <b>third person</b>,Has multiplayer: <b>yes</b>,Platform: <b>PlayStation</b>,,,,,name,rating,developer,genres,name,rating,has_multiplayer,player_perspective,name,rating,developer,release_year,name,rating,esrb,has_multiplayer,name,rating,esrb,player_perspective,"I remember you saying that you really loved A Thief's End. Does that mean you like all action-adventure, shooter games by Naughty Dog?",I remember you saying that you really loved A Thief's End. Is that the case with all multi-player third person perspective games?,I remember you saying that you really loved A Thief's End. Is that the case with all Naughty Dog games from 2016?,I remember you saying that you really loved A Thief's End. Do you in general like T for Teen rated multiplayer games?,I remember you saying that you really loved A Thief's End. Do you in general like T for Teen rated third person perspective games?,,
35XW21VSVGZY5IVZJVBYEDWSYSCLSU,3M55KGTKUZAPK9G5FED4H7IXAK84PQ,Write 5 conversational responses about a video game based on its attributes and context (type: verify attribute; attributes: 4),"Produce dialogic utterances given specific attributes about video games, such as their name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.50 ,Sun Apr 14 12:32:22 PDT 2019,1,BatchId:3606953;OriginalHitTemplateId:920937336;,3600,1296000,Tue Apr 16 12:32:22 PDT 2019,,,3PMBY0YE28PQJJ3ONENAIJX5V529CB,A1MW021IG07IMF,Submitted,Mon Apr 15 20:38:09 PDT 2019,Mon Apr 15 20:42:36 PDT 2019,Tue Apr 30 20:42:36 PDT 2019,,,,267,100% (27/27),100% (27/27),100% (27/27),<b>Rollcage</b>,Year: <b>1999</b>,,Developer: <b>Attention To Detail</b>,ESRB content rating: <b>E (for Everyone)</b>,Liking: <b>average</b>,"Genres: <b>action, driving/racing</b>",Player perspective: <b>third person</b>,Has multiplayer: <b>yes</b>,Platform: <b>PC</b>,Available on Steam: <b>no</b>,Has a Linux release: <b>no</b>,Has a Mac release: <b>no</b>,,name,rating,player_perspective,genres,name,rating,platforms,developer,name,rating,platforms,release_year,name,rating,platforms,has_linux_release,name,rating,genres,developer,You mentioned just a bit ago that you found Rollcage to be average. Do you feel similarly about third person action driving/racing games in general?,You mentioned that Rollcage wasn't bad but was also kind of mediocre. Do you feel the same way about the rest of Attention To Detail's PC lineup?,"You said just now that Rollcage was an okay game but could have been better. I'm curious, do you have a feel that way about the games released for the PC in 1999 in general?",You said that Rollcage was just average a moment ago. Do you feel that way about all PC games that lack a Linux release?,You mentioned that you didn't hate Rollcage but it didn't impress you either. Do you have similar thoughts about the other action driving/racing games developed by Attention To Detail?,,
