HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.name,Input.release_year,Input.exp_release_date,Input.developer,Input.esrb,Input.rating,Input.genres,Input.player_perspective,Input.has_multiplayer,Input.platforms,Input.available_on_steam,Input.has_linux_release,Input.has_mac_release,Answer.feedback,Answer.utterance,Approve,Reject
34KYK9TV2RTMS99NSIM40A0NMF3SBH,3UFCYGUHNQQ9Y9JIE01KLQPUQ4PTNG,Write a conversational response about a video game based on its given attributes and context (type: give opinion; attributes: 4),"Produce a dialogic utterance given specific attributes about a video game, such as its name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.08 ,Tue Apr 23 01:02:41 PDT 2019,2,BatchId:3617195;OriginalHitTemplateId:920937336;,3600,1296000,Tue Apr 30 01:02:41 PDT 2019,,,36V4Q8R5ZLM9K4W1H5SA7AS62GEMQT,A1ELPYAFO7MANS,Submitted,Mon Apr 29 20:08:22 PDT 2019,Mon Apr 29 20:09:13 PDT 2019,Tue May 14 20:09:13 PDT 2019,,,,51,100% (100/100),100% (100/100),100% (73/73),<b>Need for Speed: Shift</b>,,,Developer: <b>Slightly Mad Studios</b>,,Liking: <b>average</b>,"Genres: <b>driving/racing, simulation</b>",,,,,,,,Need for Speed: Shift is an OK game. It's one of a long line of simulation driving/racing games by Slightly Mad Studios that are pretty good but not great.,,
34KYK9TV2RTMS99NSIM40A0NMF3SBH,3UFCYGUHNQQ9Y9JIE01KLQPUQ4PTNG,Write a conversational response about a video game based on its given attributes and context (type: give opinion; attributes: 4),"Produce a dialogic utterance given specific attributes about a video game, such as its name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.08 ,Tue Apr 23 01:02:41 PDT 2019,2,BatchId:3617195;OriginalHitTemplateId:920937336;,3600,1296000,Tue Apr 30 01:02:41 PDT 2019,,,39ZSFO5CA9IBBPXXVHZN1JXE01TUJT,A2ITJNPW1LDUN7,Submitted,Tue Apr 23 16:35:29 PDT 2019,Tue Apr 23 16:36:55 PDT 2019,Wed May 08 16:36:55 PDT 2019,,,,86,100% (334/334),100% (334/334),100% (277/277),<b>Need for Speed: Shift</b>,,,Developer: <b>Slightly Mad Studios</b>,,Liking: <b>average</b>,"Genres: <b>driving/racing, simulation</b>",,,,,,,,"Need for Speed: Shift was a decent driving simulator. Slightly Mad Studios did decently overall, but nothing amazing came from it.",,
3D1TUISJWILCUUFXNX9L1YMO228UI8,3UFCYGUHNQQ9Y9JIE01KLQPUQ4PTNG,Write a conversational response about a video game based on its given attributes and context (type: give opinion; attributes: 4),"Produce a dialogic utterance given specific attributes about a video game, such as its name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.08 ,Tue Apr 23 01:02:41 PDT 2019,2,BatchId:3617195;OriginalHitTemplateId:920937336;,3600,1296000,Mon Apr 29 01:02:41 PDT 2019,,,31EUONYN2WPPPFDUGK1X51GJD11VOP,A2ITJNPW1LDUN7,Submitted,Tue Apr 23 11:44:27 PDT 2019,Tue Apr 23 11:54:01 PDT 2019,Wed May 08 11:54:01 PDT 2019,,,,574,100% (334/334),100% (334/334),100% (277/277),<b>Need for Speed: Shift</b>,,,,ESRB content rating: <b>E (for Everyone)</b>,Liking: <b>average</b>,,,,Platform: <b>PlayStation</b>,,,,,"I sort of liked Need for Speed: Shift. I picked it up when I first got my Playstation because I figured a nice E game would have general appeal, but honestly it didn't leave much impact on me.",,
3D1TUISJWILCUUFXNX9L1YMO228UI8,3UFCYGUHNQQ9Y9JIE01KLQPUQ4PTNG,Write a conversational response about a video game based on its given attributes and context (type: give opinion; attributes: 4),"Produce a dialogic utterance given specific attributes about a video game, such as its name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.08 ,Tue Apr 23 01:02:41 PDT 2019,2,BatchId:3617195;OriginalHitTemplateId:920937336;,3600,1296000,Mon Apr 29 01:02:41 PDT 2019,,,3DIP6YHAPDE52C4SEDNR8B2XZ028E0,A2RCYLKY072XXO,Submitted,Sun Apr 28 14:45:26 PDT 2019,Sun Apr 28 14:46:35 PDT 2019,Mon May 13 14:46:35 PDT 2019,,,,69,100% (88/88),100% (88/88),100% (88/88),<b>Need for Speed: Shift</b>,,,,ESRB content rating: <b>E (for Everyone)</b>,Liking: <b>average</b>,,,,Platform: <b>PlayStation</b>,,,,,"Need for Speed: Shift was an OK release for the PlayStation. I am indifferent about games rated E,",,
3QQUBC64ZEZWPZKJPIX0QDH9IJJNX9,3UFCYGUHNQQ9Y9JIE01KLQPUQ4PTNG,Write a conversational response about a video game based on its given attributes and context (type: give opinion; attributes: 4),"Produce a dialogic utterance given specific attributes about a video game, such as its name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.08 ,Tue Apr 23 01:02:41 PDT 2019,2,BatchId:3617195;OriginalHitTemplateId:920937336;,3600,1296000,Tue Apr 30 01:02:41 PDT 2019,,,3PWWM24LHTKD7WSCLTSQ6AT810782Y,A2ITJNPW1LDUN7,Submitted,Tue Apr 23 20:32:48 PDT 2019,Tue Apr 23 20:33:08 PDT 2019,Wed May 08 20:33:08 PDT 2019,,,,20,100% (334/334),100% (334/334),100% (277/277),<b>Need for Speed: Shift</b>,,,,,Liking: <b>average</b>,,Player perspective: <b>first person</b>,Has multiplayer: <b>yes</b>,,,,,,"Need for Speed: Shift is a solid multiplayer first person game, all in all, i'd call it average.",,
3QQUBC64ZEZWPZKJPIX0QDH9IJJNX9,3UFCYGUHNQQ9Y9JIE01KLQPUQ4PTNG,Write a conversational response about a video game based on its given attributes and context (type: give opinion; attributes: 4),"Produce a dialogic utterance given specific attributes about a video game, such as its name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.08 ,Tue Apr 23 01:02:41 PDT 2019,2,BatchId:3617195;OriginalHitTemplateId:920937336;,3600,1296000,Tue Apr 30 01:02:41 PDT 2019,,,3TAYZSBPLMUVQG7LZRYVN1T9EZB2S0,A1WYMR7MGOCO83,Submitted,Mon Apr 29 19:53:15 PDT 2019,Mon Apr 29 19:57:48 PDT 2019,Tue May 14 19:57:48 PDT 2019,,,,273,100% (9/9),100% (9/9),100% (9/9),<b>Need for Speed: Shift</b>,,,,,Liking: <b>average</b>,,Player perspective: <b>first person</b>,Has multiplayer: <b>yes</b>,,,,,,I like first person perspective racing titles that support multiplayer so I didn't hate Need for Speed: Shift.,,
302U8RURJZM4LAFOP3WI2SKO28BNV6,3UFCYGUHNQQ9Y9JIE01KLQPUQ4PTNG,Write a conversational response about a video game based on its given attributes and context (type: give opinion; attributes: 4),"Produce a dialogic utterance given specific attributes about a video game, such as its name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.08 ,Tue Apr 23 01:02:41 PDT 2019,2,BatchId:3617195;OriginalHitTemplateId:920937336;,3600,1296000,Mon Apr 29 01:02:41 PDT 2019,,,3K4J6M3CXFFH5ETYH6XT45T417CGAT,A2ITJNPW1LDUN7,Submitted,Tue Apr 23 20:35:03 PDT 2019,Tue Apr 23 20:35:22 PDT 2019,Wed May 08 20:35:22 PDT 2019,,,,19,100% (334/334),100% (334/334),100% (277/277),<b>Need for Speed: Shift</b>,,,Developer: <b>Slightly Mad Studios</b>,,Liking: <b>average</b>,,,Has multiplayer: <b>yes</b>,,,,,,Need for Speed: shift is an overall average multiplayer game from SLightly Mad Studios.,,
302U8RURJZM4LAFOP3WI2SKO28BNV6,3UFCYGUHNQQ9Y9JIE01KLQPUQ4PTNG,Write a conversational response about a video game based on its given attributes and context (type: give opinion; attributes: 4),"Produce a dialogic utterance given specific attributes about a video game, such as its name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.08 ,Tue Apr 23 01:02:41 PDT 2019,2,BatchId:3617195;OriginalHitTemplateId:920937336;,3600,1296000,Mon Apr 29 01:02:41 PDT 2019,,,3OE22WJIGJASXC1AQ7JWYK90FUBQU3,A2RCYLKY072XXO,Submitted,Sun Apr 28 11:17:56 PDT 2019,Sun Apr 28 11:20:03 PDT 2019,Mon May 13 11:20:03 PDT 2019,,,,127,100% (88/88),100% (88/88),100% (88/88),<b>Need for Speed: Shift</b>,,,Developer: <b>Slightly Mad Studios</b>,,Liking: <b>average</b>,,,Has multiplayer: <b>yes</b>,,,,,,"Although I enjoy multiplayer games, Need for Speed: Shift was just an ok effort from Slightly Mad Studios.",,
3K8CQCU3KEMH0ZFTFD1EOU329HDNWG,3UFCYGUHNQQ9Y9JIE01KLQPUQ4PTNG,Write a conversational response about a video game based on its given attributes and context (type: give opinion; attributes: 4),"Produce a dialogic utterance given specific attributes about a video game, such as its name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.08 ,Tue Apr 23 01:02:41 PDT 2019,2,BatchId:3617195;OriginalHitTemplateId:920937336;,3600,1296000,Mon Apr 29 01:02:41 PDT 2019,,,3FPRZHYEPZT03QK8XMH5HYI8J963V2,A2RCYLKY072XXO,Submitted,Sun Apr 28 11:00:21 PDT 2019,Sun Apr 28 11:01:17 PDT 2019,Mon May 13 11:01:17 PDT 2019,,,,56,100% (88/88),100% (88/88),100% (88/88),<b>Need for Speed: Shift</b>,,,,,Liking: <b>average</b>,"Genres: <b>driving/racing, simulation</b>",Player perspective: <b>first person</b>,,,,,,,"Shift was a mediocre racing simulation, but I enjoy playing first person driving games.",,
3K8CQCU3KEMH0ZFTFD1EOU329HDNWG,3UFCYGUHNQQ9Y9JIE01KLQPUQ4PTNG,Write a conversational response about a video game based on its given attributes and context (type: give opinion; attributes: 4),"Produce a dialogic utterance given specific attributes about a video game, such as its name, genre and available platforms","dialog, video game, attributes, writing, entertainment, chat, conversation, creative",$0.08 ,Tue Apr 23 01:02:41 PDT 2019,2,BatchId:3617195;OriginalHitTemplateId:920937336;,3600,1296000,Mon Apr 29 01:02:41 PDT 2019,,,3NXNZ5RS1BJK728SWXFZ2X5RWJV79G,A2ITJNPW1LDUN7,Submitted,Tue Apr 23 10:38:42 PDT 2019,Tue Apr 23 10:44:15 PDT 2019,Wed May 08 10:44:15 PDT 2019,,,,333,100% (334/334),100% (334/334),100% (277/277),<b>Need for Speed: Shift</b>,,,,,Liking: <b>average</b>,"Genres: <b>driving/racing, simulation</b>",Player perspective: <b>first person</b>,,,,,,,"Meh, Need for Speed: Shift was alright, it's another first person driving game, you know? It's alright, doesn't do much wrong nor does it stand out from the crowd as far as simulation games go.",,
