name,release_year,exp_release_date,developer,esrb,rating,genres,player_perspective,has_multiplayer,platforms,available_on_steam,has_linux_release,has_mac_release
<b>Anthem</b>,,,,,,"Genres: <b>action-adventure, role-playing, shooter</b>",Player perspective: <b>third person</b>,,,,,
<b>Anthem</b>,,"Expected release date: <b>February 22, 2020</b>",,,,,,Has multiplayer: <b>yes</b>,,,,
<b>Anthem</b>,,,Developer: <b>BioWare</b>,,,,,,Platform: <b>PlayStation</b>,,,
<b>Anthem</b>,,,,,,"Genres: <b>action-adventure, role-playing, shooter</b>",,Has multiplayer: <b>yes</b>,,,,
<b>Anthem</b>,,,,,,,,Has multiplayer: <b>yes</b>,Platform: <b>PlayStation</b>,,,
<b>Tomb Raider: The Angel of Darkness</b>,Year: <b>2003</b>,,Developer: <b>Core Design</b>,,,,,,,,,
<b>Tomb Raider: The Angel of Darkness</b>,,,,,,,Player perspective: <b>third person</b>,,Platform: <b>PC</b>,,,
<b>Tomb Raider: The Angel of Darkness</b>,,,,ESRB content rating: <b>T (for Teen)</b>,,,,,,,,Has a Mac release: <b>yes</b>
<b>Tomb Raider: The Angel of Darkness</b>,,,,,,,,Has multiplayer: <b>no</b>,,,Has a Linux release: <b>no</b>,
<b>Tomb Raider: The Angel of Darkness</b>,,,Developer: <b>Core Design</b>,,,,,,,Available on Steam: <b>yes</b>,,
<b>Worms: Reloaded</b>,,,,,,"Genres: <b>action, platformer, strategy</b>",,,Platform: <b>PC</b>,,,
<b>Worms: Reloaded</b>,,,,,,,Player perspective: <b>side view</b>,,,Available on Steam: <b>yes</b>,,
<b>Worms: Reloaded</b>,,,Developer: <b>Team17 Digital Ltd</b>,,,,,,Platform: <b>PC</b>,,,
<b>Worms: Reloaded</b>,Year: <b>2010</b>,,,,,,,,Platform: <b>PC</b>,,,
<b>Worms: Reloaded</b>,,,,,,,,,,,Has a Linux release: <b>yes</b>,Has a Mac release: <b>yes</b>
<b>Shadow of the Tomb Raider</b>,,"Expected release date: <b>September 14, 2019</b>",,,,,,,Platform: <b>Xbox</b>,,,
<b>Shadow of the Tomb Raider</b>,,,Developer: <b>Eidos Montréal</b>,,,,Player perspective: <b>third person</b>,,,,,
<b>Shadow of the Tomb Raider</b>,,,,,,"Genres: <b>adventure, shooter</b>",,,Platform: <b>Xbox</b>,,,
<b>Shadow of the Tomb Raider</b>,,"Expected release date: <b>September 14, 2019</b>",Developer: <b>Eidos Montréal</b>,,,,,,,,,
<b>Shadow of the Tomb Raider</b>,,,,,,"Genres: <b>adventure, shooter</b>",Player perspective: <b>third person</b>,,,,,
<b>Hellblade: Senua's Sacrifice</b>,,,,,,,,,Platform: <b>PC</b>,Available on Steam: <b>yes</b>,,
<b>Hellblade: Senua's Sacrifice</b>,Year: <b>2017</b>,,Developer: <b>Ninja Theory</b>,,,,,,,,,
<b>Hellblade: Senua's Sacrifice</b>,,,,,,"Genres: <b>adventure, hack-and-slash, indie</b>",Player perspective: <b>third person</b>,,,,,
<b>Hellblade: Senua's Sacrifice</b>,,,,ESRB content rating: <b>M (for Mature)</b>,,,,,,,Has a Linux release: <b>no</b>,
<b>Hellblade: Senua's Sacrifice</b>,Year: <b>2017</b>,,,,,,,Has multiplayer: <b>no</b>,,,,
<b>FIFA 12</b>,Year: <b>2011</b>,,Developer: <b>EA Canada</b>,,,,,,,,,
<b>FIFA 12</b>,,,,,,"Genres: <b>simulation, sport</b>",Player perspective: <b>bird view</b>,,,,,
<b>FIFA 12</b>,,,,ESRB content rating: <b>E (for Everyone)</b>,,,,,Platform: <b>Nintendo</b>,,,
<b>FIFA 12</b>,,,,,,,,Has multiplayer: <b>yes</b>,Platform: <b>Nintendo</b>,,,
<b>FIFA 12</b>,,,Developer: <b>EA Canada</b>,,,"Genres: <b>simulation, sport</b>",,,,,,
<b>Undertale</b>,,,Developer: <b>tobyfox</b>,,,,,,,Available on Steam: <b>yes</b>,,
<b>Undertale</b>,,,,,,,Player perspective: <b>bird view</b>,,,,Has a Linux release: <b>yes</b>,
<b>Undertale</b>,Year: <b>2015</b>,,,,,"Genres: <b>adventure, indie, role-playing</b>",,,,,,
<b>Undertale</b>,,,,ESRB content rating: <b>E (for Everyone)</b>,,,,Has multiplayer: <b>no</b>,,,,
<b>Undertale</b>,,,,,,,,,,,Has a Linux release: <b>yes</b>,Has a Mac release: <b>yes</b>
<b>BioShock</b>,Year: <b>2007</b>,,,,,"Genres: <b>action-adventure, role-playing, shooter</b>",,,,,,
<b>BioShock</b>,Year: <b>2007</b>,,Developer: <b>2K Boston</b>,,,,,,,,,
<b>BioShock</b>,,,,,,,Player perspective: <b>first person</b>,,,Available on Steam: <b>yes</b>,,
<b>BioShock</b>,,,,ESRB content rating: <b>M (for Mature)</b>,,,,,Platform: <b>PC</b>,,,
