name,release_year,exp_release_date,developer,esrb,rating,genres,player_perspective,has_multiplayer,platforms,available_on_steam,has_linux_release,has_mac_release
,,,,,Liking: <b>good</b>,,,,Platform: <b>PlayStation</b>,,,
,,,,,Liking: <b>good</b>,"Genres: <b>adventure, platformer, puzzle</b>",,,,,,
,,,,,Liking: <b>good</b>,,Player perspective: <b>side view</b>,,,,,
,,,,,Liking: <b>good</b>,,,Has multiplayer: <b>no</b>,,,,
,,,Developer: <b>Tarsier Studios</b>,,Liking: <b>good</b>,,,,,,,
,,,,,Liking: <b>poor</b>,,,,Platform: <b>Xbox</b>,,,
,,,,,Liking: <b>poor</b>,,Player perspective: <b>first person</b>,,,,,
,,,,,Liking: <b>poor</b>,,,Has multiplayer: <b>no</b>,,,,
,,,,ESRB content rating: <b>M (for Mature)</b>,Liking: <b>poor</b>,,,,,,,
,,,Developer: <b>Bloober Team</b>,,Liking: <b>poor</b>,,,,,,,
,,,,,Liking: <b>poor</b>,,,,Platform: <b>PC</b>,,,
,,,,,Liking: <b>poor</b>,,,Has multiplayer: <b>yes</b>,,,,
,,,Developer: <b>Days of Wonder</b>,,Liking: <b>poor</b>,,,,,,,
,,,,,Liking: <b>poor</b>,"Genres: <b>indie, trivia/board game</b>",,,,,,
,,,,,Liking: <b>poor</b>,,,,,,,Has a Mac release: <b>yes</b>
,,,,,Liking: <b>good</b>,"Genres: <b>action-adventure, platformer</b>",,,,,,
,,,Developer: <b>Ubisoft Montreal</b>,,Liking: <b>good</b>,,,,,,,
,,,,,Liking: <b>good</b>,,,,,Available on Steam: <b>yes</b>,,
,,,,,Liking: <b>good</b>,,Player perspective: <b>third person</b>,,,,,
,,,,,Liking: <b>good</b>,,,Has multiplayer: <b>no</b>,,,,
,,,,,Liking: <b>average</b>,,,,Platform: <b>PlayStation</b>,,,
,,,,,Liking: <b>average</b>,,Player perspective: <b>third person</b>,,,,,
,,,,,Liking: <b>average</b>,,,Has multiplayer: <b>yes</b>,,,,
,,,Developer: <b>Attention To Detail</b>,,Liking: <b>average</b>,,,,,,,
,Year: <b>1999</b>,,,,Liking: <b>average</b>,,,,,,,
,,,,,Liking: <b>good</b>,,,,,Available on Steam: <b>yes</b>,,
,,,,,Liking: <b>good</b>,"Genres: <b>adventure, point-and-click</b>",,,,,,
,,,,,Liking: <b>good</b>,,,,,,,Has a Mac release: <b>yes</b>
,,,Developer: <b>Telltale Games</b>,,Liking: <b>good</b>,,,,,,,
,,,,,Liking: <b>good</b>,,Player perspective: <b>third person</b>,,,,,
,,,Developer: <b>Visual Concepts</b>,,Liking: <b>good</b>,,,,,,,
,,,,,Liking: <b>good</b>,,,,Platform: <b>PC</b>,,,
,,,,,Liking: <b>good</b>,Genres: <b>sport</b>,,,,,,
,,,,,Liking: <b>good</b>,,Player perspective: <b>third person</b>,,,,,
,,,,,Liking: <b>good</b>,,,Has multiplayer: <b>yes</b>,,,,
,,,,,Liking: <b>excellent</b>,Genres: <b>shooter</b>,,,,,,
,Year: <b>2004</b>,,,,Liking: <b>excellent</b>,,,,,,,
,,,,,Liking: <b>excellent</b>,,,,Platform: <b>PC</b>,,,
,,,,,Liking: <b>excellent</b>,,,,,,,Has a Mac release: <b>yes</b>
,,,Developer: <b>Valve Corporation</b>,,Liking: <b>excellent</b>,,,,,,,
,,,Developer: <b>SIE Santa Monica Studio</b>,,Liking: <b>excellent</b>,,,,,,,
,,,,ESRB content rating: <b>M (for Mature)</b>,Liking: <b>excellent</b>,,,,,,,
,Year: <b>2018</b>,,,,Liking: <b>excellent</b>,,,,,,,
,,,,,Liking: <b>excellent</b>,,Player perspective: <b>third person</b>,,,,,
,,,,,Liking: <b>excellent</b>,"Genres: <b>action-adventure, platformer, role-playing</b>",,,,,,
,,,,,Liking: <b>excellent</b>,,,,Platform: <b>Nintendo</b>,,,
,,,,,Liking: <b>excellent</b>,"Genres: <b>action-adventure, shooter</b>",,,,,,
,Year: <b>2005</b>,,,,Liking: <b>excellent</b>,,,,,,,
,,,Developer: <b>Capcom Production Studio 4</b>,,Liking: <b>excellent</b>,,,,,,,
,,,,ESRB content rating: <b>M (for Mature)</b>,Liking: <b>excellent</b>,,,,,,,
