name,release_year,exp_release_date,developer,esrb,rating,genres,player_perspective,has_multiplayer,platforms,available_on_steam,has_linux_release,has_mac_release
<b>Mirror's Edge Catalyst</b>,,,,,,"Genres: <b>action-adventure, fighting</b>",,,,,,
<b>Mirror's Edge Catalyst</b>,,,Developer: <b>EA Digital Illusions CE</b>,,,,,,,,,
<b>Mirror's Edge Catalyst</b>,Year: <b>2016</b>,,,,,,,,,,,
<b>Mirror's Edge Catalyst</b>,,,,,,,,,Platform: <b>PlayStation</b>,,,
<b>Mirror's Edge Catalyst</b>,,,,,,,Player perspective: <b>first person</b>,,,,,
<b>Tetris</b>,,,,,,"Genres: <b>arcade, puzzle, strategy</b>",,,,,,
<b>Tetris</b>,,,,,,,,,Platform: <b>Nintendo</b>,,,
<b>Tetris</b>,,,"Developer: <b>Spectrum HoloByte, Inc.</b>",,,,,,,,,
<b>Tetris</b>,,,,,,,Player perspective: <b>side view</b>,,,,,
<b>Tetris</b>,Year: <b>1986</b>,,,,,,,,,,,
<b>Portal 2</b>,,,,,,,Player perspective: <b>first person</b>,,,,,
<b>Portal 2</b>,,,Developer: <b>Valve Corporation</b>,,,,,,,,,
<b>Portal 2</b>,,,,,,,,Has multiplayer: <b>yes</b>,,,,
<b>Portal 2</b>,,,,,,,,,Platform: <b>PlayStation</b>,,,
<b>Portal 2</b>,Year: <b>2011</b>,,,,,,,,,,,
<b>Resident Evil 4</b>,,,Developer: <b>Capcom Production Studio 4</b>,,,,,,,,,
<b>Resident Evil 4</b>,,,,,,"Genres: <b>action-adventure, shooter</b>",,,,,,
<b>Resident Evil 4</b>,,,,ESRB content rating: <b>M (for Mature)</b>,,,,,,,,
<b>Resident Evil 4</b>,,,,,,,,,Platform: <b>PC</b>,,,
<b>Resident Evil 4</b>,,,,,,,,,,Available on Steam: <b>yes</b>,,
<b>Guitar Hero: Smash Hits</b>,,,Developer: <b>Beenox</b>,,,,,,,,,
<b>Guitar Hero: Smash Hits</b>,,,,,,,,,Platform: <b>Nintendo</b>,,,
<b>Guitar Hero: Smash Hits</b>,,,,,,,Player perspective: <b>first person</b>,,,,,
<b>Guitar Hero: Smash Hits</b>,,,,,,,,Has multiplayer: <b>yes</b>,,,,
<b>Guitar Hero: Smash Hits</b>,,,,,,Genres: <b>music</b>,,,,,,
<b>BioShock</b>,,,,,,"Genres: <b>action-adventure, role-playing, shooter</b>",,,,,,
<b>BioShock</b>,,,,,,,Player perspective: <b>first person</b>,,,,,
<b>BioShock</b>,,,Developer: <b>2K Boston</b>,,,,,,,,,
<b>BioShock</b>,,,,,,,,,,Available on Steam: <b>yes</b>,,
<b>BioShock</b>,,,,,,,,,,,,Has a Mac release: <b>yes</b>
<b>Age of Empires II: The Age of Kings</b>,Year: <b>1999</b>,,,,,,,,,,,
<b>Age of Empires II: The Age of Kings</b>,,,,,,,,,,,,Has a Mac release: <b>yes</b>
<b>Age of Empires II: The Age of Kings</b>,,,,,,,,,,Available on Steam: <b>no</b>,,
<b>Age of Empires II: The Age of Kings</b>,,,,,,,Player perspective: <b>bird view</b>,,,,,
<b>Age of Empires II: The Age of Kings</b>,,,Developer: <b>Ensemble Studios</b>,,,,,,,,,
<b>Worms: Reloaded</b>,,,,,,,,,,,Has a Linux release: <b>yes</b>,
<b>Worms: Reloaded</b>,,,,,,,,Has multiplayer: <b>yes</b>,,,,
<b>Worms: Reloaded</b>,,,,,,,Player perspective: <b>side view</b>,,,,,
<b>Worms: Reloaded</b>,,,Developer: <b>Team17 Digital Ltd</b>,,,,,,,,,
<b>Worms: Reloaded</b>,,,,,,,,,,Available on Steam: <b>yes</b>,,
<b>The Vanishing of Ethan Carter</b>,,,Developer: <b>The Astronauts</b>,,,,,,,,,
<b>The Vanishing of Ethan Carter</b>,,,,,,"Genres: <b>adventure, indie</b>",,,,,,
<b>The Vanishing of Ethan Carter</b>,,,,,,,,,Platform: <b>Xbox</b>,,,
<b>The Vanishing of Ethan Carter</b>,,,,,,,,Has multiplayer: <b>no</b>,,,,
<b>The Vanishing of Ethan Carter</b>,,,,,,,Player perspective: <b>first person</b>,,,,,
<b>Might & Magic: Heroes VI</b>,,,,,,"Genres: <b>role-playing, turn-based strategy</b>",,,,,,
<b>Might & Magic: Heroes VI</b>,,,Developer: <b>Black Hole Entertainment</b>,,,,,,,,,
<b>Might & Magic: Heroes VI</b>,,,,,,,,Has multiplayer: <b>yes</b>,,,,
<b>Might & Magic: Heroes VI</b>,,,,,,,,,,Available on Steam: <b>yes</b>,,
<b>Might & Magic: Heroes VI</b>,,,,,,,,,Platform: <b>PC</b>,,,
