name,release_year,exp_release_date,developer,esrb,rating,genres,player_perspective,has_multiplayer,platforms,available_on_steam,has_linux_release,has_mac_release
<b>The Elder Scrolls V: Skyrim</b>,,,,,Liking: <b>good</b>,,,,Platform: <b>PlayStation</b>,,,
<b>The Elder Scrolls V: Skyrim</b>,,,Developer: <b>Bethesda Game Studios</b>,,Liking: <b>good</b>,,,,,,,
<b>The Elder Scrolls V: Skyrim</b>,,,,,Liking: <b>good</b>,,Player perspective: <b>first person</b>,,,,,
<b>The Elder Scrolls V: Skyrim</b>,,,,,Liking: <b>good</b>,"Genres: <b>adventure, role-playing</b>",,,,,,
<b>The Elder Scrolls V: Skyrim</b>,,,,ESRB content rating: <b>M (for Mature)</b>,Liking: <b>good</b>,,,,,,,
<b>Transport Tycoon</b>,,,Developer: <b>Chris Sawyer</b>,,Liking: <b>average</b>,,,,,,,
<b>Transport Tycoon</b>,,,,,Liking: <b>average</b>,,,Has multiplayer: <b>no</b>,,,,
<b>Transport Tycoon</b>,Year: <b>1994</b>,,,,Liking: <b>average</b>,,,,,,,
<b>Transport Tycoon</b>,,,,,Liking: <b>average</b>,,,,,,,Has a Mac release: <b>no</b>
<b>Transport Tycoon</b>,,,,,Liking: <b>average</b>,,,,Platform: <b>PC</b>,,,
<b>BioShock</b>,,,,,Liking: <b>good</b>,,,,Platform: <b>Xbox</b>,,,
<b>BioShock</b>,,,,ESRB content rating: <b>M (for Mature)</b>,Liking: <b>good</b>,,,,,,,
<b>BioShock</b>,,,,,Liking: <b>good</b>,"Genres: <b>action-adventure, role-playing, shooter</b>",,,,,,
<b>BioShock</b>,,,,,Liking: <b>good</b>,,,Has multiplayer: <b>no</b>,,,,
<b>BioShock</b>,,,,,Liking: <b>good</b>,,Player perspective: <b>first person</b>,,,,,
<b>Small World 2</b>,,,Developer: <b>Days of Wonder</b>,,Liking: <b>poor</b>,,,,,,,
<b>Small World 2</b>,,,,,Liking: <b>poor</b>,"Genres: <b>indie, trivia/board game</b>",,,,,,
<b>Small World 2</b>,,,,,Liking: <b>poor</b>,,,Has multiplayer: <b>yes</b>,,,,
<b>Small World 2</b>,,,,,Liking: <b>poor</b>,,,,,,Has a Linux release: <b>yes</b>,
<b>Small World 2</b>,,,,,Liking: <b>poor</b>,,,,,Available on Steam: <b>yes</b>,,
<b>Skyforge</b>,Year: <b>2015</b>,,,,Liking: <b>poor</b>,,,,,,,
<b>Skyforge</b>,,,,,Liking: <b>poor</b>,,Player perspective: <b>third person</b>,,,,,
<b>Skyforge</b>,,,Developer: <b>Allods Online</b>,,Liking: <b>poor</b>,,,,,,,
<b>Skyforge</b>,,,,,Liking: <b>poor</b>,,,,Platform: <b>Xbox</b>,,,
<b>Skyforge</b>,,,,,Liking: <b>poor</b>,"Genres: <b>adventure, hack-and-slash, MMORPG</b>",,,,,,
<b>World of Warcraft</b>,,,,,Liking: <b>good</b>,,,,Platform: <b>PC</b>,,,
<b>World of Warcraft</b>,,,,,Liking: <b>good</b>,,,,,,,Has a Mac release: <b>yes</b>
<b>World of Warcraft</b>,,,,,Liking: <b>good</b>,,Player perspective: <b>third person</b>,,,,,
<b>World of Warcraft</b>,,,Developer: <b>Blizzard Entertainment</b>,,Liking: <b>good</b>,,,,,,,
<b>World of Warcraft</b>,,,,,Liking: <b>good</b>,"Genres: <b>adventure, MMORPG</b>",,,,,,
<b>The Forest of Doom</b>,,,,,Liking: <b>average</b>,"Genres: <b>role-playing, text adventure</b>",,,,,,
<b>The Forest of Doom</b>,,,Developer: <b>Tin Man Games</b>,,Liking: <b>average</b>,,,,,,,
<b>The Forest of Doom</b>,Year: <b>2014</b>,,,,Liking: <b>average</b>,,,,,,,
<b>The Forest of Doom</b>,,,,,Liking: <b>average</b>,,,Has multiplayer: <b>no</b>,,,,
<b>The Forest of Doom</b>,,,,,Liking: <b>average</b>,,,,Platform: <b>PC</b>,,,
<b>Uncharted 4: A Thief's End</b>,,,,,Liking: <b>excellent</b>,,,Has multiplayer: <b>yes</b>,,,,
<b>Uncharted 4: A Thief's End</b>,,,Developer: <b>Naughty Dog</b>,,Liking: <b>excellent</b>,,,,,,,
<b>Uncharted 4: A Thief's End</b>,,,,,Liking: <b>excellent</b>,"Genres: <b>action-adventure, shooter</b>",,,,,,
<b>Uncharted 4: A Thief's End</b>,,,,ESRB content rating: <b>T (for Teen)</b>,Liking: <b>excellent</b>,,,,,,,
<b>Uncharted 4: A Thief's End</b>,,,,,Liking: <b>excellent</b>,,,,Platform: <b>PlayStation</b>,,,
<b>Need for Speed: Most Wanted</b>,,,,,Liking: <b>good</b>,,,,Platform: <b>PlayStation</b>,,,
<b>Need for Speed: Most Wanted</b>,,,,,Liking: <b>good</b>,Genres: <b>driving/racing</b>,,,,,,
<b>Need for Speed: Most Wanted</b>,,,Developer: <b>EA Redwood Shores</b>,,Liking: <b>good</b>,,,,,,,
<b>Need for Speed: Most Wanted</b>,,,,,Liking: <b>good</b>,,Player perspective: <b>third person</b>,,,,,
<b>Need for Speed: Most Wanted</b>,,,,,Liking: <b>good</b>,,,Has multiplayer: <b>yes</b>,,,,
<b>Worms: Reloaded</b>,,,,,Liking: <b>average</b>,"Genres: <b>action, platformer, strategy</b>",,,,,,
<b>Worms: Reloaded</b>,,,Developer: <b>Team17 Digital Ltd</b>,,Liking: <b>average</b>,,,,,,,
<b>Worms: Reloaded</b>,,,,,Liking: <b>average</b>,,,,Platform: <b>PC</b>,,,
<b>Worms: Reloaded</b>,,,,,Liking: <b>average</b>,,Player perspective: <b>side view</b>,,,,,
<b>Worms: Reloaded</b>,Year: <b>2010</b>,,,,Liking: <b>average</b>,,,,,,,
