name,release_year,exp_release_date,developer,esrb,rating,genres,player_perspective,has_multiplayer,platforms,available_on_steam,has_linux_release,has_mac_release,utterance
Ori and the Blind Forest,2015,,,,,,,,,,,,Do you mean Ori and the Blind Forest that was released in 2015?
Ori and the Blind Forest,,,,,,,,no,,,,,"Are you talking about Ori and the Blind Forest, which has no multiplayer mode?"
Ori and the Blind Forest,,,Moon Studios,,,,,,,,,,Is that Ori and the Blind Forest which was developed by Moon Studios?
Ori and the Blind Forest,,,,,,,,,Xbox,,,,Are you talking about Ori and the Blind Forest on Xbox?
Ori and the Blind Forest,,,,E (for Everyone),,,,,,,,,Are you talking about the E rated Ori and the Blind Forest?
Battlefield V,,"October 16, 2019",,,,,,,,,,,"Did you mean Battlefield V, the game that is coming out on October 16, 2019?"
Battlefield V,,,,,,"action, shooter",,,,,,,"Are you talking about the first person shooter, Battlefield V?"
Battlefield V,,,EA Digital Illusions CE,,,,,,,,,,"You're referring to the newest EA Digital Illusions CE game, Battlefield V, right?"
Battlefield V,,,,,,,,,Xbox,,,,"Is that Battlefield V, available on Xbox?"
Battlefield V,,,,,,,,yes,,,,,Are you talking about the multiplayer game Battlefield V?
Horizon: Zero Dawn,,,,,,,,,PlayStation,,,,Do you mean Horizon: Zero Dawn that you can play on Playstation?
Horizon: Zero Dawn,2017,,,,,,,,,,,,"Are you talking about Horizon: Zero Down, the game that came out in 2017?"
Horizon: Zero Dawn,,,Guerrilla Games,,,,,,,,,,Is that the game called Horizon: Zero Down that Guerilla Games created?
Horizon: Zero Dawn,,,,,,"action-adventure, role-playing, shooter",,,,,,,Are we still talking about the shooting game Horizon: Zero Dawn?
Horizon: Zero Dawn,,,,T (for Teen),,,,,,,,,"Do you mean Horizon: Zero Dawn, the game that is rated T and is probably not appropriate for our little brothers to play?"
Diablo II,2000,,,,,,,,,,,,"Are you talking about one of my favorite games, Diablo II, that came out in 2000?"
Diablo II,,,Blizzard North,,,,,,,,,,"You're referring to one of Blizzard North's most popular games, Diablo II, right?"
Diablo II,,,,,,,,,PC,,,,Are you talking about the PC game Diablo II?
Diablo II,,,,,,,,,,,,yes,"Is this about the game Diablo II, that we can play on our Macs?"
Diablo II,,,,,,,,yes,,,,,"Are you talking about Diablo II, one of the best multiplayer games?"
Little Big Adventure,1994,,,,,,,,,,,,You mean the Little Big Adventure that dropped in 94?
Little Big Adventure,,,,,,action-adventure,,,,,,,"It's called Little Big Adventure and it's an action-adventure, right?"
Little Big Adventure,,,,,,,third person,,,,,,Don't you mean the Little Big Adventure that is a third person game?
Little Big Adventure,,,,,,,,,,yes,,,The same Little Big Adventure up on Steam?
Little Big Adventure,,,,,,,,,PC,,,,Are you referring to Little Big Adventure that you play on PC?
Ancient Cities,,,Uncasual Games,,,,,,,,,,Do you mean the Ancient Cities released by Uncasual Games?
Ancient Cities,,,,,,,,,PC,,,,Are you talking about the Ancient Cities that is for the PC?
Ancient Cities,,"December 1, 2019",,,,,,,,,,,"You mean the Ancient Cities that's not coming out till the December 1st, 2019 right?"
Ancient Cities,,,,,,,bird view,,,,,,So you're talking about the Ancient Cities with the bird view perspective right?
Ancient Cities,,,,,,"simulation, strategy",,,,,,,Do you mean the strategy-sim Ancient Cities?
NBA 2K19,,,,,,,,,Nintendo Switch,,,,Oh! So that's NBA 2K19 for the Nintendo Switch?
NBA 2K19,,,Visual Concepts,,,,,,,,,,You mean NBA 2K19 from Visual Concepts?
NBA 2K19,,"September 11, 2019",,,,,,,,,,,"The NBA 2K19 that will be released on September 11, 2019?"
NBA 2K19,,,,,,sport,,,,,,,So you're talking about the sports game NBA 2K19?
NBA 2K19,,"September 11, 2019",,,,,,,,,,,"You mean the NBA 2K19 slated for release on September 11, 2019, right?"
The Room,,,,,,,,,,yes,,,Do you mean the Steam game The Room?
The Room,,,,,,,,no,,,,,Are you asking about the single player only The Room?
The Room,2012,,,,,,,,,,,,Do you mean the 2012 game The Room?
The Room,,,Fireproof Games,,,,,,,,,,Do you mean The Room that was made by Fireproof Games?
The Room,,,,,,"indie, point-and-click, puzzle",,,,,,,Did you mean the puzzle solving point and click adventure game The Room?
Need for Speed: The Run,,,,,,,,,Nintendo,,,,"You mean the Need for Speed: The Run on Nintendo, correct?"
Need for Speed: The Run,,,,,,,,yes,,,,,Is this the Need for Speed: The Run with multiplayer?
Need for Speed: The Run,2011,,,,,,,,,,,,"That's the Need for Speed: The Run that came out in 2011, right?"
Need for Speed: The Run,,,,,,,first person,,,,,,Do you mean the first person Need for Speed: The Run?
Need for Speed: The Run,,,Firebrand Games,,,,,,,,,,Is this the Need for Speed: The Run that Firebrand Games released?
Grand Theft Auto V,2013,,,,,,,,,,,,"Ah, the Grand Theft Auto V from 2013 is what you meant, correct?"
Grand Theft Auto V,,,Rockstar North,,,,,,,,,,Do you mean the Grand Theft Auto V developed by Rockstar North
Grand Theft Auto V,,,,,,,,,,yes,,,So do you mean the Grand Theft Auto V on Steam?
Grand Theft Auto V,,,,M (for Mature),,,,,,,,,"This is the Grand Theft Auto V that's go an M rating, correct?"
Grand Theft Auto V,,,,,,,third person,,,,,,Are you referring to the third person Grand Theft Auto V?
