name,release_year,exp_release_date,developer,esrb,rating,genres,player_perspective,has_multiplayer,platforms,available_on_steam,has_linux_release,has_mac_release,utterance
Guitar Hero: Smash Hits,,,Beenox,,poor,,,,,,,,"Honestly, Guitar Hero: Smash Hits just wasn't engaging for me. I tend to avoid games by Beenox."
Guitar Hero: Smash Hits,2009,,,,poor,,,,,,,,Guitar Hero: Smash Hits just didn't do it for me. It really shows that it was made way back in 2009.
Guitar Hero: Smash Hits,,,,T (for Teen),poor,,,,,,,,"I didn't like Guitar Hero: Smash Hits, it felt a little immature for a T rated game."
Guitar Hero: Smash Hits,,,,,poor,,,yes,,,,,Guitar Hero: Smash Hits felt kinda lacking to me. I think they focused too much on the multiplayer and ignored the rest.
Guitar Hero: Smash Hits,,,,,poor,,first person,,,,,,Guitar Hero: Smash Hits was pretty bad. The first person perspective was just too jarring.
World of Warcraft,,,,,good,,,,,no,,,"I used to love World of Warcraft, I just wish it was available on Steam, that would be so convenient."
World of Warcraft,,,Blizzard Entertainment,,good,,,,,,,,"Blizzard did a good job with World of Warcraft, I liked playing it."
World of Warcraft,2004,,,,good,,,,,,,,I wish I could go back to 2004 when World of Warcraft first came out and I would spend hours playing with my friends.
World of Warcraft,,,,,good,,,,PC,,,,"World of Warcraft was good, but I think it could have been even more popular if they released the game on more than just PC."
World of Warcraft,,,,,good,"adventure, MMORPG",,,,,,,"The adventure MMORPG style of World of Warcraft really made it something different, which I really enjoyed."
Age of Wonders II: The Wizard's Throne,,,Triumph Studios,,poor,,,,,,,,"I really wanted to like Age of Wonders II: The Wizard's Throne, but Triump Studios made it and I hate all of their games."
Age of Wonders II: The Wizard's Throne,,,,,poor,"role-playing, turn-based strategy",,,,,,,Role-playing games that are turn-based strategy are all played out. Take for example Age of Wonders II: The Wizard's Throne; it's so boring.
Age of Wonders II: The Wizard's Throne,,,,,poor,,,,,,,no,I really hated that Age of Wonders II: The Wizard's Throne didn't have a version for Mac. I had to borrow my brother's laptop to play.
Age of Wonders II: The Wizard's Throne,,,,,poor,,bird view,,,,,,I absolutely hate bird view player perspective games like Age of Wonders II: The Wizard's Throne. I can't even see what my character is doing.
Age of Wonders II: The Wizard's Throne,2002,,,,poor,,,,,,,,"I hate playing older games like Age of Wonders II: The Wizard's Throne. It's from 2002, why not play something new?"
Far Cry 3,,,,,good,,first person,,,,,,I thought Far Cry 3 was pretty good. I have a thing for first person open world games and the action element of it was exciting.
Far Cry 3,,,,,good,"action-adventure, shooter",,,,,,,I love action-adventure games and this was a good one that scratched my itch. I'd recommend that anyone interested in the series start out with Far Cry 3.
Far Cry 3,,,,,good,,,,PlayStation,,,,"Far Cry 3 was a good game that started off a new era. Since it came out, the Playstation has had a lot of interesting and expanding games in the genre, including its sequels."
Far Cry 3,,,,,good,,,yes,,,,,"One thing I thought that makes Far Cry 3 a pretty good game is that it has multiplayer as well. It has a great single player campaign, but you can also jump online and enjoy it as well."
Far Cry 3,2012,,,,good,,,,,,,,Far Cry 3 was a pretty good game for 2012 because it made mainstream the open world genre in more action oriented games. It spawned a lot of like-minded games that made the genre grow.
Silent Hill 2,,,Konami Computer Entertainment Tokyo,,excellent,,,,,,,,Konami Computer Entertainment Tokyo makes the best games. One of my favorites is Silent Hill 2.
Silent Hill 2,,,,,excellent,,third person,,,,,,Third person games like Silent Hill 2 are the best. First person is too close and bird eye is too far.
Silent Hill 2,,,,,excellent,,,,PC,,,,PC is the best platform because we get games like Silent Hill 2.
Silent Hill 2,,,,,excellent,"action-adventure, puzzle",,,,,,,Action-adventure puzzle games like Silent Hill 2 are great. You get to work your reflexes and your brain too.
Silent Hill 2,,,,M (for Mature),excellent,,,,,,,,"All of my favorite games are rated M, like Silent Hill 2. I don't even bother with other games anymore."
Undertale,,,tobyfox,,excellent,,,,,,,,"I love playing Nintendo Switch games, they're so fun - for example, take Undertale."
Undertale,,,,,excellent,"adventure, indie, role-playing",,,,,,,"Adventure role-playing games are my favorite, especially indie ones like Undertale."
Undertale,,,,,excellent,,bird view,,,,,,I always love the bird's eye view in games because it's so easy to see everything - such as in games like Undertale.
Undertale,,,,,excellent,,,no,,,,,"With its great single-player campaign, I can enjoy playing Undertale at any time."
Undertale,,,,E (for Everyone),excellent,,,,,,,,"I really like when ESRB E rated games come out, for example I can watch even my youngest nephews play Undertale."
Lara Croft and the Temple of Osiris,,,,T (for Teen),average,,,,,,,,You could tell Lara Croft and the Temple of Osiris was rated teen. Just cool enough to not be for kids and just mediocre enough to not be for adults.
Lara Croft and the Temple of Osiris,,,,,average,,bird view,,,,,,"I had mixed feelings about the bird view in Lara Croft and the Temple of Osiris, I felt like it kind of disconnected me from the game."
Lara Croft and the Temple of Osiris,,,,,average,"action-adventure, puzzle, shooter",,,,,,,"As an action-adventure puzzle shooter, Lara Croft and the Temple of Osiris had a lot going on. It pulled it off but it's not great."
Lara Croft and the Temple of Osiris,,,,,average,,,yes,,,,,"Multiplayer made Lara Croft and the Temple of Osiris an average game; without it, it would be much worse."
Lara Croft and the Temple of Osiris,,,Crystal Dynamics,,average,,,,,,,,"I usually like stuff by Crystal Dynamics, but Lara Croft and the Temple of Osiris just felt mediocre."
Quantum Break,,,,,average,"adventure, shooter",,,,,,,"I finished Quantum Break but, man, for an adventure shooter it was just OK."
Quantum Break,2016,,,,average,,,,,,,,"Man, 2016 was such a good year for games, but Quantum Break was just middle-of-the-road."
Quantum Break,,,Remedy Entertainment,,average,,,,,,,,"I've never played a game from Remedy Entertainment I really loved. Like Quantum Break - it's decent, but not great."
Quantum Break,,,,,average,,,no,,,,,"Quantum Break would have been so much better with multiplayer. I really prefer playing with other people, you know?"
Quantum Break,,,,,average,,third person,,,,,,"I like third person player perspective games, but Quantum Break felt like it might have been better in first person. As it was, I only kinda liked it."
Mirror's Edge Catalyst,,,,,poor,"action-adventure, fighting",,,,,,,"I can never get into action-adventure fighting games like Mirror's Edge Catalyst, there's just too much going on there."
Mirror's Edge Catalyst,,,,,poor,,,,,,,no,"I wish I could play Mirror's Edge Catalyst, but I'm a Mac guy and it wasn't released on Mac."
Mirror's Edge Catalyst,,,,,poor,,,yes,,,,,"I hate when games like Mirror's Edge Catalyst come with multiplayer, as the single-player then tends to be lacking in depth."
Mirror's Edge Catalyst,,,,,poor,,,,,no,,,"Ah, I wish Mirror's Edge Catalyst was on Steam, they're the only game source I trust to be legit."
Mirror's Edge Catalyst,,,,,poor,,first person,,,,,,"I avoid first person perspective games like Mirror's Edge Catalyst, it can become somewhat nauseating."
Madden NFL 15,,,EA Tiburon,,average,,,,,,,,I feel like EA Tiburon didn't do quite a great job developing Madden NFL 15.
Madden NFL 15,2014,,,,average,,,,,,,,"Madden NFL 15 felt like an only average entry, released back in 2014."
Madden NFL 15,,,,,average,,bird view,,,,,,"Madden NFL 15 uses a bird view, which is OK considering its average graphics."
Madden NFL 15,,,,,average,,,yes,,,,,"Although Madden NFL 15 supports multiplayer, it wasn't enough to make it any better than average."
Madden NFL 15,,,,,average,,,,Xbox,,,,"Having played Madden NFL 15 on Xbox, I found the controls and graphics mediocre."
