name,release_year,exp_release_date,developer,esrb,rating,genres,player_perspective,has_multiplayer,platforms,available_on_steam,has_linux_release,has_mac_release,utterance
Mass Effect 2,,,,,,"action-adventure, role-playing, shooter",,no,,,,,"Mass Effect 2 is and action-adventure,role -playing, shooter with no multiplayer."
Mass Effect 2,,,,,,"action-adventure, role-playing, shooter",,no,,,,,"Mass Effect  is an action--adventure, role-playing, and shooter game, but it does not feature multiplayer mode."
Mass Effect 2,,,,,,"action-adventure, role-playing, shooter",,no,,,,,"Mass Effect 2 is an action-adventure, role-playing shooter that does not have a multiplayer."
Mirror's Edge Catalyst,2016,,,,,"action-adventure, fighting",,yes,,,,,"Mirror's Edge Catalyst is a 2016 action-adventure, fighting game with multiplayer."
Mirror's Edge Catalyst,2016,,,,,"action-adventure, fighting",,yes,,,,,Mirror's Edge Catalyst is an action adventure game with fighting that came out in 2016. It even has multiplayer!
Mirror's Edge Catalyst,2016,,,,,"action-adventure, fighting",,yes,,,,,Mirror's Edge Catalyst from 2016 is a multiplayer action-adventure fighter.
MotorStorm: Apocalypse,2011,,,,poor,vehicular combat,third person,,PlayStation,,,,"The 2011 PlayStation exclusive MotorStorm: Apocalypse is considered a poor third person, vehicular combat game."
MotorStorm: Apocalypse,2011,,,,poor,vehicular combat,third person,,PlayStation,,,,"MotorStorm: Apocalypse is a poorly reviewed third person vehicular combat	 game released for PlayStation in 2011."
MotorStorm: Apocalypse,2011,,,,poor,vehicular combat,third person,,PlayStation,,,,MotorStorm: Apocalypse was released in 2011.  It's a third person vehicular combat game only played on the PlayStation platform.  MotorStorm: Apocalypse has a rating of poor.
Tomb Raider: The Last Revelation,1999,,,,,"action-adventure, puzzle, shooter",,no,,,,,Tomb Raider: The Last Revelation is an action-adventure puzzle shooter. It was released in 1999 and is single player only.
Tomb Raider: The Last Revelation,1999,,,,,"action-adventure, puzzle, shooter",,no,,,,,"Tomb Raider: The Last Revelation is a single player action-adventure, puzzle, shooting game. It was released in 1999."
Tomb Raider: The Last Revelation,1999,,,,,"action-adventure, puzzle, shooter",,no,,,,,Tomb Raider: The Last Revelation is an action adventure puzzle shooter game from 1999.  It doesn't have multiplayer.
