name,release_year,exp_release_date,developer,esrb,rating,genres,player_perspective,has_multiplayer,platforms,available_on_steam,has_linux_release,has_mac_release,specifier,utterance
,,,,,,,,,,,,,upcoming,What upcoming video game are you looking forward to the most?
,,,,,,,,,,,,,funniest,"I'm looking for something to make me laugh, what do you think is the funniest game you've ever played?"
,,,,,,,,,,,,,bizarre,Have you ever encountered a video game that struck you as plain bizarre?
,,,,,,,,,,,,,realistic,What recent game have you seen with the most realistic graphics?
,,,,,,,,,,,,,dramatic,What's a really dramatic game that you've played?
,,,,,,,,,,,,,frustrating,What's the most frustrating game you ever played?
,,,,,,,,,,,,,annoying,Have you played a game lately that you found annoying?
,,,,,,,,,,,,,over-complicated,Have you ever encountered a game that just felt over-complicated?
,,,,,,,,,,,,,limiting,What game have you played with a limiting storyline?
,,,,,,,,,,,,,first,What's the first video game you ever played?
,,,,,,,,,,,,,disappointing,Has there been a game that was really disappointing to you?
,,,,,,,,,,,,,surprising,What game turned out to be really surprising when you played it?
,,,,,,,,,,,,,addictive,Have you played a game recently that you found really addictive?
,,,,,,,,,,,,,shocking,Have you ever encountered a video game that you found shocking?
,,,,,,,,,,,,,fascinating,What do you think is the most fascinating game you've played?
,,,,,,,,,,,,,ridiculous,What's the game with the most ridiculous storyline you've ever played?
,,,,,,,,,,,,,quick-to-learn,Do you know of any quick-to-learn games?
,,,,,,,,,,,,,scary,Have you ever played a game that you found scary?
,,,,,,,,,,,,,worst looking,What do you think is the worst looking video game that you know of?
,,,,,,,,,,,,,visually impressive,Have you encountered any visually impressive video games lately?
,,,,,,,,,,,,,last,What's the last video game you finished?
,,,,,,,,,,,,,short,Have you played any good short video games lately?
,,,,,,,,,,,,,cheerful,"I've been feeling depressed lately, is their a cheerful video game you can think of that I could play?"
,,,,,,,,,,,,,calming,Have you ever played a video game that was nice and calming?
,,,,,,,,,,,,,empowering,Do you know of a video game that feels empowering to play?
,,,,,,,,,,,,,interesting,Know of any interesting game that came out recently?
,,,,,,,,,,,,,unfair,Have you ever played a video game that just felt plain unfair?
,,,,,,,,,,,,,poorly balanced,What do you think is the most poorly balanced game you've played?
,,,,,,,,,,,,,boring,What game did you find to be really boring?
,,,,,,,,,,,,,absorbing,What is the game you think has the most absorbing gameplay?
,,,,,,,,,,,,,newest,What's the newest game that you like?
,,,,,,,,,,,,,oldest,What is the oldest game that you fancy?
,,,,,,,,,,,,,thrilling,Have you played any thrilling video games lately?
,,,,,,,,,,,,,weirdest,What do you think is the weirdest game you've ever played?
,,,,,,,,,,,,,unusual,Have you played a video game lately that you found to be rather unusual?
,,,,,,,,,,,,,beautiful,Have you played any video games lately that you thought were beautiful?
,,,,,,,,,,,,,exceptional,Is there any game you played lately that you felt was exceptional?
,,,,,,,,,,,,,cheap,What good cheap games have just come out?
,,,,,,,,,,,,,uninteresting,What do you think is the most uninteresting video game you ever encountered?
,,,,,,,,,,,,,nostalgic,What would you say is the most nostalgic game you know of?
,,,,,,,,,,,,,overrated,What is the most overrated game in your mind?
,,,,,,,,,,,,,sad,Have you played any sad video games recently?
,,,,,,,,,,,,,underrated,What game you've played do you think is really underrated?
,,,,,,,,,,,,,challenging,What's the last game you played that you found particularly challenging?
,,,,,,,,,,,,,revolting,Have you ever played a game that you just found revolting?
,,,,,,,,,,,,,dynamic,What game can you think of that has a very dynamic plot?
,,,,,,,,,,,,,mindless,Have you ever played a video game that just felt mindless?
,,,,,,,,,,,,,moving,What do you think is the most moving video game you've played?
,,,,,,,,,,,,,tearjerking,"I'm wondering, what would you say is the most tearjerking video game you know of?"
,,,,,,,,,,,,,rewarding,Is their a video game you know of that felt very rewarding to play?
