name,release_year,exp_release_date,developer,esrb,rating,genres,player_perspective,has_multiplayer,platforms,available_on_steam,has_linux_release,has_mac_release,utterance
,,,,,average,"driving/racing, simulation",first person,,,,,,Why do you find first person racing/driving simulators to be just okay?
,,,Slightly Mad Studios,,average,,,,PC,,,,What makes you feel that Slightly Mad Studios lineup of PC games is merely average in quality?
,,,,,average,"driving/racing, simulation",,,,yes,,,Why do you think the driving/racing simulators on Steam are okay but nothing great?
,,,,,average,,first person,,PC,,,,What is it about first person games on the PC that causes you to find them so-so and average?
,,,Slightly Mad Studios,,average,"driving/racing, simulation",,,,,,,Why do you say that Slightly Mad Studios driving/racing simulators are okay but don't stand out from the crowd?
,,,,,poor,text adventure,,,,yes,,,Why is it you dislike Steam text adventure games so much?
,,,Red Entertainment Corporation,,poor,,,,PC,,,,Why is it you don't like Red Entertainment Corporation's PC games?
,2017,,,,poor,text adventure,,,,,,,So why don't you like the text adventure games that have been released in 2017?
,,,,,poor,,,no,PC,,,,Why is it that you don't like single player only PC games?
,,,,,poor,text adventure,,,PC,,,,What is it about PC text adventures games that ruffles your feathers so much?
,,,Ninja Theory,M (for Mature),excellent,,,,,,,,Why are Ninja Theory's M rated games some of the games you love most of all?
,,,,,excellent,"adventure, hack-and-slash, indie",third person,,,,,,What is it about indie third person hack-and-slash adventure games that makes you find them so thrilling and amazing to play?
,,,Ninja Theory,,excellent,,third person,,,,,,Why do you absolutely love Ninja Theory's third person video games?
,2017,,,,excellent,,,,PC,,,,What is it about the PC games released in 2017 that makes you love them so much?
,,,Ninja Theory,,excellent,"adventure, hack-and-slash, indie",,,,,,,Why do you think that Ninja Theory's indie hack-and-slash adventure games are some of the best you ever played?
,,,,,excellent,,third person,,,yes,,,Do you have a preference on third person perspective games available on Steam?
,,,Square,,excellent,,third person,,,,,,What is it about Square third person perspective games that you like?
,,,,T (for Teen),excellent,,,no,,,,,What is fun about a Teen rated game without the availability of multiplayer?
,,,Square,,excellent,,,,PC,,,,What can the PC platform do for games developed by Square that is not available on other platforms?
,,,,,excellent,,,,,,no,no,Do you feel non-availability on Linux and Mac are fair to the gaming community?
,,,Evolution Studios,,poor,vehicular combat,,,,,,,Why do you say that Evolution Studios' vehicular combat games are so bad?
,,,,,poor,vehicular combat,,,PlayStation,,,,What makes you feel that vehicular combat games on the PlayStation are so boring?
,,,Evolution Studios,,poor,,,yes,,,,,What is it about Evolution Studios multiplayer games that you find so grating and off putting?
,,,,,poor,vehicular combat,third person,,,,,,Why do you think third person vehicular combat games are not fun to play?
,2011,,,,poor,,,,PlayStation,,,,What is it about PlayStation games released in 2011 that gives you such a sour view on them?
,,,Dontnod Entertainment,,good,,,,PlayStation,,,,What do you like best about Dontnod Entertainment used for PlayStation?
,2015,,,,good,role-playing,,,,,,,What do you enjoy about role-playing games released in 2015?
,,,,,good,,third person,no,,,,,"What you like about third person, single player games?"
,,,,M (for Mature),good,role-playing,,,,,,,Why do you find rated M role-playing games entertaining?
,2015,,,,good,,,,PlayStation,,,,What is your favorite thing about 2015 PlayStation games?
,,,,,excellent,"action-adventure, shooter",third person,,,,,,"If you don't mind me asking, why are third person action-adventure shooters some of your favorite games of all time?"
,,,Capcom Production Studio 4,,excellent,,,,Xbox,,,,What is it about Capcom Production Studio 4's lineup of Xbox games that has you going on about how awesome they are?
,,,,M (for Mature),excellent,,,,Xbox,,,,Why do you feel that the M rated Xbox games are some of the best games out there?
,,,,M (for Mature),excellent,"action-adventure, shooter",,,,,,,So what parts of M rated action-adventure shooters makes you say they're excellent?
,,,Capcom Production Studio 4,,excellent,,,no,,,,,What is it about Capcom Production Studio 4's single player only games that makes you find them so great?
,,,Valve Corporation,,excellent,,,,PC,,,,How comes you adore PC games from Valve?
,,,,,excellent,,,,,,yes,yes,Why is it that you really like games with both mac and Linux releases?
,,,,,excellent,shooter,first person,,,,,,Is there a reason you really enjoy first person shooters?
,,,Valve Corporation,,excellent,,,no,,,,,Would you tell me why you vastly enjoy Valve games with no multiplayer?
,2004,,,M (for Mature),excellent,,,,,,,,How is it that you so much like to play M-rated games from 2004?
,,,,,good,,bird view,yes,,,,,What do you find interesting about multiplayer games with a bird view?
,,,,,good,"simulation, turn-based strategy",,,PC,,,,What do you like best about PC strategy games?
,2010,,Firaxis Games,,good,,,,,,,,What do you enjoy about 2010 games released by Firaxis Games?
,,,,E 10+ (for Everyone 10 and Older),good,,,,,,,yes,What do you like about E 10+ games released on Mac?
,,,,,good,,,yes,,yes,,,Why do you prefer multiplayer games available through Steam?
,,,,,average,"driving/racing, sport",,,PlayStation,,,,Why do you say that the PlayStation's lineup of driving/racing sport games are serviceable but nothing great?
,,,Codemasters Southam,,average,,,,PlayStation,,,,What is it about Codemasters Southam's PlayStation games that makes you say they're just average?
,,,,,average,"driving/racing, sport",first person,,,,,,Why do you find first person driving/racing sport games to be okay but nothing spectacular?
,,,,,average,,,yes,PlayStation,,,,What is it about the PlayStation's multiplayer games that makes you say they are decent but nothing to get too excited for?
,,,Codemasters Southam,,average,"driving/racing, sport",,,,,,,What is it about Codemasters Southam's driving/racing sport games that makes you feel they're neither particularly great nor particularly bad?
,,,,,average,sport,,yes,,,,,What do you like about sport games that have multiplayer?
,,,,T (for Teen),average,sport,,,,,,,What do you like about sport games that have a teen ESRB content rating?
,,,Neversoft Entertainment,,average,,,,PC,,,,What do you like about Neversoft Entertainment's PC platform games?
,,,,,average,sport,third person,,,,,,What do you like about sport games that have a third person perspective?
,2001,,Neversoft Entertainment,,average,,,,,,,,What do you like about Neversoft Entertainment's 2001 year games?
,,,Grimlore Games,,poor,"real-time strategy, role-playing",,,,,,,What don't you like about real-time role-playing strategy games from Grimlore Games?
,,,,,poor,,bird view,,,yes,,,Why don't you enjoy playing games with a bird's eye view on Steam?
,,,,,poor,"real-time strategy, role-playing",,,PC,,,,"What bothers you about PC games with a role-playing, real-time strategy element?"
,2017,,Grimlore Games,,poor,,,,,,,,Why do you really not like video games released in 2017 by Grimlore Games?
,,,,,poor,,bird view,yes,,,,,What specifically isn't fun about multiplayer games played with a bird view?
,,,,,good,"simulation, strategy",bird view,,,,,,Why do you enjoy playing bird view strategy sims?
,,,MicroProse,,good,,,,Xbox,,,,What is it about MicroProse's Xbox games that you find enjoyable?
,1999,,,,good,,,,Xbox,,,,Why do you think that the games released on the Xbox in 1999 were pretty good?
,,,MicroProse,,good,"simulation, strategy",,,,,,,What aspects of MicroProse's strategy simulators make you enjoy them like you do?
,,,MicroProse,,good,,bird view,,,,,,What is it about the the bird view perspective games made by MicroProse that makes you enjoy them?
,,,Naughty Dog,,excellent,,,,PlayStation,,,,What do you love Naught Dog's PlayStation games so much?
,,,Naughty Dog,,excellent,"action-adventure, shooter",,,,,,,What is it about Naughty Dog's action adventure shooters that you love so much?
,,,,,excellent,"action-adventure, shooter",third person,,,,,,So why are third person action adventure shooters your favorite type of games?
,,,,M (for Mature),excellent,,,,PlayStation,,,,Why are you such a big fan of all the M rated games on the PlayStation?
,,,,,excellent,,third person,yes,,,,,What is it about third person multiplayer games that makes you such a huge fan of them?
,,,Hudson Soft,,average,,bird view,,,,,,I understand you are not too fond of bird view games developed by Hudson Soft. Why is that?
,,,,E (for Everyone),average,"action, strategy",,,,,,,"I understand you are not too fond of action, strategy games rated E (for Everyone); can you explain this please?"
,1993,,Hudson Soft,,average,,,,,,,,I understand you are not too fond of Hudson Soft games from 1993--please explain that to me?
,,,,,average,,bird view,no,,,,,"I understand you are not too fond of multiplayer bird view games, can you help me understand why that is?"
,,,,,average,,,,,,no,no,I understand you are not too fond of games that aren't released for the Mac and on Linux...why is that?
,,,,,good,"driving/racing, simulation, sport",,,PlayStation,,,,Why do you find the PlayStation's lineup of sports driving/racing simulators to be enjoyable games to play?
,,,Kunos Simulazioni,,good,"driving/racing, simulation, sport",,,,,,,What is it about Kunos Simulazioni's sports driving/racing simulators that makes you recommend them?
,,,,,good,"driving/racing, simulation, sport",third person,,,,,,And so why do you enjoy third person driving/racing sport simulators to be a good time?
,2014,,,,good,,,yes,,,,,What is it about the multiplayer games released in 2014 that you feel makes them pretty fun?
,2014,,,,good,,,,PlayStation,,,,"I'm really curious now, what aspects of the PlayStation's 2014 lineup makes you say they're fun?"
,,,Illusion Softworks,,excellent,"driving/racing, fighting, shooter",,,,,,,What is it about Illusion Softworks's shooter games with driving and fighting that you find enjoyable?
,,,Illusion Softworks,,excellent,,,,Xbox,,,,Why do you like Xbox games by Illusion Softworks then?
,,,,M (for Mature),excellent,"driving/racing, fighting, shooter",,,,,,,What do you find fun about M rated shooters that involve driving and fighting?
,,,,,excellent,"driving/racing, fighting, shooter",third person,,,,,,"I'm curious to know, what is it about third-person shooting and fighting games in which you can drive that you find fun?"
,2002,,,,excellent,,,,Xbox,,,,What is it about the Xbox games released in 2002 that makes you a fan of them?
,,,Overkill Software,,average,,,,Nintendo Switch,,,,Why do you think that Overkill Software's Nintendo Switch games are so average?
,,,,,average,"role-playing, shooter",first person,,,,,,What is it about first person RPG shooters that makes you find them to be just okay?
,,,,M (for Mature),average,,,,Nintendo Switch,,,,Why do you say that the M rated games on the Nintendo Switch are so-so in quality?
,2013,,Overkill Software,,average,,,,,,,,Why do you think the games that Overkill Software developed and released in 2013 are merely okay?
,,,,M (for Mature),average,,first person,,,,,,Why is it you feel that M rated games played from a first person perspective are just okay?
,,,,,good,"adventure, platformer, puzzle",side view,,,,,,What is it about side view perspective adventure platformers full of puzzles that you enjoy?
,,,Tarsier Studios,,good,,,,PlayStation,,,,What is it about the PlayStation games developed by Tarsier Studios that makes you say they're fun to play?
,,,Tarsier Studios,E (for Everyone),good,,,,,,,,Why do you like the E rated games made by developer Tarsier Studios?
,2017,,,,good,,,,PlayStation,,,,What is it about the games released for the PlayStation in 2017 that makes you enjoy them like you do?
,,,,E (for Everyone),good,"adventure, platformer, puzzle",,,,,,,Why do you like playing E rated adventure puzzle platformers?
,,,Blizzard North,,good,"hack-and-slash, role-playing",,,,,,,What is it about the hack-and-slash RPGs made by Blizzard North that you find fun to play?
,,,,,good,"hack-and-slash, role-playing",bird view,,,,,,Why is it that you like to play bird view perspective hack-and-slash RPGs?
,,,Blizzard North,,good,,,,PC,,,,What is it about the PC games developed by Blizzard North that makes you find them fun?
,,,,M (for Mature),good,"hack-and-slash, role-playing",,,,,,,What is it about M rated hack-and-slash RPGs that makes you say they're good?
,,,Blizzard North,,good,,,,,,,yes,What is it about the Blizzard North games that have gotten Mac releases that you find enjoyable?
